"PDB_ID","chain","charge","num_residues","ncpr"
"2yul","A",5,82,0.0609756097560976
"2yuy","A",2,126,0.0158730158730159
"3al2","A",-1,218,-0.00458715596330275
"3bj4","A",0,37,0
"3bo5","A",-2,269,-0.00743494423791822
"3bor","A",-2,194,-0.0103092783505155
"3c5v","A",-6,294,-0.0204081632653061
"3cbq","A",-3,169,-0.0177514792899408
"3ceg","A",-5,285,-0.0175438596491228
"3ceq","A",6,250,0.024
"3ckk","A",-9,196,-0.0459183673469388
"3dh1","A",-7,162,-0.0432098765432099
"3dm1","A",-6,52,-0.115384615384615
"3dsh","A",-6,236,-0.0254237288135593
"3dz8","A",-4,178,-0.0224719101123595
"3elb","A",-4,297,-0.0134680134680135
"3f2u","A",-6,51,-0.117647058823529
"3fdt","A",-4,51,-0.0784313725490196
"3feo","A",-5,407,-0.0122850122850123
"3fhr","A",-10,273,-0.0366300366300366
"3fk2","C",-6,195,-0.0307692307692308
"3g65","A",2,254,0.0078740157480315
"3h8o","A",9,206,0.0436893203883495
"3h8q","B",-3,106,-0.0283018867924528
"3h9e","O",0,336,0
"3i7p","B",2,13,0.153846153846154
"3iu5","A",-1,114,-0.0087719298245614
"3jwr","C",-3,17,-0.176470588235294
"3kn1","A",0,234,0
"3kuj","B",-1,15,-0.0666666666666667
"3lhr","A",-9,92,-0.0978260869565217
"3lj8","A",0,146,0
"3lkx","A",-3,65,-0.0461538461538462
"3lri","A",3,83,0.036144578313253
"3lvp","B",-11,295,-0.0372881355932203
"3m03","A",6,93,0.0645161290322581
"3mcb","A",4,54,0.0740740740740741
"3mcf","A",-3,130,-0.0230769230769231
"3mjg","A",7,97,0.0721649484536082
"3mjh","D",-4,33,-0.121212121212121
"3mjk","X",6,121,0.0495867768595041
"3mop","A",-5,105,-0.0476190476190476
"3mqp","B",1,25,0.04
"3mtl","A",-1,294,-0.00340136054421769
"3ner","A",-9,90,-0.1
"3nf1","A",4,283,0.0141342756183746
"3npc","A",-9,357,-0.0252100840336134
"3nr5","A",-7,157,-0.0445859872611465
"3o34","A",-9,177,-0.0508474576271186
"3pls","A",-4,298,-0.0134228187919463
"3pnw","C",-4,60,-0.0666666666666667
"3qk3","A",-4,175,-0.0228571428571429
"3s24","E",6,329,0.0182370820668693
"3s7r","B",0,78,0
"3s8i","A",1,124,0.00806451612903226
"3s8p","B",-4,232,-0.0172413793103448
"3svm","A",-5,60,-0.0833333333333333
"3t54","A",-1,318,-0.00314465408805031
"3tnu","A",-5,90,-0.0555555555555556
"3ubw","A",-10,229,-0.0436681222707424
"3ulh","A",-1,82,-0.0121951219512195
"3um7","A",-3,259,-0.0115830115830116
"3uxg","A",-9,163,-0.0552147239263804
"3v70","B",3,211,0.014218009478673
"3vf0","B",-3,283,-0.0106007067137809
"3w03","B",-11,225,-0.0488888888888889
"3woy","A",0,246,0
"3wup","A",-6,31,-0.193548387096774
"4a27","A",-2,314,-0.00636942675159236
"4a4f","A",-10,64,-0.15625
"4a4i","A",3,84,0.0357142857142857
"4b6l","A",10,281,0.0355871886120996
"4bgc","A",-1,101,-0.0099009900990099
"4bou","A",-2,141,-0.0141843971631206
"4cqo","B",-1,15,-0.0666666666666667
"4cvh","A",-9,391,-0.0230179028132992
"4d10","G",-6,208,-0.0288461538461538
"4dkc","A",0,161,0
"4drz","A",-1,160,-0.00625
"4elj","A",-2,589,-0.0033955857385399
"4esr","A",-5,65,-0.0769230769230769
"4f0x","A",3,456,0.00657894736842105
"4flb","A",3,131,0.0229007633587786
"4flp","A",3,106,0.0283018867924528
"4fmw","A",0,176,0
"4fo0","A",8,502,0.0159362549800797
"4fqg","A",7,186,0.0376344086021505
"4gba","A",-10,196,-0.0510204081632653
"4gdl","A",4,88,0.0454545454545455
"4h7w","A",-3,187,-0.0160427807486631
"4hni","A",11,284,0.0387323943661972
"4hxi","A",-18,192,-0.09375
"4hze","A",-10,306,-0.0326797385620915
"4iaq","A",5,367,0.0136239782016349
"4ikd","A",-4,142,-0.028169014084507
"4iqm","A",6,313,0.0191693290734824
"4j2l","C",0,25,0
"4k33","A",-3,293,-0.0102389078498294
"4klz","A",-1,156,-0.00641025641025641
"4kyi","B",-1,164,-0.00609756097560976
"4l0r","A",-5,74,-0.0675675675675676
"4l6r","A",3,398,0.00753768844221105
"4l8r","C",6,67,0.0895522388059701
"4m6r","A",-1,224,-0.00446428571428571
"4nl9","C",-6,60,-0.1
"4nn2","B",10,118,0.0847457627118644
"4nrm","A",0,211,0
"4ny0","A",-1,329,-0.00303951367781155
"4ouh","C",-7,147,-0.0476190476190476
"4p3e","C",8,179,0.0446927374301676
"4p5e","A",-6,140,-0.0428571428571429
"4pj1","A",-7,526,-0.0133079847908745
"4po6","B",-3,19,-0.157894736842105
"4rdu","A",12,61,0.19672131147541
"4rg1","A",-5,285,-0.0175438596491228
"4rgh","B",-2,120,-0.0166666666666667
"4ueg","A",0,242,0
"4uij","A",0,104,0
"4v0p","A",-8,209,-0.0382775119617225
"4w9x","A",-2,300,-0.00666666666666667
"4wqn","A",7,151,0.0463576158940397
"4wtv","B",2,426,0.00469483568075117
"4wzr","A",8,511,0.0156555772994129
"4wzx","A",-3,87,-0.0344827586206897
"4x7h","A",1,256,0.00390625
"4xos","A",-5,152,-0.0328947368421053
"4xrs","B",3,58,0.0517241379310345
"4xvi","A",9,647,0.0139103554868624
"4yay","A",9,393,0.0229007633587786
"4ylr","A",9,331,0.027190332326284
"4z3c","C",12,45,0.266666666666667
"4z54","A",0,273,0
"4z6g","A",-5,334,-0.0149700598802395
"4zri","C",1,20,0.05
"4zry","A",-11,110,-0.1
"5a1h","A",-11,193,-0.0569948186528497
"5a3n","A",-18,456,-0.0394736842105263
"5a6r","A",-4,102,-0.0392156862745098
"5anr","B",2,360,0.00555555555555556
"5b16","C",-2,23,-0.0869565217391304
"5b2g","A",7,332,0.0210843373493976
"5btr","A",-9,370,-0.0243243243243243
"5bxd","A",-2,101,-0.0198019801980198
"5cyj","A",4,89,0.0449438202247191
"5din","A",2,120,0.0166666666666667
"5dkc","A",6,110,0.0545454545454545
"5e85","A",-10,235,-0.0425531914893617
"5e8v","A",-11,296,-0.0371621621621622
"5eiv","A",3,181,0.0165745856353591
"5fta","C",-2,97,-0.0206185567010309
"5fyq","A",-6,282,-0.0212765957446809
"5gw0","E",-3,168,-0.0178571428571429
"5gwn","A",5,427,0.0117096018735363
"5hn1","A",5,157,0.0318471337579618
"5hvq","C",-7,236,-0.0296610169491525
"5hvz","C",-2,23,-0.0869565217391304
"5im0","B",3,78,0.0384615384615385
"5jkn","A",-15,256,-0.05859375
"5kho","A",4,103,0.0388349514563107
"5kkp","A",12,494,0.0242914979757085
"5ko9","A",0,253,0
"5lpi","A",-4,129,-0.0310077519379845
"5lsk","B",-2,173,-0.0115606936416185
"5mn9","C",-4,19,-0.210526315789474
"5mq1","A",3,108,0.0277777777777778
"5mr8","A",-3,186,-0.0161290322580645
"5nvk","D",-5,74,-0.0675675675675676
"5nwm","B",-5,32,-0.15625
"5o0y","A",-2,288,-0.00694444444444444
"5szg","A",-6,128,-0.046875
"5te0","A",-1,316,-0.00316455696202532
"5twx","A",2,114,0.0175438596491228
"5tyt","A",5,89,0.0561797752808989
"5uab","A",4,288,0.0138888888888889
"5udz","A",6,139,0.0431654676258993
"5uwi","D",-2,16,-0.125
"5v7c","B",4,144,0.0277777777777778
"5vgr","A",-15,408,-0.0367647058823529
"5vmd","A",1,69,0.0144927536231884
"5vyk","A",-1,202,-0.00495049504950495
"5vzt","B",2,418,0.00478468899521531
"5w3r","A",3,114,0.0263157894736842
"5wbh","W",1,19,0.0526315789473684
"5wde","A",-9,320,-0.028125
"5xfr","A",2,309,0.00647249190938511
"5xjl","M",0,17,0
"5y6o","C",6,106,0.0566037735849057
"5ybj","A",-13,248,-0.0524193548387097
"5yf0","A",-1,336,-0.00297619047619048
"5yts","A",2,74,0.027027027027027
"6abo","B",-5,77,-0.0649350649350649
"6asb","C",2,118,0.0169491525423729
"6au8","A",-4,280,-0.0142857142857143
"6c6k","C",1,44,0.0227272727272727
"6cdf","A",-6,333,-0.018018018018018
"6cm4","A",17,423,0.0401891252955083
"6cq7","A",-5,73,-0.0684931506849315
"6dc0","A",1,265,0.00377358490566038
"6g3o","A",-3,369,-0.00813008130081301
"6g5f","P",1,18,0.0555555555555556
"6g76","A",2,290,0.00689655172413793
"6gbu","A",-10,62,-0.161290322580645
"6gdy","B",9,334,0.0269461077844311
"6gr8","A",6,270,0.0222222222222222
"6gy4","A",-4,68,-0.0588235294117647
"6hk9","B",-5,78,-0.0641025641025641
"6i3v","F",4,182,0.021978021978022
"6ibe","A",1,284,0.00352112676056338
"6iet","A",1,161,0.0062111801242236
"6if2","B",-3,178,-0.0168539325842697
"6igx","B",-6,730,-0.00821917808219178
"6ith","A",1,35,0.0285714285714286
"6j67","A",3,203,0.0147783251231527
"6m8r","K",-1,33,-0.0303030303030303
"6me2","A",11,484,0.0227272727272727
"6mw7","B",-3,495,-0.00606060606060606
"6n5z","B",-8,159,-0.050314465408805
"6n6i","B",-6,186,-0.032258064516129
"6od4","G",4,53,0.0754716981132075
"6ofp","B",-3,92,-0.0326086956521739
"6oze","A",2,246,0.00813008130081301
"6px0","A",1,135,0.00740740740740741
"6qa0","A",-1,140,-0.00714285714285714
"6qd5","A",1,356,0.00280898876404494
"6r6u","A",0,457,0
"6r7t","B",-2,180,-0.0111111111111111
"6rrc","A",-7,319,-0.0219435736677116
"6sak","C",2,95,0.0210526315789474
"6tyd","V",-1,208,-0.00480769230769231
"6uca","A",6,413,0.0145278450363196
