"Uniprot_ID","Start_Coverage","End_Coverage"
"O14529",1028,1125
"O14531",1,572
"O14544",361,499
"O14545",78,139
"O14556",69,407
"O14558",1,23
"O14558",57,160
"O14561",1,156
"O14579",1,308
"O14593",90,260
"O14595",87,271
"O14607",878,1347
"O14617",680,729
"O14618",1,274
"O14625",22,94
"O14638",48,875
"O14641",11,106
"O14641",261,355
"O14641",416,510
"O14646",268,443
"O14646",1119,1327
"O14646",1409,1511
"O14649",1,259
"O14653",116,121
"O14656",51,332
"O14672",214,654
"O14678",2,606
"O14684",1,152
"O14686",1503,1562
"O14686",5333,5347
"O14686",5379,5379
"O14686",5382,5536
"O14713",49,200
"O14717",2,391
"O14727",1,1248
"O14732",1,288
"O14733",37,48
"O14733",101,419
"O14737",2,113
"O14744",1,637
"O14745",11,120
"O14745",150,358
"O14746",222,240
"O14746",461,469
"O14746",540,548
"O14746",961,1132
"O14757",1,307
"O14757",377,476
"O14763",54,184
"O14763",208,242
"O14770",281,345
"O14773",1,563
"O14776",99,107
"O14776",428,464
"O14776",520,579
"O14776",651,782
"O14776",784,853
"O14776",888,1081
"O14777",80,286
"O14782",7,383
"O14786",141,586
"O14786",628,813
"O14788",158,317
"O14792",36,307
"O14793",43,375
"O14796",1,104
"O14810",26,83
"O14815",10,347
"O14818",1,248
"O14832",31,338
"O14836",68,109
"O14842",1,211
"O14842",214,300
"O14862",1,107
"O14862",144,343
"O14867",7,128
"O14879",416,459
"O14893",1,280
"O14907",1,124
"O14920",2,669
"O14920",701,745
"O14924",18,100
"O14924",705,852
"O14929",20,341
"O14931",18,135
"O14933",2,153
"O14936",1,345
"O14936",403,456
"O14936",487,572
"O14936",739,914
"O14944",38,116
"O14949",2,82
"O14957",2,52
"O14958",22,399
"O14960",19,151
"O14964",1,225
"O14964",257,277
"O14964",346,354
"O14964",404,501
"O14965",100,403
"O14966",1,177
"O14974",658,714
"O14974",931,978
"O14976",12,351
"O14977",2,437
"O14980",1,1071
"O14994",76,417
"O15016",968,1160
"O15020",1,291
"O15020",2219,2328
"O15021",1140,1231
"O15031",1452,1562
"O15033",436,823
"O15034",160,242
"O15034",477,593
"O15034",841,924
"O15034",954,1017
"O15037",627,678
"O15047",89,197
"O15047",1488,1502
"O15054",1141,1643
"O15056",882,963
"O15061",426,434
"O15066",6,359
"O15075",49,156
"O15075",372,649
"O15085",40,126
"O15085",281,490
"O15085",672,1085
"O15091",207,583
"O15105",203,217
"O15111",10,660
"O15111",732,745
"O15117",486,579
"O15117",683,771
"O15118",1,1278
"O15119",99,311
"O15123",277,496
"O15131",329,503
"O15151",14,116
"O15151",299,339
"O15151",395,404
"O15151",427,490
"O15155",24,32
"O15162",257,266
"O15164",824,1012
"O15169",74,220
"O15169",375,402
"O15169",781,862
"O15178",40,224
"O15194",82,267
"O15198",1,140
"O15205",8,165
"O15212",13,114
"O15217",1,222
"O15229",1,374
"O15230",2655,3327
"O15234",1,703
"O15235",1,138
"O15239",1,70
"O15247",1,247
"O15259",1,115
"O15259",147,212
"O15263",24,64
"O15264",1,352
"O15265",330,401
"O15273",1,167
"O15294",23,1046
"O15296",1,676
"O15305",2,246
"O15335",20,359
"O15344",87,214
"O15344",320,379
"O15347",1,79
"O15347",91,164
"O15350",10,31
"O15350",112,312
"O15350",350,399
"O15350",487,564
"O15353",270,366
"O15357",20,117
"O15357",419,878
"O15357",1194,1258
"O15372",1,221
"O15379",1,376
"O15381",167,216
"O15381",573,845
"O15382",28,392
"O15389",20,233
"O15392",1,142
"O15394",19,113
"O15394",115,693
"O15409",502,594
"O15431",64,87
"O15431",132,179
"O15455",22,730
"O15460",163,257
"O15467",24,120
"O15488",35,300
"O15492",53,190
"O15496",1,165
"O15498",1,198
"O15504",376,423
"O15514",1,142
"O15516",29,89
"O15516",105,265
"O15519",62,73
"O15519",209,480
"O15520",64,208
"O15527",1,345
"O15530",48,362
"O15530",409,556
"O15533",1,448
"O15537",24,224
"O15539",44,180
"O15540",1,132
"O15541",1,343
"O15550",877,1401
"O15553",1,92
"O15553",414,781
"O15554",1,427
"O43143",1,795
"O43148",165,476
"O43151",47,98
"O43157",8,535
"O43157",1511,2135
"O43159",242,456
"O43169",16,107
"O43172",1,522
"O43173",61,380
"O43175",4,315
"O43181",58,175
"O43187",2,112
"O43189",6,360
"O43237",1,492
"O43240",43,276
"O43242",1,534
"O43251",113,202
"O43252",1,624
"O43255",131,321
"O43278",36,457
"O43290",1,800
"O43291",34,88
"O43293",1,289
"O43298",369,466
"O43300",34,373
"O43307",7,75
"O43312",724,755
"O43314",37,366
"O43318",31,305
"O43323",24,195
"O43324",1,174
"O43353",1,317
"O43353",431,540
"O43390",333,416
"O43395",1,683
"O43396",2,108
"O43396",122,279
"O43405",27,126
"O43414",137,337
"O43424",24,440
"O43426",894,971
"O43426",1458,1469
"O43426",1477,1488
"O43432",745,1003
"O43435",109,297
"O43447",1,177
"O43451",87,954
"O43451",960,1853
"O43463",44,106
"O43464",134,458
"O43488",1,359
"O43497",1,2377
"O43504",1,91
"O43508",97,249
"O43516",29,60
"O43521",108,116
"O43521",141,166
"O43524",151,253
"O43524",460,483
"O43525",373,409
"O43526",315,372
"O43526",530,560
"O43557",83,240
"O43559",8,146
"O43566",56,207
"O43566",497,532
"O43567",216,290
"O43570",29,291
"O43572",623,662
"O43581",132,259
"O43583",1,198
"O43586",361,416
"O43597",35,61
"O43598",20,162
"O43602",2,365
"O43612",1,13
"O43612",34,66
"O43612",71,97
"O43613",1,381
"O43614",1,254
"O43614",294,388
"O43615",266,452
"O43617",1,180
"O43639",1,61
"O43639",114,170
"O43639",188,265
"O43639",282,380
"O43660",1,514
"O43663",1,486
"O43665",10,166
"O43674",52,189
"O43676",10,89
"O43677",28,74
"O43678",1,99
"O43683",1,150
"O43683",724,1085
"O43704",1,296
"O43707",47,271
"O43707",519,645
"O43707",734,757
"O43708",1,216
"O43709",1,281
"O43715",1,76
"O43719",256,354
"O43739",13,400
"O43741",1,272
"O43745",1,196
"O43747",677,822
"O43752",3,110
"O43752",169,234
"O43763",162,216
"O43765",1,69
"O43765",84,210
"O43776",4,77
"O43776",98,548
"O43781",1,588
"O43791",28,166
"O43791",169,374
"O43809",1,227
"O43813",1,399
"O43818",118,475
"O43819",100,266
"O43837",35,374
"O43854",24,157
"O43865",89,530
"O43896",498,599
"O43897",148,348
"O43913",1,435
"O43914",35,67
"O43915",92,195
"O43918",293,354
"O43918",423,485
"O43920",2,105
"O43921",33,174
"O43924",1,150
"O43927",23,109
"O43929",1,436
"O60216",1,631
"O60218",1,316
"O60229",1280,1459
"O60231",1,1041
"O60234",7,140
"O60239",1,276
"O60239",341,350
"O60242",498,868
"O60245",302,413
"O60256",12,369
"O60259",33,260
"O60260",1,465
"O60264",166,634
"O60271",406,476
"O60281",2094,2153
"O60284",812,906
"O60306",1,1485
"O60307",181,281
"O60307",948,1040
"O60308",392,676
"O60308",746,875
"O60315",646,704
"O60318",1163,1235
"O60331",639,653
"O60333",531,647
"O60341",1,852
"O60343",874,1170
"O60381",206,342
"O60381",424,503
"O60437",1655,1756
"O60462",23,595
"O60479",131,186
"O60481",245,386
"O60486",35,507
"O60486",1198,1305
"O60493",1,162
"O60494",26,135
"O60494",932,1388
"O60496",1,114
"O60496",148,247
"O60499",1,108
"O60500",1188,1198
"O60502",1,916
"O60504",383,438
"O60504",447,523
"O60504",615,671
"O60506",24,140
"O60506",242,428
"O60507",43,341
"O60508",1,579
"O60524",1,501
"O60543",33,110
"O60547",23,372
"O60551",112,498
"O60563",1,726
"O60565",72,184
"O60566",1,1050
"O60568",25,738
"O60573",45,234
"O60583",7,263
"O60602",23,858
"O60603",1,507
"O60603",509,553
"O60603",636,784
"O60609",32,363
"O60658",482,819
"O60671",1,282
"O60673",1847,1898
"O60673",1987,2014
"O60674",31,516
"O60674",535,808
"O60674",812,1132
"O60678",211,531
"O60684",59,536
"O60701",1,494
"O60704",43,377
"O60711",86,104
"O60711",260,326
"O60716",324,937
"O60729",39,386
"O60741",1,890
"O60759",67,163
"O60760",1,199
"O60763",53,629
"O60783",1,128
"O60784",1,153
"O60784",215,312
"O60784",437,462
"O60814",1,126
"O60825",1,505
"O60828",223,265
"O60844",21,159
"O60861",1,60
"O60861",79,111
"O60869",71,148
"O60870",51,160
"O60870",268,393
"O60880",1,128
"O60882",113,272
"O60885",41,477
"O60885",600,683
"O60885",1343,1362
"O60888",1,179
"O60894",23,148
"O60895",48,139
"O60907",52,141
"O60911",114,334
"O60921",1,280
"O60925",12,118
"O60930",24,76
"O60930",136,286
"O60934",423,438
"O60936",1,95
"O60939",1,215
"O60942",1,219
"O60942",229,567
"O75015",18,194
"O75030",356,403
"O75044",1,484
"O75044",729,815
"O75051",1490,1600
"O75084",30,179
"O75084",569,574
"O75112",1,85
"O75113",8,193
"O75116",18,417
"O75122",60,310
"O75122",1111,1275
"O75128",1092,1106
"O75129",768,1339
"O75140",1,1603
"O75143",1,200
"O75143",436,454
"O75146",771,971
"O75147",1,106
"O75147",251,339
"O75147",615,992
"O75147",1277,1357
"O75151",1,451
"O75154",695,756
"O75164",1,359
"O75164",895,1011
"O75173",213,520
"O75175",607,753
"O75190",1,127
"O75190",184,231
"O75191",1,536
"O75208",1,318
"O75223",1,188
"O75251",58,213
"O75306",34,463
"O75311",34,342
"O75311",419,460
"O75317",1,370
"O75319",75,255
"O75324",1,88
"O75326",45,634
"O75334",642,671
"O75334",866,1193
"O75340",2,191
"O75344",12,144
"O75347",1,108
"O75351",1,104
"O75351",123,444
"O75362",469,523
"O75362",752,760
"O75365",1,173
"O75366",784,819
"O75367",1,120
"O75367",161,372
"O75368",1,114
"O75369",1,347
"O75369",1017,1721
"O75369",1736,2488
"O75369",2509,2602
"O75376",433,486
"O75376",2045,2065
"O75376",2258,2276
"O75380",29,123
"O75381",15,80
"O75385",1,290
"O75385",354,366
"O75390",28,466
"O75391",44,124
"O75394",1,65
"O75396",1,195
"O75398",452,469
"O75398",496,544
"O75400",133,220
"O75400",381,450
"O75400",743,806
"O75417",1,894
"O75417",1792,2590
"O75419",1,566
"O75420",33,103
"O75436",1,327
"O75438",3,58
"O75446",64,131
"O75449",183,491
"O75460",23,390
"O75460",547,977
"O75469",129,434
"O75473",22,557
"O75473",563,566
"O75475",1,530
"O75478",72,118
"O75489",43,250
"O75496",1,209
"O75506",6,53
"O75509",42,348
"O75509",567,655
"O75521",31,133
"O75521",137,394
"O75525",1,183
"O75530",1,441
"O75531",1,89
"O75533",1,1304
"O75534",15,90
"O75534",175,258
"O75534",348,423
"O75534",508,582
"O75534",673,738
"O75554",1,376
"O75563",71,79
"O75569",33,103
"O75581",20,1246
"O75581",1565,1575
"O75581",1602,1610
"O75582",2,348
"O75582",414,738
"O75592",4417,4676
"O75593",322,345
"O75594",22,196
"O75604",250,605
"O75608",1,230
"O75626",38,223
"O75628",79,251
"O75629",49,220
"O75636",79,299
"O75643",1,2136
"O75663",16,256
"O75674",9,150
"O75688",2,297
"O75689",1,374
"O75694",1,1391
"O75695",1,350
"O75715",28,220
"O75716",13,305
"O75717",1,850
"O75717",1017,1084
"O75746",2,311
"O75747",1198,1307
"O75762",2,1119
"O75771",1,83
"O75787",333,350
"O75791",58,155
"O75792",1,299
"O75800",384,440
"O75807",552,591
"O75815",502,825
"O75817",1,140
"O75818",1,363
"O75821",103,140
"O75821",150,179
"O75821",231,320
"O75822",45,55
"O75822",141,220
"O75828",6,277
"O75832",1,226
"O75843",662,785
"O75844",1,475
"O75865",1,159
"O75874",1,414
"O75880",132,301
"O75884",1,186
"O75886",1,150
"O75886",162,269
"O75886",350,370
"O75888",115,250
"O75891",1,401
"O75897",7,302
"O75899",42,466
"O75899",779,819
"O75899",876,913
"O75909",1,267
"O75914",261,559
"O75923",1,124
"O75923",942,1052
"O75925",1,65
"O75928",147,488
"O75934",1,225
"O75936",1,387
"O75940",65,128
"O75956",61,126
"O75962",1284,1594
"O75962",1960,2275
"O75970",117,227
"O75970",373,463
"O75970",1148,1244
"O75970",1625,1716
"O75970",1722,1806
"O75970",1858,1951
"O75970",1983,2070
"O75976",383,461
"O76003",1,334
"O76036",22,263
"O76039",1,303
"O76041",955,1014
"O76054",1,403
"O76064",8,146
"O76064",345,485
"O76071",1,339
"O76074",1,875
"O76075",1,80
"O76083",1,593
"O76093",50,190
"O76094",1,166
"O76094",512,668
"O76095",47,104
"O76096",20,145
"O94759",1,1503
"O94760",1,285
"O94761",1,54
"O94761",427,1116
"O94762",10,453
"O94762",515,620
"O94766",76,335
"O94768",18,329
"O94779",671,971
"O94782",666,671
"O94788",21,518
"O94804",18,317
"O94806",416,532
"O94813",271,484
"O94813",502,716
"O94813",725,907
"O94817",52,140
"O94822",1,1766
"O94829",1,963
"O94851",516,629
"O94855",266,1032
"O94856",25,428
"O94868",466,530
"O94868",567,629
"O94875",866,921
"O94885",555,614
"O94888",6,54
"O94888",131,270
"O94888",377,489
"O94906",1,941
"O94907",38,44
"O94907",178,266
"O94916",264,544
"O94923",98,617
"O94925",71,533
"O94925",551,669
"O94929",141,207
"O94929",609,683
"O94953",1,348
"O94953",917,1031
"O94966",273,393
"O94966",461,474
"O94972",1,90
"O94979",837,848
"O94986",1,60
"O94986",1261,1313
"O94992",255,359
"O95045",21,317
"O95049",474,775
"O95050",1,263
"O95057",1,198
"O95059",1,124
"O95069",41,315
"O95071",180,230
"O95071",2393,2453
"O95071",2687,2799
"O95139",1,128
"O95140",22,757
"O95147",2,191
"O95149",1,360
"O95150",72,251
"O95154",6,331
"O95155",1208,1302
"O95163",715,1332
"O95164",2,117
"O95166",1,117
"O95167",2,84
"O95168",2,129
"O95169",34,186
"O95178",39,97
"O95182",4,113
"O95198",294,591
"O95218",1,40
"O95218",65,95
"O95238",131,213
"O95238",245,335
"O95243",80,149
"O95243",426,580
"O95251",336,611
"O95255",622,859
"O95255",1254,1503
"O95256",15,356
"O95257",1,159
"O95259",1,146
"O95267",50,607
"O95267",739,793
"O95271",174,649
"O95271",799,957
"O95271",1018,1327
"O95273",1,360
"O95274",31,231
"O95278",1,331
"O95292",1,125
"O95297",36,162
"O95298",1,119
"O95299",36,355
"O95319",36,211
"O95319",416,508
"O95340",21,218
"O95347",476,707
"O95363",38,451
"O95365",1,131
"O95372",1,231
"O95390",299,407
"O95391",1,586
"O95396",335,460
"O95399",117,124
"O95400",262,341
"O95402",1,92
"O95405",1,22
"O95405",771,811
"O95405",895,1425
"O95407",30,195
"O95425",2149,2214
"O95429",358,457
"O95433",204,335
"O95445",18,188
"O95453",1,430
"O95453",445,540
"O95466",1,458
"O95470",62,568
"O95477",1,2261
"O95484",1,217
"O95486",341,1093
"O95487",518,1268
"O95497",22,513
"O95503",8,65
"O95544",68,426
"O95551",108,362
"O95568",63,372
"O95571",21,254
"O95619",1,160
"O95628",1,78
"O95630",1,146
"O95630",219,424
"O95631",39,453
"O95633",27,263
"O95639",1,269
"O95644",384,400
"O95644",414,591
"O95661",92,112
"O95671",10,239
"O95684",54,135
"O95696",31,80
"O95696",205,269
"O95696",317,394
"O95696",555,688
"O95696",925,1049
"O95704",30,61
"O95704",281,417
"O95707",1,220
"O95711",21,162
"O95714",417,790
"O95714",1203,1296
"O95714",3951,4321
"O95715",35,111
"O95716",20,189
"O95718",97,194
"O95721",39,116
"O95721",194,258
"O95727",18,117
"O95747",1,303
"O95747",433,527
"O95749",1,300
"O95750",23,216
"O95760",111,270
"O95777",1,96
"O95786",1,201
"O95786",230,925
"O95793",182,360
"O95793",448,557
"O95801",217,387
"O95819",1,328
"O95822",39,493
"O95831",78,613
"O95833",1,230
"O95835",69,100
"O95835",602,704
"O95843",1,209
"O95848",28,222
"O95861",6,308
"O95863",1,264
"O95866",18,133
"O95881",23,172
"O95926",1,243
"O95931",7,62
"O95931",219,248
"O95944",19,130
"O95967",54,123
"O95970",37,557
"O95971",27,144
"O95977",105,122
"O95983",1,71
"O95985",1,612
"O95989",1,172
"O95994",41,175
"O95999",1,115
"O96000",1,171
"O96006",23,82
"O96007",27,179
"O96013",1,591
"O96017",63,531
"O96018",55,72
"O96018",390,569
"O96028",211,350
"O96028",973,1203
"O96033",7,88
"P00156",2,379
"P00167",1,108
"P00325",2,375
"P00326",2,375
"P00338",1,332
"P00352",1,501
"P00367",54,558
"P00374",1,187
"P00387",27,301
"P00390",44,522
"P00395",1,513
"P00403",1,227
"P00414",2,261
"P00439",1,452
"P00441",1,154
"P00450",1,1065
"P00451",19,2351
"P00480",34,354
"P00488",2,732
"P00491",1,289
"P00492",1,218
"P00505",30,430
"P00519",6,515
"P00519",1007,1130
"P00533",1,326
"P00533",334,538
"P00533",634,1042
"P00533",1062,1076
"P00558",1,417
"P00568",1,193
"P00709",1,142
"P00734",44,622
"P00736",18,705
"P00738",92,406
"P00740",47,191
"P00740",227,461
"P00742",41,182
"P00742",220,488
"P00746",2,253
"P00747",20,810
"P00748",133,215
"P00748",352,615
"P00749",21,153
"P00749",156,431
"P00750",36,126
"P00750",209,562
"P00751",24,764
"P00797",24,406
"P00813",5,363
"P00915",1,261
"P00918",1,260
"P00966",1,412
"P00973",1,347
"P00995",24,79
"P01008",22,464
"P01009",24,418
"P01011",24,423
"P01019",34,485
"P01023",24,1474
"P01024",23,667
"P01024",672,1663
"P01031",1,1676
"P01033",24,207
"P01034",27,146
"P01040",1,98
"P01042",380,389
"P01042",498,510
"P01042",601,608
"P01100",138,200
"P01106",54,68
"P01106",96,125
"P01106",260,267
"P01106",320,328
"P01106",348,439
"P01111",1,172
"P01112",1,189
"P01116",1,189
"P01127",21,190
"P01130",4,788
"P01130",819,832
"P01133",971,1023
"P01135",40,89
"P01137",30,390
"P01138",122,241
"P01148",24,33
"P01160",124,151
"P01189",138,145
"P01210",230,234
"P01210",261,265
"P01213",207,219
"P01215",25,116
"P01225",19,129
"P01236",29,227
"P01241",27,217
"P01258",85,116
"P01270",32,70
"P01275",53,81
"P01275",98,128
"P01275",146,178
"P01282",125,153
"P01286",32,73
"P01298",30,65
"P01303",29,64
"P01308",1,110
"P01344",25,91
"P01350",81,92
"P01374",62,205
"P01375",17,23
"P01375",76,233
"P01562",24,189
"P01563",24,188
"P01574",22,187
"P01579",24,161
"P01583",113,271
"P01584",117,269
"P01588",28,193
"P01589",22,238
"P01593",23,117
"P01594",3,117
"P01597",23,117
"P01619",21,116
"P01700",20,115
"P01709",20,118
"P01721",20,117
"P01730",1,388
"P01730",397,458
"P01732",22,141
"P01732",209,227
"P01764",16,117
"P01772",20,117
"P01825",21,116
"P01833",19,603
"P01834",1,107
"P01848",1,140
"P01850",1,133
"P01854",104,428
"P01857",1,330
"P01859",104,326
"P01860",155,377
"P01861",1,327
"P01871",1,106
"P01876",1,353
"P01889",1,362
"P01903",26,254
"P01909",24,216
"P01911",29,228
"P01920",33,231
"P02008",1,142
"P02042",2,147
"P02100",2,147
"P02144",2,154
"P02452",133,153
"P02452",254,275
"P02452",572,583
"P02452",949,977
"P02452",1172,1192
"P02452",1219,1464
"P02458",29,98
"P02458",461,474
"P02458",484,498
"P02458",1120,1134
"P02458",1237,1249
"P02461",552,590
"P02461",1158,1466
"P02462",1438,1669
"P02489",1,173
"P02511",1,175
"P02533",295,422
"P02538",533,551
"P02545",1,300
"P02545",305,398
"P02545",428,552
"P02545",661,664
"P02549",1,158
"P02549",1599,1826
"P02647",25,267
"P02649",19,317
"P02654",1,83
"P02655",23,101
"P02656",21,99
"P02671",20,34
"P02671",36,92
"P02671",130,218
"P02671",332,347
"P02671",580,594
"P02671",666,866
"P02675",31,491
"P02679",27,433
"P02679",439,452
"P02686",134,144
"P02686",217,242
"P02689",1,132
"P02708",21,256
"P02724",80,120
"P02730",1,911
"P02741",19,224
"P02743",20,223
"P02745",110,245
"P02746",117,253
"P02747",115,245
"P02748",22,559
"P02749",20,345
"P02751",48,275
"P02751",297,464
"P02751",516,705
"P02751",721,1357
"P02751",1448,2082
"P02751",2199,2284
"P02751",2330,2390
"P02753",18,201
"P02760",20,202
"P02760",206,352
"P02763",19,201
"P02766",1,147
"P02768",1,609
"P02771",137,145
"P02774",17,474
"P02775",44,128
"P02776",32,101
"P02778",22,98
"P02786",120,760
"P02787",1,698
"P02788",20,710
"P02792",1,175
"P02794",1,183
"P02795",1,61
"P03372",180,252
"P03372",261,271
"P03372",287,595
"P03886",1,318
"P03891",1,347
"P03897",1,115
"P03901",1,97
"P03905",1,459
"P03915",1,603
"P03923",1,174
"P03950",24,147
"P03951",1,625
"P03952",1,638
"P03956",20,469
"P03973",83,132
"P03986",1,120
"P04003",49,172
"P04003",540,597
"P04004",20,70
"P04004",154,474
"P04035",425,888
"P04040",1,527
"P04049",51,132
"P04049",136,187
"P04049",229,264
"P04049",323,625
"P04053",7,125
"P04054",16,148
"P04062",40,536
"P04070",43,75
"P04070",84,197
"P04070",204,461
"P04075",2,364
"P04080",1,98
"P04083",2,26
"P04083",33,346
"P04085",21,181
"P04090",25,53
"P04090",162,185
"P04141",1,144
"P04150",411,490
"P04150",500,777
"P04155",25,84
"P04156",23,231
"P04179",24,222
"P04180",25,440
"P04181",1,439
"P04183",1,234
"P04198",28,89
"P04233",97,123
"P04233",134,208
"P04233",210,274
"P04234",1,171
"P04264",226,331
"P04264",370,489
"P04271",1,92
"P04275",764,864
"P04275",1238,1471
"P04275",1477,1674
"P04275",1683,1874
"P04275",2497,2577
"P04275",2721,2813
"P04278",30,234
"P04406",1,335
"P04424",1,464
"P04437",28,118
"P04439",3,11
"P04439",24,365
"P04440",11,17
"P04440",29,218
"P04626",1,625
"P04626",641,700
"P04626",703,1047
"P04626",1135,1144
"P04626",1218,1228
"P04626",1246,1255
"P04629",36,279
"P04629",282,447
"P04629",473,796
"P04632",85,268
"P04637",1,69
"P04637",89,289
"P04637",319,356
"P04637",358,393
"P04745",16,511
"P04746",16,511
"P04792",1,205
"P04798",35,512
"P04818",1,313
"P04839",385,570
"P04843",1,607
"P04844",1,631
"P04899",1,355
"P04908",1,130
"P04921",117,128
"P05000",22,195
"P05019",40,118
"P05062",2,364
"P05067",18,190
"P05067",287,346
"P05067",365,569
"P05067",586,595
"P05067",671,770
"P05089",1,322
"P05090",23,189
"P05091",1,517
"P05093",24,508
"P05106",27,61
"P05106",378,548
"P05106",711,788
"P05107",23,574
"P05107",689,769
"P05108",41,521
"P05109",1,93
"P05112",22,153
"P05113",19,134
"P05120",1,415
"P05121",1,402
"P05129",36,105
"P05129",154,295
"P05154",30,406
"P05155",118,500
"P05156",19,583
"P05161",1,158
"P05162",1,132
"P05164",1,745
"P05165",176,270
"P05165",658,728
"P05177",27,516
"P05181",32,493
"P05187",23,535
"P05198",1,315
"P05230",1,155
"P05231",28,212
"P05305",51,73
"P05362",28,477
"P05386",1,114
"P05387",1,115
"P05388",1,317
"P05412",253,315
"P05413",1,133
"P05451",23,166
"P05452",22,202
"P05455",1,202
"P05455",225,334
"P05543",1,415
"P05546",20,499
"P05556",21,465
"P05556",752,769
"P05556",784,798
"P05771",321,668
"P05937",1,261
"P05981",46,417
"P06126",1,295
"P06127",25,134
"P06127",269,369
"P06132",1,367
"P06213",28,1382
"P06239",2,35
"P06239",53,222
"P06239",225,509
"P06241",73,141
"P06241",143,248
"P06241",261,537
"P06276",1,602
"P06280",32,429
"P06312",21,121
"P06340",27,207
"P06396",1,782
"P06400",52,787
"P06400",802,817
"P06400",829,882
"P06401",558,642
"P06401",673,933
"P06454",2,29
"P06493",1,297
"P06681",21,752
"P06702",1,114
"P06703",1,90
"P06727",84,355
"P06729",25,206
"P06729",294,304
"P06729",324,333
"P06730",1,217
"P06731",34,676
"P06732",1,381
"P06733",1,434
"P06734",150,321
"P06737",1,847
"P06744",1,558
"P06746",1,335
"P06748",9,124
"P06748",225,294
"P06753",44,117
"P06756",31,997
"P06850",154,194
"P06858",28,475
"P06865",23,529
"P06870",25,262
"P06881",83,119
"P06899",1,126
"P07093",20,398
