"Uniprot_ID","PDB_ID","chain","fp_idr","fn_idr","ncpr_idr","tcpr_idr","idr_len","fp_fd","fn_fd","ncpr_fd","tcpr_fd","fd_len","tail","idr_start","fd_start_real","fd_start_reported","fd_start_pdb","fd_coverage_percentage","FD_IDR_terminal_dist_real","FD_start_error"
"O60547","1t2a","A",0.14,0.091,0.045,0.23,22,0.12,0.13,-0.0057,0.25,350,"N_terminal",22,23,23,23,0.99,1,0
"P20339","1tu4","B",0.16,0.081,0.081,0.24,37,0.11,0.11,0,0.22,171,"C_terminal",179,182,184,182,0.95,3,2
"P24864","1w98","B",0.12,0.059,0.059,0.18,34,0.099,0.12,-0.025,0.22,283,"C_terminal",377,372,378,357,0.75,5,6
"P09543","1woj","A",0.18,0,0.18,0.18,22,0.14,0.12,0.019,0.26,214,"C_terminal",400,399,399,379,0.53,1,0
"P37802","1wym","A",0.13,0.058,0.077,0.19,52,0.12,0.13,-0.007,0.25,142,"C_terminal",148,153,157,145,0.95,5,4
"Q9NP72","1x3s","A",0.11,0.074,0.037,0.19,27,0.13,0.16,-0.038,0.29,182,"C_terminal",180,178,182,178,1,2,4
"Q13838","1xtk","A",0.083,0.36,-0.28,0.44,36,0.13,0.14,-0.0076,0.27,395,"N_terminal",36,46,34,46,0.97,10,12
"Q96LR5","1y6l","A",0.16,0.18,-0.018,0.33,57,0.11,0.095,0.014,0.2,147,"N_terminal",57,54,55,0,1,3,1
"Q9H840","1y96","D",0.12,0.13,-0.019,0.25,52,0.094,0.11,-0.012,0.2,85,"N_terminal",52,49,47,49,1,3,2
"P08575","1ygr","B",0.095,0.19,-0.095,0.28,74,0.13,0.14,-0.013,0.28,610,"C_terminal",1233,1233,1233,1208,0.49,0,0
"Q9UL25","1z0i","A",0.098,0.12,-0.024,0.22,41,0.15,0.13,0.018,0.28,168,"C_terminal",185,183,183,183,0.9,2,0
"Q9HBH9","2ac3","A",0.19,0.14,0.054,0.32,74,0.099,0.15,-0.048,0.25,314,"N_terminal",74,72,72,72,0.8,2,0
"P78368","2c47","D",0.2,0.12,0.073,0.32,41,0.14,0.13,0.016,0.27,311,"N_terminal",41,43,43,43,0.83,2,0
"P53999","2c62","A",0.23,0.14,0.091,0.36,66,0.18,0.17,0.015,0.35,65,"N_terminal",66,63,63,63,1,3,0
"O14508","2c9w","A",0.081,0.11,-0.027,0.19,37,0.14,0.1,0.041,0.24,169,"N_terminal",37,32,30,32,1,5,2
"Q9HCP0","2cmw","A",0.18,0.1,0.077,0.28,39,0.15,0.13,0.016,0.27,310,"N_terminal",39,45,43,45,0.8,6,2
"Q9UMY4","2csk","A",0.12,0.16,-0.04,0.28,25,0.17,0.15,0.015,0.32,133,"N_terminal",25,27,27,8,0.96,2,0
"P82979","2do1","A",0.2,0.22,-0.018,0.42,170,0.16,0.19,-0.023,0.35,43,"C_terminal",41,46,47,45,1,5,1
"Q13017","2ee5","A",0,0.047,-0.047,0.047,43,0.099,0.13,-0.033,0.23,212,"C_terminal",1460,1456,1456,219,0.14,4,0
"P62070","2ery","A",0.2,0.2,0,0.4,25,0.14,0.16,-0.024,0.29,170,"C_terminal",180,180,181,180,0.94,0,1
"O00194","2f7s","A",0.11,0.15,-0.037,0.26,27,0.12,0.13,-0.01,0.24,198,"C_terminal",192,190,201,190,1,2,11
"Q9NRW1","2fe4","A",0.15,0.22,-0.074,0.37,27,0.14,0.13,0.0062,0.27,162,"C_terminal",182,174,174,174,0.88,8,0
"Q13636","2fg5","A",0.14,0.1,0.034,0.24,29,0.11,0.13,-0.023,0.24,173,"C_terminal",166,167,174,167,1,1,7
"P10301","2fn4","A",0.12,0.08,0.04,0.2,25,0.11,0.15,-0.039,0.25,179,"C_terminal",194,196,201,196,0.92,2,5
"P28329","2fy2","A",0.16,0.08,0.08,0.24,25,0.11,0.11,0.0049,0.22,614,"C_terminal",724,725,733,607,0.85,1,8
"Q9ULW5","2g6b","A",0.14,0.018,0.12,0.16,57,0.13,0.13,-0.0056,0.26,178,"N_terminal",57,58,56,58,0.88,1,2
"O95716","2gf9","A",0.032,0.097,-0.065,0.13,31,0.12,0.15,-0.029,0.28,170,"C_terminal",189,189,189,189,0.89,0,0
"P55042","2gjs","A",0.1,0.14,-0.034,0.24,88,0.12,0.16,-0.04,0.28,174,"N_terminal",88,91,87,91,0.78,3,4
"Q8WW01","2gw6","A",0.051,0.18,-0.13,0.23,39,0.066,0.16,-0.09,0.22,122,"N_terminal",39,36,36,2,0.91,3,0
"P30414","2he9","A",0.22,0.13,0.089,0.35,1287,0.13,0.1,0.023,0.23,173,"C_terminal",176,177,179,177,0.98,1,2
"P61020","2hei","A",0.12,0.088,0.029,0.21,34,0.11,0.11,-0.0056,0.22,177,"C_terminal",182,183,191,183,0.97,1,8
"Q9BUB5","2hw6","B",0.27,0.15,0.12,0.41,41,0.11,0.13,-0.026,0.24,346,"N_terminal",41,40,37,40,0.81,1,3
"O43665","2ihb","B",0.16,0.28,-0.12,0.44,25,0.16,0.18,-0.025,0.34,157,"C_terminal",157,153,166,145,0.96,4,13
"Q6IQ22","2il1","A",0.17,0.049,0.12,0.22,41,0.17,0.16,0.0058,0.33,173,"N_terminal",41,38,36,134,0.84,3,2
"P22087","2ipx","A",0.2,0.022,0.18,0.22,90,0.12,0.12,0.0043,0.24,233,"N_terminal",90,87,83,88,1,3,4
"Q9Y6M4","2izr","A",0.24,0.14,0.11,0.38,37,0.15,0.12,0.024,0.27,330,"N_terminal",37,36,33,36,0.8,1,3
"Q9HA47","2jeo","A",0.18,0.077,0.1,0.26,39,0.13,0.13,0,0.27,223,"C_terminal",239,235,243,235,0.93,4,8
"P25103","2ks9","A",0.065,0.17,-0.11,0.24,46,0.069,0.058,0.011,0.13,364,"C_terminal",362,364,364,364,1,2,0
"O14519","2kw6","A",0.034,0.017,0.017,0.052,58,0.2,0.15,0.055,0.35,55,"N_terminal",58,61,61,61,0.93,3,0
"P11234","2kwi","A",0.38,0.1,0.28,0.48,29,0.14,0.19,-0.051,0.33,178,"C_terminal",178,185,185,185,0.99,7,0
"Q86XR7","2m1w","A",0.099,0.17,-0.07,0.27,71,0.099,0.13,-0.031,0.23,161,"N_terminal",71,75,75,75,0.97,4,0
"Q15311","2mbg","A",0.25,0.2,0.054,0.45,184,0.14,0.15,-0.0076,0.29,263,"N_terminal",184,184,184,184,0.56,0,0
"Q9HD15","2mgx","A",0.099,0.09,0.009,0.19,111,0.14,0.17,-0.03,0.3,132,"N_terminal",111,107,105,107,1,4,2
"Q15149","2n03","A",0.093,0.027,0.067,0.12,75,0.13,0.14,-0.015,0.27,204,"C_terminal",4610,4606,4606,4606,0.044,4,0
"A6NHC0","2nqa","A",0.091,0,0.091,0.091,22,0.093,0.15,-0.052,0.24,324,"N_terminal",22,23,23,23,0.47,1,0
"O95486","2nup","B",0.029,0.021,0.0088,0.05,340,0.089,0.092,-0.0027,0.18,753,"N_terminal",340,346,341,346,1,6,5
"O75628","2nzj","A",0.093,0.093,0,0.19,75,0.12,0.16,-0.04,0.28,173,"N_terminal",75,79,79,79,0.77,4,0
"Q8WUM4","2oev","A",0.042,0.03,0.012,0.071,168,0.13,0.14,-0.014,0.27,708,"C_terminal",701,698,708,698,0.99,3,10
"Q13206","2pl3","A",0.31,0.042,0.27,0.35,48,0.13,0.12,0.0085,0.25,234,"N_terminal",48,47,47,47,0.28,1,0
"Q8WUA7","2qfz","A",0.1,0.12,-0.021,0.23,195,0.12,0.15,-0.037,0.27,327,"N_terminal",195,196,191,196,1,1,5
"Q96A44","2v24","A",0.23,0.11,0.11,0.34,35,0.1,0.11,-0.0097,0.21,206,"N_terminal",35,33,28,33,0.86,2,5
"P30520","2v40","A",0.12,0.077,0.038,0.19,26,0.11,0.12,-0.0069,0.23,436,"N_terminal",26,26,21,26,1,0,5
"P41220","2v4z","B",0.23,0.082,0.15,0.32,73,0.14,0.16,-0.022,0.29,139,"N_terminal",73,72,71,72,0.99,1,1
"P61587","2v55","B",0.28,0.075,0.2,0.35,40,0.11,0.12,-0.015,0.24,200,"C_terminal",205,200,200,200,0.97,5,0
"O14777","2ve7","A",0.2,0.07,0.13,0.27,86,0.11,0.15,-0.048,0.26,207,"N_terminal",86,80,80,80,0.37,6,0
"Q9Y3Y4","2vp7","A",0.071,0.062,0.0088,0.13,339,0.043,0.16,-0.11,0.2,70,"N_terminal",339,340,333,340,0.85,1,7
"P56524","2vqj","A",0.12,0.27,-0.15,0.38,26,0.085,0.1,-0.02,0.19,410,"C_terminal",1059,1051,1057,407,0.39,8,6
"P43358","2wa0","A",0.037,0.17,-0.13,0.21,107,0.12,0.16,-0.037,0.27,219,"N_terminal",107,101,99,101,1,6,2
"Q9BRQ0","2xb1","A",0.061,0.043,0.018,0.1,327,0.079,0.16,-0.079,0.24,63,"N_terminal",327,326,325,326,0.78,1,1
"Q8IUF8","2xdv","A",0.23,0.091,0.14,0.32,22,0.12,0.14,-0.02,0.26,440,"N_terminal",22,30,26,30,0.99,8,4
"O43159","2zfu","A",0.2,0.13,0.071,0.33,241,0.13,0.11,0.023,0.25,215,"N_terminal",241,243,242,243,0.99,2,1
"Q92547","3al2","A",0.35,0.043,0.3,0.39,23,0.11,0.11,0,0.23,230,"C_terminal",1500,1493,1493,1493,0.15,7,0
"Q53H47","3bo5","A",0.17,0.17,0,0.33,24,0.11,0.12,-0.017,0.23,289,"N_terminal",24,25,15,11,0.44,1,10
"Q14240","3bor","A",0.042,0.21,-0.17,0.25,24,0.11,0.12,-0.0046,0.23,219,"N_terminal",24,30,22,30,0.57,6,8
"Q9Y570","3c5v","A",0.18,0.045,0.14,0.23,44,0.1,0.15,-0.043,0.25,348,"N_terminal",44,39,39,39,1,5,0
"Q8IYK8","3cbq","A",0.11,0.15,-0.037,0.26,108,0.14,0.15,-0.011,0.28,177,"N_terminal",108,113,110,113,0.76,5,3
"Q9NR09","3ceg","A",0.065,0.24,-0.17,0.3,46,0.12,0.13,-0.0031,0.25,323,"C_terminal",4812,4818,4820,4790,0.067,6,2
"Q9H0B6","3ceq","A",0.17,0.12,0.054,0.3,149,0.17,0.14,0.023,0.31,264,"C_terminal",474,479,480,479,0.55,5,1
"Q9UBP6","3ckk","A",0.16,0.079,0.079,0.24,38,0.12,0.14,-0.013,0.26,234,"N_terminal",38,37,32,7,0.97,1,5
"Q7Z6V5","3dh1","A",0.091,0.14,-0.045,0.23,22,0.11,0.13,-0.018,0.25,166,"N_terminal",22,20,20,20,0.97,2,0
"Q13568","3dsh","A",0,0,0,0,28,0.11,0.12,-0.016,0.23,246,"C_terminal",471,467,477,457,0.52,4,10
"P20337","3dz8","A",0.062,0.12,-0.062,0.19,32,0.12,0.14,-0.029,0.26,173,"C_terminal",188,187,190,187,0.91,1,3
"Q99447","3elb","A",0.19,0.048,0.14,0.24,21,0.12,0.13,-0.012,0.25,339,"N_terminal",21,19,18,19,0.92,2,1
"Q05BQ5","3feo","A",0.15,0.13,0.028,0.28,71,0.11,0.12,-0.0046,0.23,437,"C_terminal",558,561,566,432,0.78,3,5
"Q16644","3fhr","A",0.1,0.13,-0.026,0.23,39,0.11,0.14,-0.022,0.25,317,"N_terminal",39,39,33,39,0.92,0,6
"Q9NRY4","3fk2","C",0.032,0.032,0,0.065,62,0.14,0.12,0.022,0.26,228,"C_terminal",1438,1438,1439,1438,0.16,0,1
"P53990","3frr","A",0.076,0.12,-0.047,0.2,170,0.16,0.15,0.011,0.31,189,"C_terminal",195,187,189,187,0.96,8,2
"Q99638","3g65","A",0.056,0.17,-0.11,0.22,125,0.1,0.11,-0.0037,0.21,270,"C_terminal",267,270,270,270,1,3,0
"P02679","3ghg","F",0.067,0.23,-0.17,0.3,30,0.11,0.13,-0.022,0.24,407,"C_terminal",424,421,433,395,0.96,3,12
"Q6NS38","3h8o","A",0.18,0.16,0.018,0.33,57,0.15,0.1,0.049,0.25,206,"N_terminal",57,56,56,56,1,1,0
"O14556","3h9e","O",0.12,0.1,0.015,0.22,68,0.1,0.1,0.0029,0.2,339,"N_terminal",68,74,69,74,0.99,6,5
"Q9H4A6","3kn1","A",0.19,0.24,-0.051,0.42,59,0.15,0.14,0.004,0.29,247,"N_terminal",59,59,52,59,1,0,7
"P08069","3lvp","B",0.095,0.17,-0.071,0.26,84,0.11,0.15,-0.038,0.26,344,"C_terminal",1284,1285,1294,1285,0.26,1,9
"Q8NFP7","3mcf","A",0.045,0.091,-0.045,0.14,22,0.16,0.19,-0.023,0.35,128,"C_terminal",143,144,144,144,0.89,1,0
"P01127","3mjg","A",0.28,0.056,0.22,0.33,54,0.14,0.15,-0.012,0.29,170,"C_terminal",188,183,190,102,0.87,5,7
"P04085","3mjk","X",0.35,0.16,0.19,0.52,31,0.18,0.14,0.043,0.32,161,"C_terminal",181,181,181,181,0.88,0,0
"Q00536","3mtl","A",0.12,0.17,-0.042,0.29,24,0.13,0.14,-0.0095,0.26,316,"C_terminal",473,473,478,473,0.67,0,5
"Q07866","3nf1","A",0.19,0.14,0.048,0.34,83,0.15,0.14,0.0064,0.29,313,"C_terminal",491,495,497,495,0.6,4,2
"P45984","3npc","A",0.052,0.14,-0.086,0.19,58,0.12,0.13,-0.019,0.25,364,"C_terminal",367,363,364,363,0.99,4,1
"Q9H063","3nr5","A",0.04,0.3,-0.26,0.34,50,0.1,0.15,-0.049,0.25,205,"C_terminal",207,205,205,158,0.99,2,0
"Q04912","3pls","A",0.13,0.079,0.053,0.21,38,0.1,0.12,-0.013,0.22,298,"C_terminal",1363,1357,1357,1357,0.22,6,0
"O75151","3ptr","B",0.17,0.12,0.05,0.3,655,0.13,0.12,0.0067,0.25,451,"C_terminal",442,445,451,445,0.88,3,6
"P26998","3qk3","A",0.048,0.14,-0.095,0.19,21,0.12,0.15,-0.028,0.27,179,"N_terminal",21,23,21,23,0.93,2,2
"O60942","3s24","E",0.19,0.097,0.097,0.29,31,0.14,0.12,0.015,0.26,339,"C_terminal",567,567,567,567,0.6,0,0
"Q4FZB7","3s8p","B",0.19,0.075,0.12,0.27,67,0.15,0.14,0.0037,0.29,273,"N_terminal",67,71,63,71,0.33,4,8
"O43314","3t54","A",0.049,0.34,-0.29,0.39,41,0.12,0.14,-0.015,0.26,330,"N_terminal",41,43,37,43,0.27,2,6
"P62258","3ubw","A",0.045,0.41,-0.36,0.45,22,0.13,0.18,-0.051,0.32,234,"C_terminal",234,232,234,232,1,2,2
"Q9NYG8","3um7","A",0.15,0.081,0.073,0.23,124,0.069,0.084,-0.015,0.15,274,"C_terminal",270,264,274,290,1,6,10
"O14593","3uxg","A",0.035,0.18,-0.14,0.21,85,0.088,0.15,-0.064,0.24,171,"N_terminal",85,91,90,91,0.97,6,1
"Q8WWP7","3v70","B",0.14,0.21,-0.071,0.36,28,0.14,0.13,0.013,0.27,229,"N_terminal",28,27,25,27,0.82,1,2
"Q8IY67","3vf0","B",0.11,0.24,-0.13,0.36,45,0.11,0.12,-0.0071,0.23,283,"N_terminal",45,39,39,39,0.5,6,0
"Q9H9Q4","3w03","B",0.12,0.068,0.055,0.19,73,0.082,0.12,-0.043,0.21,233,"C_terminal",227,227,233,227,1,0,6
"O75122","3woy","A",0.13,0.13,0,0.25,63,0.13,0.12,0.004,0.25,251,"N_terminal",63,63,60,63,0.2,0,3
"Q9HCJ6","4a27","A",0.054,0.32,-0.27,0.38,37,0.11,0.11,-0.0029,0.22,347,"C_terminal",383,384,387,386,0.9,1,3
"Q9H4B4","4b6l","A",0.086,0.086,0,0.17,58,0.14,0.11,0.036,0.25,281,"N_terminal",58,52,52,52,0.48,6,0
"Q8IZU3","4cpc","G",0.23,0.21,0.015,0.44,66,0.16,0.13,0.03,0.3,165,"N_terminal",66,70,66,70,0.96,4,4
"A4D126","4cvh","A",0.065,0.087,-0.022,0.15,46,0.11,0.13,-0.02,0.23,409,"N_terminal",46,43,43,43,1,3,0
"Q9UBW8","4d10","G",0.18,0.078,0.098,0.25,51,0.11,0.13,-0.018,0.24,218,"C_terminal",225,215,218,215,0.96,10,3
"Q6ZMJ4","4dkc","A",0.039,0.059,-0.02,0.098,51,0.1,0.12,-0.012,0.22,173,"C_terminal",192,192,193,192,0.9,0,1
"P61106","4drz","A",0.094,0.094,0,0.19,32,0.11,0.12,-0.011,0.23,180,"C_terminal",184,175,180,175,0.96,9,5
"P06400","4elj","A",0.078,0.22,-0.14,0.29,51,0.13,0.12,0.0027,0.25,736,"N_terminal",51,53,52,53,0.84,2,1
"O95822","4f0x","A",0.18,0,0.18,0.18,33,0.11,0.11,0.0066,0.22,455,"N_terminal",33,39,39,39,0.98,6,0
"Q9H981","4fo0","A",0.24,0.21,0.03,0.45,33,0.12,0.11,0.0017,0.23,591,"N_terminal",33,34,34,34,1,1,0
"Q8IWE4","4gba","A",0.15,0.12,0.023,0.27,88,0.12,0.18,-0.059,0.31,219,"N_terminal",88,89,86,89,1,1,3
"O94817","4gdl","A",0.019,0.17,-0.15,0.19,52,0.16,0.1,0.056,0.26,89,"N_terminal",52,53,52,53,0.99,1,1
"Q70E73","4gmv","A",0.088,0.048,0.04,0.14,727,0.17,0.14,0.025,0.31,281,"C_terminal",524,520,520,520,0.53,4,0
"Q9BQ65","4h7w","A",0.12,0.16,-0.04,0.28,75,0.098,0.11,-0.016,0.21,193,"N_terminal",75,79,73,79,1,4,6
"P49674","4hni","A",0.18,0.12,0.058,0.29,120,0.15,0.11,0.044,0.26,294,"C_terminal",297,293,294,293,0.99,4,1
"Q9UH77","4hxi","A",0.12,0.2,-0.08,0.32,25,0.091,0.15,-0.063,0.25,253,"N_terminal",25,32,24,32,0.45,7,8
"P78540","4hze","A",0.097,0.16,-0.065,0.26,31,0.085,0.12,-0.033,0.2,306,"C_terminal",324,329,329,329,0.94,5,0
"P28222","4iaq","A",0,0.097,-0.097,0.097,31,0.1,0.067,0.034,0.17,358,"N_terminal",31,38,33,38,0.57,7,5
"Q9Y5W9","4ikd","A",0.11,0.15,-0.037,0.26,108,0.12,0.12,0.0061,0.24,164,"C_terminal",163,160,170,160,1,3,10
"Q9Y606","4iqm","A",0.043,0.22,-0.17,0.26,23,0.13,0.12,0.015,0.25,330,"C_terminal",405,407,408,407,0.81,2,1
"A1Z1Q3","4iqy","A",0.08,0.33,-0.25,0.41,188,0.15,0.14,0.013,0.28,237,"C_terminal",238,241,243,241,0.99,3,2
"P22607","4k33","A",0.021,0.15,-0.12,0.17,48,0.13,0.14,-0.016,0.27,311,"C_terminal",759,755,759,755,0.41,4,4
"Q92963","4klz","A",0.39,0.071,0.32,0.46,28,0.16,0.17,-0.012,0.33,171,"C_terminal",192,185,189,185,0.89,7,4
"P51148","4kyi","B",0.14,0.083,0.056,0.22,36,0.11,0.11,0,0.22,165,"C_terminal",181,182,182,182,0.91,1,0
"P47871","4l6r","A",0.094,0.11,-0.019,0.21,53,0.1,0.074,0.027,0.17,408,"C_terminal",425,429,434,429,0.73,4,5
"Q96GX9","4m6r","A",0.15,0.2,-0.05,0.35,20,0.13,0.13,-0.0045,0.26,223,"N_terminal",20,20,20,20,1,0,0
"Q9UJ41","4n3z","A",0.065,0.13,-0.065,0.19,31,0.15,0.16,-0.015,0.31,325,"C_terminal",461,452,455,430,0.7,9,3
"P41143","4n6h","A",0.14,0.11,0.028,0.25,36,0.099,0.05,0.05,0.15,303,"C_terminal",337,338,338,338,0.9,1,0
"Q6P6C2","4nrm","A",0.23,0.13,0.095,0.36,105,0.14,0.15,-0.0044,0.29,229,"C_terminal",290,292,294,292,0.78,2,2
"O75909","4nst","D",0.059,0.041,0.019,0.1,320,0.13,0.13,0,0.25,267,"C_terminal",261,261,267,261,1,0,6
"Q05397","4ny0","A",0.067,0.067,0,0.13,30,0.13,0.15,-0.019,0.28,375,"N_terminal",30,34,31,34,0.37,4,3
"Q05823","4oau","C",0.037,0.037,0,0.074,27,0.14,0.16,-0.018,0.29,719,"C_terminal",715,719,719,719,0.98,4,0
"Q92530","4ouh","C",0.081,0.11,-0.024,0.19,123,0.095,0.14,-0.044,0.23,158,"C_terminal",149,149,158,149,1.1,0,9
"Q9UHB9","4p3e","C",0.11,0.11,0,0.22,54,0.18,0.13,0.053,0.31,208,"N_terminal",54,58,47,50,0.36,4,11
"O43598","4p5e","A",0.15,0.15,0,0.3,20,0.13,0.16,-0.035,0.29,143,"N_terminal",20,20,20,20,0.92,0,0
"P10809","4pj1","A",0.08,0.12,-0.04,0.2,25,0.13,0.15,-0.019,0.28,530,"C_terminal",549,550,556,526,0.96,1,6
"Q5T280","4rg1","A",0.33,0.22,0.11,0.55,73,0.1,0.13,-0.026,0.23,313,"N_terminal",73,69,64,69,1,4,5
"O15488","4ueg","A",0.031,0.094,-0.062,0.12,32,0.075,0.079,-0.0038,0.15,266,"N_terminal",32,35,35,4,0.56,3,0
"P43357","4v0p","A",0.029,0.19,-0.16,0.22,102,0.085,0.14,-0.052,0.22,211,"N_terminal",102,104,104,104,0.99,2,0
"Q9NSY1","4w9x","A",0.1,0.026,0.077,0.13,39,0.1,0.11,-0.0065,0.21,308,"N_terminal",39,39,38,39,0.27,0,1
"Q15397","4wzr","A",0.31,0.099,0.21,0.41,131,0.15,0.13,0.023,0.28,526,"N_terminal",131,131,123,131,1,0,8
"Q9NZJ5","4x7h","A",0.17,0,0.17,0.17,29,0.12,0.15,-0.035,0.27,520,"C_terminal",1088,1086,1094,1086,0.48,2,8
"P39687","4xos","A",0.067,0.63,-0.57,0.7,104,0.13,0.17,-0.034,0.3,149,"C_terminal",146,149,149,149,1,3,0
"Q7Z5Q5","4xvi","A",0.023,0.045,-0.023,0.068,44,0.12,0.11,0.009,0.23,666,"C_terminal",857,859,859,859,0.78,2,0
"P30556","4yay","A",0.15,0.077,0.077,0.23,39,0.094,0.05,0.044,0.14,318,"C_terminal",321,317,319,317,0.95,4,2
"Q6ZT98","4ylr","A",0.23,0.077,0.15,0.31,39,0.16,0.14,0.023,0.3,483,"N_terminal",39,40,36,40,0.57,1,4
"Q9UH03","4z54","A",0.032,0.097,-0.065,0.13,31,0.16,0.16,0.0035,0.32,288,"C_terminal",328,328,330,328,0.87,0,2
"Q9UPN3","4z6g","A",0.17,0.18,-0.015,0.35,66,0.15,0.16,-0.011,0.3,348,"N_terminal",66,74,74,41,0.047,8,0
"Q5JUX0","5a1h","A",0.24,0,0.24,0.24,50,0.11,0.17,-0.065,0.28,214,"N_terminal",50,47,45,47,1,3,2
"P26196","5anr","B",0.12,0.052,0.073,0.18,96,0.12,0.12,0.0026,0.24,390,"N_terminal",96,95,94,95,0.96,1,1
"O14493","5b2g","A",0.14,0.048,0.095,0.19,21,0.044,0.044,0,0.087,183,"C_terminal",189,183,183,1346,0.96,6,0
"Q96EB6","5btr","B",0.079,0.22,-0.14,0.3,139,0.12,0.15,-0.027,0.27,374,"N_terminal",139,143,143,143,0.61,4,0
"P11021","5e85","A",0.083,0.25,-0.17,0.33,24,0.15,0.19,-0.045,0.34,220,"C_terminal",631,637,637,637,0.35,6,0
"P37173","5e8v","A",0.18,0.18,0,0.36,22,0.12,0.15,-0.035,0.27,313,"C_terminal",546,541,549,541,0.57,5,8
"Q8IYS5","5eiv","A",0.045,0.11,-0.061,0.15,66,0.089,0.074,0.016,0.16,190,"C_terminal",217,215,215,190,0.87,2,0
"Q8IXJ6","5fyq","A",0.16,0.14,0.023,0.3,43,0.1,0.15,-0.042,0.25,356,"C_terminal",347,356,356,356,1,9,0
"P57768","5gw0","E",0.083,0.1,-0.019,0.19,108,0.16,0.18,-0.022,0.34,179,"N_terminal",108,108,100,108,0.75,0,8
"Q9P258","5gwn","A",0.18,0.13,0.054,0.31,93,0.12,0.1,0.014,0.22,434,"N_terminal",93,90,89,90,1,3,1
"Q9NZH6","5hn1","B",0.059,0.18,-0.12,0.24,51,0.13,0.11,0.023,0.24,173,"N_terminal",51,50,46,50,1,1,4
"Q8WV22","5hvq","C",0.29,0.17,0.12,0.46,24,0.12,0.15,-0.029,0.27,238,"C_terminal",243,246,246,246,0.98,3,0
"O95271","5jhq","D",0.034,0.045,-0.011,0.078,179,0.11,0.11,0,0.22,476,"N_terminal",179,180,174,180,0.41,1,6
"Q8N5J2","5jkn","A",0.064,0.21,-0.15,0.27,110,0.065,0.13,-0.062,0.19,275,"N_terminal",110,111,110,111,0.76,1,1
"Q96PZ0","5kkp","A",0.093,0.29,-0.2,0.38,107,0.14,0.12,0.02,0.26,563,"N_terminal",107,108,99,108,1,1,9
"Q96FZ2","5ko9","A",0.2,0.13,0.066,0.33,76,0.12,0.13,-0.0037,0.25,270,"C_terminal",279,270,270,270,0.96,9,0
"Q6P1K2","5lsk","B",0.067,0.17,-0.1,0.23,30,0.13,0.15,-0.017,0.28,175,"N_terminal",30,31,31,31,0.99,1,0
"Q9UPN9","5mr8","A",0.16,0.33,-0.16,0.49,43,0.12,0.15,-0.029,0.28,209,"C_terminal",1085,1087,1090,1070,0.19,2,3
"Q86UE8","5o0y","A",0,0,0,0,24,0.16,0.15,0.014,0.3,565,"C_terminal",749,743,755,743,0.75,6,12
