"Uniprot_ID","Start_Coverage_IDR","End_Coverage_IDR","Sequence_Length","N_Terminal_Status","C_Terminal_Status","Non_Tail_Status","FD_IDR_terminal_dist","Start_Coverage_FD","End_Coverage_FD","IDR_Length","FD_Length"
"Q8N157",558,579,1196,0,0,1,NA,NA,NA,21,NA
"Q8N157",1112,1196,1196,0,1,0,-4,1048,1116,84,68
"Q92974",1,33,986,1,0,0,406,439,582,32,143
"Q92974",679,737,986,0,0,1,NA,NA,NA,58,NA
"Q92974",766,797,986,0,0,1,NA,NA,NA,31,NA
"Q92974",825,986,986,0,1,0,243,439,582,161,143
"Q16281",1,67,694,1,0,0,559,626,669,66,43
"Q16281",88,156,694,0,0,1,NA,NA,NA,68,NA
"Q16281",658,694,694,0,1,0,-11,626,669,36,43
"Q9UM73",20,45,1620,0,0,1,NA,NA,NA,25,NA
"Q9UM73",297,317,1620,0,0,1,NA,NA,NA,20,NA
"Q9UM73",649,678,1620,0,0,1,NA,NA,NA,29,NA
"Q9UM73",925,954,1620,0,0,1,NA,NA,NA,29,NA
"Q9UM73",1405,1551,1620,0,0,1,NA,NA,NA,146,NA
"P78358",1,75,180,1,0,0,-15,60,72,74,12
"Q5T5X7",83,127,828,0,0,1,NA,NA,NA,44,NA
"Q5T5X7",162,189,828,0,0,1,NA,NA,NA,27,NA
"Q5T5X7",480,507,828,0,0,1,NA,NA,NA,27,NA
"Q5T5X7",646,670,828,0,0,1,NA,NA,NA,24,NA
"Q5T5X7",678,697,828,0,0,1,NA,NA,NA,19,NA
"O95994",24,46,175,0,0,1,NA,NA,NA,22,NA
"Q86VW2",36,79,580,0,0,1,NA,NA,NA,43,NA
"Q86VW2",126,157,580,0,0,1,NA,NA,NA,31,NA
"Q86VW2",476,580,580,0,1,0,-26,149,502,104,353
"O95671",218,283,621,0,0,1,NA,NA,NA,65,NA
"P46379",86,138,1132,0,0,1,NA,NA,NA,52,NA
"P46379",178,276,1132,0,0,1,NA,NA,NA,98,NA
"P46379",381,538,1132,0,0,1,NA,NA,NA,157,NA
"P46379",552,632,1132,0,0,1,NA,NA,NA,80,NA
"P46379",644,695,1132,0,0,1,NA,NA,NA,51,NA
"P46379",937,1132,1132,0,1,0,-186,1008,1123,195,115
"O75129",1,28,1339,1,0,0,740,768,1339,27,571
"O75129",47,68,1339,0,0,1,NA,NA,NA,21,NA
"O75129",84,113,1339,0,0,1,NA,NA,NA,29,NA
"O75129",290,348,1339,0,0,1,NA,NA,NA,58,NA
"O75129",362,410,1339,0,0,1,NA,NA,NA,48,NA
"Q9BXJ0",10,126,243,0,0,1,NA,NA,NA,116,NA
"P35414",328,380,380,0,1,0,-2,243,330,52,87
"Q9NQW6",1,199,1124,1,0,0,513,712,1124,198,412
"Q9NQW6",236,261,1124,0,0,1,NA,NA,NA,25,NA
"Q9NQW6",286,431,1124,0,0,1,NA,NA,NA,145,NA
"Q9NQW6",446,514,1124,0,0,1,NA,NA,NA,68,NA
"Q9NQW6",577,606,1124,0,0,1,NA,NA,NA,29,NA
"Q9NQW6",619,669,1124,0,0,1,NA,NA,NA,50,NA
"Q9NQW6",779,802,1124,0,0,1,NA,NA,NA,23,NA
"P11021",518,537,654,0,0,1,NA,NA,NA,19,NA
"P11021",631,654,654,0,1,0,-6,418,637,23,219
"O95704",59,97,486,0,0,1,NA,NA,NA,38,NA
"Q7Z2E3",117,184,356,0,0,1,NA,NA,NA,67,NA
"Q9UKL3",139,598,1982,0,0,1,NA,NA,NA,459,NA
"Q9UKL3",851,1019,1982,0,0,1,NA,NA,NA,168,NA
"Q9UKL3",1153,1205,1982,0,0,1,NA,NA,NA,52,NA
"Q9UKL3",1247,1288,1982,0,0,1,NA,NA,NA,41,NA
"Q9UKL3",1447,1524,1982,0,0,1,NA,NA,NA,77,NA
"Q9UKL3",1549,1620,1982,0,0,1,NA,NA,NA,71,NA
"Q9UKL3",1794,1913,1982,0,0,1,NA,NA,NA,119,NA
"Q5SW96",1,34,308,1,0,0,218,252,267,33,15
"Q5SW96",176,197,308,0,0,1,NA,NA,NA,21,NA
"Q5SW96",288,308,308,0,1,0,21,252,267,20,15
"Q9H4Z3",1,36,704,1,0,0,4,40,86,35,46
"Q9H4Z3",76,165,704,0,0,1,NA,NA,NA,89,NA
"Q9H4Z3",661,704,704,0,1,0,-11,174,672,43,498
"Q96G97",273,398,398,0,1,0,-125,2,398,125,396
"P53365",1,87,341,1,0,0,31,118,341,86,223
"Q8IYS0",1,55,662,1,0,0,263,318,504,54,186
"Q8IYS0",210,321,662,0,0,1,NA,NA,NA,111,NA
"Q8IYS0",517,542,662,0,0,1,NA,NA,NA,25,NA
"P33240",98,129,577,0,0,1,NA,NA,NA,31,NA
"P33240",200,417,577,0,0,1,NA,NA,NA,217,NA
"P33240",455,535,577,0,0,1,NA,NA,NA,80,NA
"Q8IW19",1,20,511,1,0,0,-19,1,105,19,104
"Q8IW19",129,148,511,0,0,1,NA,NA,NA,19,NA
"Q8IW19",200,374,511,0,0,1,NA,NA,NA,174,NA
"Q8IW19",391,429,511,0,0,1,NA,NA,NA,38,NA
"Q8IW19",441,511,511,0,1,0,-10,360,451,70,91
"P51693",1,20,650,1,0,0,265,285,499,19,214
"P51693",208,300,650,0,0,1,NA,NA,NA,92,NA
"P51693",460,576,650,0,0,1,NA,NA,NA,116,NA
"Q12996",577,599,717,0,0,1,NA,NA,NA,22,NA
"Q12996",667,717,717,0,1,0,-50,1,717,50,716
"P07306",1,33,291,1,0,0,115,148,291,32,143
"P07306",91,114,291,0,0,1,NA,NA,NA,23,NA
"O95999",127,150,233,0,0,1,NA,NA,NA,23,NA
"O95999",185,233,233,0,1,0,70,1,115,48,114
"Q9BZE9",1,20,553,1,0,0,297,317,553,19,236
"Q9BZE9",176,326,553,0,0,1,NA,NA,NA,150,NA
"Q9BZE9",497,553,553,0,1,0,-56,317,553,56,236
"Q9BQI0",128,150,150,0,1,0,-22,1,150,22,149
"P12643",84,125,396,0,0,1,NA,NA,NA,41,NA
"P12643",266,295,396,0,0,1,NA,NA,NA,29,NA
"P55196",119,251,1824,0,0,1,NA,NA,NA,132,NA
"P55196",347,383,1824,0,0,1,NA,NA,NA,36,NA
"P55196",516,598,1824,0,0,1,NA,NA,NA,82,NA
"P55196",1101,1824,1824,0,1,0,5,1001,1096,723,95
"P22004",23,205,513,0,0,1,NA,NA,NA,182,NA
"P22004",370,408,513,0,0,1,NA,NA,NA,38,NA
"P26232",38,59,953,0,0,1,NA,NA,NA,21,NA
"P26232",636,660,953,0,0,1,NA,NA,NA,24,NA
"P26232",910,953,953,0,1,0,-43,651,953,43,302
"Q9H3M9",209,338,355,0,0,1,NA,NA,NA,129,NA
"Q9UBW5",251,565,565,0,1,0,6,11,245,314,234
"P02461",87,1202,1466,0,0,1,NA,NA,NA,1115,NA
"Q07817",16,75,233,0,0,1,NA,NA,NA,59,NA
"P02462",23,1461,1669,0,0,1,NA,NA,NA,1438,NA
"Q01955",42,1460,1670,0,0,1,NA,NA,NA,1418,NA
"Q13542",1,24,120,1,0,0,-6,18,65,23,47
"Q13542",61,120,120,0,1,0,-4,18,65,59,47
"Q13131",389,409,559,0,0,1,NA,NA,NA,20,NA
"Q13131",483,541,559,0,0,1,NA,NA,NA,58,NA
"Q9BZB8",106,257,566,0,0,1,NA,NA,NA,151,NA
"Q9BZB8",547,566,566,0,1,0,-19,294,566,19,272
"Q00536",1,115,496,1,0,0,48,163,478,114,315
"Q00536",473,496,496,0,1,0,-5,163,478,23,315
"P07333",726,745,972,0,0,1,NA,NA,NA,19,NA
"P07333",914,954,972,0,0,1,NA,NA,NA,40,NA
"O75128",1,48,1261,1,0,0,1044,1092,1106,47,14
"O75128",255,483,1261,0,0,1,NA,NA,NA,228,NA
"O75128",495,608,1261,0,0,1,NA,NA,NA,113,NA
"O75128",658,700,1261,0,0,1,NA,NA,NA,42,NA
"O75128",775,866,1261,0,0,1,NA,NA,NA,91,NA
"O75128",892,1148,1261,0,0,1,NA,NA,NA,256,NA
"O75128",1179,1235,1261,0,0,1,NA,NA,NA,56,NA
"P00450",489,508,1065,0,0,1,NA,NA,NA,19,NA
"P25054",92,126,2843,0,0,1,NA,NA,NA,34,NA
"P25054",235,308,2843,0,0,1,NA,NA,NA,73,NA
"P25054",771,994,2843,0,0,1,NA,NA,NA,223,NA
"P25054",1007,1252,2843,0,0,1,NA,NA,NA,245,NA
"P25054",1277,1487,2843,0,0,1,NA,NA,NA,210,NA
"P25054",1518,2100,2843,0,0,1,NA,NA,NA,582,NA
"P25054",2123,2641,2843,0,0,1,NA,NA,NA,518,NA
"P25054",2664,2843,2843,0,1,0,-179,2833,2843,179,10
"P49336",327,464,464,0,1,0,-77,1,404,137,403
"P07358",27,51,591,0,0,1,NA,NA,NA,24,NA
"P07358",557,591,591,0,1,0,-34,55,591,34,536
"Q14781",35,206,532,0,0,1,NA,NA,NA,171,NA
"Q14781",295,351,532,0,0,1,NA,NA,NA,56,NA
"Q14781",363,498,532,0,0,1,NA,NA,NA,135,NA
"Q9P218",116,172,1284,0,0,1,NA,NA,NA,56,NA
"Q9P218",501,565,1284,0,0,1,NA,NA,NA,64,NA
"Q9P218",594,617,1284,0,0,1,NA,NA,NA,23,NA
"Q9P218",632,655,1284,0,0,1,NA,NA,NA,23,NA
"Q9P218",727,754,1284,0,0,1,NA,NA,NA,27,NA
"Q9P218",1063,1284,1284,0,1,0,231,741,832,221,91
"P45973",1,22,191,1,0,0,-4,18,75,21,57
"P45973",42,125,191,0,0,1,NA,NA,NA,83,NA
"O95628",77,98,575,0,0,1,NA,NA,NA,21,NA
"O95628",254,381,575,0,0,1,NA,NA,NA,127,NA
"O95628",389,408,575,0,0,1,NA,NA,NA,19,NA
"O95628",419,459,575,0,0,1,NA,NA,NA,40,NA
"O95628",514,575,575,0,1,0,436,1,78,61,77
"Q8N1G2",1,73,835,1,0,0,53,126,550,72,424
"Q9P232",680,717,1028,0,0,1,NA,NA,NA,37,NA
"Q9P232",886,912,1028,0,0,1,NA,NA,NA,26,NA
"Q9BWP8",20,115,271,0,0,1,NA,NA,NA,95,NA
"Q9Y3M2",1,30,126,1,0,0,-18,12,29,29,17
"Q9Y3M2",107,126,126,0,1,0,78,12,29,19,17
"P23634",1,20,1241,1,0,0,1066,1086,1112,19,26
"P23634",291,350,1241,0,0,1,NA,NA,NA,59,NA
"P23634",1178,1199,1241,0,0,1,NA,NA,NA,21,NA
"P23634",1214,1241,1241,0,1,0,102,1086,1112,27,26
"Q5KU26",428,609,742,0,0,1,NA,NA,NA,181,NA
"Q9Y615",1,67,435,1,0,0,-66,1,65,66,64
"Q9Y615",86,112,435,0,0,1,NA,NA,NA,26,NA
"P12821",1220,1240,1306,0,0,1,NA,NA,NA,20,NA
"O75815",1,107,825,1,0,0,395,502,825,106,323
"O75815",291,325,825,0,0,1,NA,NA,NA,34,NA
"O75815",344,404,825,0,0,1,NA,NA,NA,60,NA
"O75815",460,486,825,0,0,1,NA,NA,NA,26,NA
"Q9NQ94",34,53,594,0,0,1,NA,NA,NA,19,NA
"P09543",400,421,421,0,1,0,1,186,399,21,213
"Q8N4X5",47,167,818,0,0,1,NA,NA,NA,120,NA
"Q8N4X5",306,325,818,0,0,1,NA,NA,NA,19,NA
"Q8N4X5",485,607,818,0,0,1,NA,NA,NA,122,NA
"Q8N4X5",619,684,818,0,0,1,NA,NA,NA,65,NA
"Q8N4X5",746,795,818,0,0,1,NA,NA,NA,49,NA
"O60306",752,798,1485,0,0,1,NA,NA,NA,46,NA
"O60306",1386,1485,1485,0,1,0,-99,1,1485,99,1484
"Q06481",209,300,763,0,0,1,NA,NA,NA,91,NA
"Q06481",572,633,763,0,0,1,NA,NA,NA,61,NA
"P78560",92,117,199,0,0,1,NA,NA,NA,25,NA
"P17405",1,28,631,1,0,0,21,49,631,27,582
"P17405",181,200,631,0,0,1,NA,NA,NA,19,NA
"Q8NFD5",1,1048,2236,1,0,0,-10,1038,1159,1047,121
"Q8NFD5",1144,1613,2236,0,0,1,NA,NA,NA,469,NA
"Q8NFD5",1695,1778,2236,0,0,1,NA,NA,NA,83,NA
"Q8NFD5",1805,1895,2236,0,0,1,NA,NA,NA,90,NA
"Q8NFD5",1971,1992,2236,0,0,1,NA,NA,NA,21,NA
"O60678",1,47,531,1,0,0,164,211,531,46,320
"P78536",727,824,824,0,1,0,85,581,642,97,61
"P00519",501,998,1130,0,0,1,NA,NA,NA,497,NA
"P53396",420,490,1101,0,0,1,NA,NA,NA,70,NA
"O00478",515,584,584,0,1,0,-69,328,584,69,256
"Q13490",147,168,618,0,0,1,NA,NA,NA,21,NA
"Q13490",359,390,618,0,0,1,NA,NA,NA,31,NA
"Q13490",437,456,618,0,0,1,NA,NA,NA,19,NA
"P78314",133,455,561,0,0,1,NA,NA,NA,322,NA
"O95831",99,128,613,0,0,1,NA,NA,NA,29,NA
"O95831",511,556,613,0,0,1,NA,NA,NA,45,NA
"O15516",27,46,846,0,0,1,NA,NA,NA,19,NA
"O15516",387,506,846,0,0,1,NA,NA,NA,119,NA
"O15516",603,655,846,0,0,1,NA,NA,NA,52,NA
"O15516",746,791,846,0,0,1,NA,NA,NA,45,NA
"O15516",811,846,846,0,1,0,546,105,265,35,160
"Q9H3F6",1,33,313,1,0,0,-7,26,135,32,109
"Q9H3F6",266,293,313,0,0,1,NA,NA,NA,27,NA
"P41223",1,22,144,1,0,0,-21,1,144,21,143
"P62258",234,255,255,0,1,0,0,1,234,21,233
"Q9ULI0",1,160,1458,1,0,0,792,952,1086,159,134
"Q9ULI0",236,356,1458,0,0,1,NA,NA,NA,120,NA
"Q9ULI0",938,958,1458,0,0,1,NA,NA,NA,20,NA
"Q9ULI0",1087,1124,1458,0,0,1,NA,NA,NA,37,NA
"Q9ULI0",1152,1263,1458,0,0,1,NA,NA,NA,111,NA
"Q9ULI0",1307,1359,1458,0,0,1,NA,NA,NA,52,NA
"P0DN86",116,165,165,0,1,0,-49,21,165,49,144
"P04626",1029,1255,1255,0,1,0,-18,703,1047,226,344
"Q13938",56,88,275,0,0,1,NA,NA,NA,32,NA
"P10606",20,81,129,0,0,1,NA,NA,NA,61,NA
"Q9UMR7",14,39,237,0,0,1,NA,NA,NA,25,NA
"P51686",1,23,369,1,0,0,0,23,341,22,318
"P35790",1,88,457,1,0,0,-87,1,457,87,456
"P29466",110,131,404,0,0,1,NA,NA,NA,21,NA
"P47895",1,23,512,1,0,0,-22,1,512,22,511
"Q13185",1,30,183,1,0,0,-1,29,86,29,57
"Q13185",50,130,183,0,0,1,NA,NA,NA,80,NA
"Q9NZN8",48,346,540,0,0,1,NA,NA,NA,298,NA
"P13945",243,273,408,0,0,1,NA,NA,NA,30,NA
"O14672",193,214,748,0,0,1,NA,NA,NA,21,NA
"O14672",386,410,748,0,0,1,NA,NA,NA,24,NA
"O14672",701,748,748,0,1,0,47,214,654,47,440
"P11171",1,204,864,1,0,0,6,210,488,203,278
"P11171",510,641,864,0,0,1,NA,NA,NA,131,NA
"P11171",690,733,864,0,0,1,NA,NA,NA,43,NA
"P11171",789,808,864,0,0,1,NA,NA,NA,19,NA
"P11171",845,864,864,0,1,0,357,210,488,19,278
"P63010",591,620,937,0,0,1,NA,NA,NA,29,NA
"Q9ULZ3",84,106,195,0,0,1,NA,NA,NA,22,NA
"P01024",418,451,1663,0,0,1,NA,NA,NA,33,NA
"P01024",649,679,1663,0,0,1,NA,NA,NA,30,NA
"P01024",948,984,1663,0,0,1,NA,NA,NA,36,NA
"P50895",78,105,628,0,0,1,NA,NA,NA,27,NA
"P50895",481,501,628,0,0,1,NA,NA,NA,20,NA
"P50895",574,628,628,0,1,0,312,32,262,54,230
"P55197",200,545,1068,0,0,1,NA,NA,NA,345,NA
"P55197",577,710,1068,0,0,1,NA,NA,NA,133,NA
"P55197",782,869,1068,0,0,1,NA,NA,NA,87,NA
"P55197",922,957,1068,0,0,1,NA,NA,NA,35,NA
"P55197",994,1046,1068,0,0,1,NA,NA,NA,52,NA
"P30556",321,359,359,0,1,0,2,2,319,38,317
"P28335",272,303,458,0,0,1,NA,NA,NA,31,NA
"P55789",1,72,205,1,0,0,9,81,205,71,124
"P35226",100,123,326,0,0,1,NA,NA,NA,23,NA
"P35226",229,326,326,0,1,0,-6,121,235,97,114
"Q96BP2",1,41,118,1,0,0,-40,1,118,40,117
"Q96BP2",89,118,118,0,1,0,-29,1,118,29,117
"Q7L266",1,21,308,1,0,0,-20,1,308,20,307
"Q7L266",137,161,308,0,0,1,NA,NA,NA,24,NA
"Q9BUK0",1,34,85,1,0,0,-33,1,85,33,84
"Q16186",126,160,407,0,0,1,NA,NA,NA,34,NA
"Q16186",172,284,407,0,0,1,NA,NA,NA,112,NA
"Q16186",377,407,407,0,1,0,-30,1,407,30,406
"Q9UGN4",272,299,299,0,1,0,147,19,125,27,106
"Q9BR61",1,36,282,1,0,0,6,42,137,35,95
"Q9BR61",126,145,282,0,0,1,NA,NA,NA,19,NA
"Q9UHC6",1023,1047,1331,0,0,1,NA,NA,NA,24,NA
"Q9UHC6",1296,1331,1331,0,1,0,1115,35,181,35,146
"P13497",80,127,986,0,0,1,NA,NA,NA,47,NA
"P13497",749,768,986,0,0,1,NA,NA,NA,19,NA
"P21730",1,21,350,1,0,0,9,30,333,20,303
"P10415",31,89,239,0,0,1,NA,NA,NA,58,NA
"P05089",1,27,322,1,0,0,-26,1,322,26,321
"P12645",21,56,472,0,0,1,NA,NA,NA,35,NA
"P12645",320,361,472,0,0,1,NA,NA,NA,41,NA
"Q6ZNE5",1,21,492,1,0,0,408,429,443,20,14
"Q6ZNE5",138,171,492,0,0,1,NA,NA,NA,33,NA
"Q6ZNE5",215,234,492,0,0,1,NA,NA,NA,19,NA
"Q6ZNE5",253,273,492,0,0,1,NA,NA,NA,20,NA
"Q6ZNE5",408,492,492,0,1,0,-35,429,443,84,14
"Q8N1W1",284,319,1705,0,0,1,NA,NA,NA,35,NA
"Q8N1W1",400,453,1705,0,0,1,NA,NA,NA,53,NA
"Q8N1W1",467,562,1705,0,0,1,NA,NA,NA,95,NA
"Q8N1W1",579,603,1705,0,0,1,NA,NA,NA,24,NA
"Q8N1W1",628,653,1705,0,0,1,NA,NA,NA,25,NA
"Q8N1W1",709,804,1705,0,0,1,NA,NA,NA,95,NA
"Q8N1W1",1184,1208,1705,0,0,1,NA,NA,NA,24,NA
"Q8N1W1",1311,1342,1705,0,0,1,NA,NA,NA,31,NA
"Q8N1W1",1415,1444,1705,0,0,1,NA,NA,NA,29,NA
"Q8N1W1",1589,1705,1705,0,1,0,395,1049,1194,116,145
"Q5JTC6",1,493,1135,1,0,0,3,496,508,492,12
"Q5JTC6",510,529,1135,0,0,1,NA,NA,NA,19,NA
"Q5JTC6",581,658,1135,0,0,1,NA,NA,NA,77,NA
"Q5JTC6",679,699,1135,0,0,1,NA,NA,NA,20,NA
"Q5JTC6",729,766,1135,0,0,1,NA,NA,NA,37,NA
"Q5JTC6",781,804,1135,0,0,1,NA,NA,NA,23,NA
"Q5JTC6",875,955,1135,0,0,1,NA,NA,NA,80,NA
"Q5JTC6",972,1135,1135,0,1,0,464,496,508,163,12
"P29374",118,170,1257,0,0,1,NA,NA,NA,52,NA
"P29374",270,313,1257,0,0,1,NA,NA,NA,43,NA
"P29374",411,605,1257,0,0,1,NA,NA,NA,194,NA
"P29374",629,845,1257,0,0,1,NA,NA,NA,216,NA
"P29374",857,893,1257,0,0,1,NA,NA,NA,36,NA
"P29374",927,952,1257,0,0,1,NA,NA,NA,25,NA
"P29374",1008,1168,1257,0,0,1,NA,NA,NA,160,NA
"P29374",1206,1257,1257,0,1,0,571,568,635,51,67
"O15169",1,82,862,1,0,0,-8,74,220,81,146
"O15169",213,293,862,0,0,1,NA,NA,NA,80,NA
"O15169",313,373,862,0,0,1,NA,NA,NA,60,NA
"O15169",401,731,862,0,0,1,NA,NA,NA,330,NA
"Q9Y6D5",205,290,1785,0,0,1,NA,NA,NA,85,NA
"Q9Y6D5",327,358,1785,0,0,1,NA,NA,NA,31,NA
"Q9Y6D5",1496,1538,1785,0,0,1,NA,NA,NA,42,NA
"Q92688",146,251,251,0,1,0,-15,1,161,105,160
"Q2TBE0",1,230,894,1,0,0,-229,1,894,229,893
"Q2TBE0",264,488,894,0,0,1,NA,NA,NA,224,NA
"Q2TBE0",557,587,894,0,0,1,NA,NA,NA,30,NA
"Q8IYD1",1,54,628,1,0,0,5,59,73,53,14
"Q8IYD1",67,197,628,0,0,1,NA,NA,NA,130,NA
"P08912",1,20,532,1,0,0,1,21,224,19,203
"P08912",222,373,532,0,0,1,NA,NA,NA,151,NA
"Q68CZ1",1,45,1315,1,0,0,550,595,737,44,142
"Q68CZ1",140,175,1315,0,0,1,NA,NA,NA,35,NA
"Q68CZ1",764,788,1315,0,0,1,NA,NA,NA,24,NA
"Q68CZ1",954,1090,1315,0,0,1,NA,NA,NA,136,NA
"Q9BZS1",1,70,431,1,0,0,266,336,417,69,81
"P82279",1371,1406,1406,0,1,0,-35,1390,1406,35,16
"P28329",1,137,748,1,0,0,-17,120,733,136,613
"P28329",724,748,748,0,1,0,-9,120,733,24,613
"Q7Z6B0",1,31,441,1,0,0,-29,2,16,30,14
"Q7Z6B0",331,354,441,0,0,1,NA,NA,NA,23,NA
"Q9H444",1,33,224,1,0,0,-10,23,97,32,74
"Q9H444",148,224,224,0,1,0,51,23,97,76,74
"Q6NS38",1,57,261,1,0,0,-1,56,261,56,205
"Q9NQ75",82,135,786,0,0,1,NA,NA,NA,53,NA
"Q9NQ75",167,303,786,0,0,1,NA,NA,NA,136,NA
"Q9NQ75",334,434,786,0,0,1,NA,NA,NA,100,NA
"Q9NQ75",609,672,786,0,0,1,NA,NA,NA,63,NA
"A9YTQ3",1,44,701,1,0,0,-17,27,280,43,253
