




Analysis Type:	PANTHER Overrepresentation Test (Released 20220712)
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20589)	Client Text Box Input (1027)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
mRNA splicing, via spliceosome (GO:0000398)	176	31	8.78	+	3.53	1.42E-08	5.43E-07
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	176	31	8.78	+	3.53	1.42E-08	5.34E-07
RNA splicing, via transesterification reactions (GO:0000375)	176	31	8.78	+	3.53	1.42E-08	5.25E-07
recombinational repair (GO:0000725)	69	12	3.44	+	3.49	4.25E-04	5.86E-03
protein depolymerization (GO:0051261)	46	8	2.29	+	3.49	3.77E-03	3.57E-02
regulation of microtubule-based process (GO:0032886)	58	10	2.89	+	3.46	1.33E-03	1.52E-02
sister chromatid segregation (GO:0000819)	70	12	3.49	+	3.44	4.76E-04	6.41E-03
double-strand break repair (GO:0006302)	109	18	5.44	+	3.31	3.19E-05	5.94E-04
mRNA processing (GO:0006397)	229	37	11.42	+	3.24	4.60E-09	1.93E-07
chromosome segregation (GO:0007059)	118	19	5.89	+	3.23	2.65E-05	5.11E-04
mitotic sister chromatid segregation (GO:0000070)	56	9	2.79	+	3.22	3.48E-03	3.33E-02
regulation of RNA splicing (GO:0043484)	75	12	3.74	+	3.21	8.21E-04	1.01E-02
nuclear chromosome segregation (GO:0098813)	101	16	5.04	+	3.18	1.33E-04	2.09E-03
biological phase (GO:0044848)	57	9	2.84	+	3.17	3.86E-03	3.63E-02
cell cycle phase (GO:0022403)	57	9	2.84	+	3.17	3.86E-03	3.62E-02
DNA metabolic process (GO:0006259)	324	51	16.16	+	3.16	1.31E-11	9.37E-10
regulation of mRNA processing (GO:0050684)	58	9	2.89	+	3.11	4.28E-03	3.96E-02
rRNA processing (GO:0006364)	110	16	5.49	+	2.92	3.16E-04	4.52E-03
ribosome biogenesis (GO:0042254)	167	24	8.33	+	2.88	1.36E-05	2.82E-04
mRNA metabolic process (GO:0016071)	316	44	15.76	+	2.79	9.63E-09	3.82E-07
ribonucleoprotein complex biogenesis (GO:0022613)	223	31	11.12	+	2.79	1.50E-06	3.77E-05
DNA repair (GO:0006281)	197	27	9.83	+	2.75	8.79E-06	1.93E-04
rRNA metabolic process (GO:0016072)	117	16	5.84	+	2.74	5.81E-04	7.68E-03
DNA biosynthetic process (GO:0071897)	96	13	4.79	+	2.71	1.99E-03	2.15E-02
RNA processing (GO:0006396)	481	65	23.99	+	2.71	1.09E-11	8.04E-10
positive regulation of macromolecule biosynthetic process (GO:0010557)	270	36	13.47	+	2.67	8.44E-07	2.34E-05
positive regulation of nucleic acid-templated transcription (GO:1903508)	237	31	11.82	+	2.62	6.62E-06	1.50E-04
positive regulation of transcription, DNA-templated (GO:0045893)	237	31	11.82	+	2.62	6.62E-06	1.48E-04
positive regulation of RNA biosynthetic process (GO:1902680)	237	31	11.82	+	2.62	6.62E-06	1.47E-04
positive regulation of cellular biosynthetic process (GO:0031328)	279	36	13.92	+	2.59	1.28E-06	3.42E-05
positive regulation of biosynthetic process (GO:0009891)	282	36	14.07	+	2.56	1.52E-06	3.76E-05
positive regulation of transcription by RNA polymerase II (GO:0045944)	181	23	9.03	+	2.55	1.58E-04	2.41E-03
cellular response to DNA damage stimulus (GO:0006974)	252	31	12.57	+	2.47	1.49E-05	3.02E-04
positive regulation of RNA metabolic process (GO:0051254)	287	34	14.32	+	2.37	1.38E-05	2.83E-04
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	309	35	15.41	+	2.27	2.79E-05	5.35E-04
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	327	37	16.31	+	2.27	1.53E-05	3.05E-04
microtubule cytoskeleton organization (GO:0000226)	373	41	18.61	+	2.20	1.04E-05	2.26E-04
nucleic acid metabolic process (GO:0090304)	2686	276	133.98	+	2.06	2.84E-30	6.29E-27
establishment of organelle localization (GO:0051656)	239	24	11.92	+	2.01	2.02E-03	2.17E-02
microtubule-based process (GO:0007017)	488	49	24.34	+	2.01	1.25E-05	2.61E-04
cell cycle process (GO:0022402)	442	44	22.05	+	2.00	5.06E-05	8.99E-04
nuclear division (GO:0000280)	326	32	16.26	+	1.97	6.12E-04	7.95E-03
cell cycle (GO:0007049)	476	46	23.74	+	1.94	6.08E-05	1.05E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1911	184	95.32	+	1.93	8.22E-17	1.82E-14
organelle fission (GO:0048285)	343	33	17.11	+	1.93	8.06E-04	1.00E-02
mitotic cell cycle (GO:0000278)	271	26	13.52	+	1.92	3.40E-03	3.33E-02
mitotic cell cycle process (GO:1903047)	271	26	13.52	+	1.92	3.40E-03	3.31E-02
mitotic nuclear division (GO:0140014)	271	26	13.52	+	1.92	3.40E-03	3.30E-02
RNA metabolic process (GO:0016070)	2410	229	120.21	+	1.90	1.95E-20	6.19E-18
nucleobase-containing compound metabolic process (GO:0006139)	2928	276	146.05	+	1.89	9.42E-25	1.05E-21
heterocycle metabolic process (GO:0046483)	2978	276	148.55	+	1.86	1.23E-23	9.09E-21
cytoskeleton organization (GO:0007010)	723	67	36.06	+	1.86	4.93E-06	1.13E-04
cellular aromatic compound metabolic process (GO:0006725)	2989	276	149.09	+	1.85	2.27E-23	1.26E-20
organic cyclic compound metabolic process (GO:1901360)	3041	276	151.69	+	1.82	1.92E-22	8.51E-20
protein-containing complex subunit organization (GO:0043933)	452	41	22.55	+	1.82	5.35E-04	7.11E-03
regulation of RNA metabolic process (GO:0051252)	1853	168	92.43	+	1.82	3.53E-13	3.92E-11
negative regulation of nitrogen compound metabolic process (GO:0051172)	501	45	24.99	+	1.80	3.25E-04	4.63E-03
RNA biosynthetic process (GO:0032774)	1798	161	89.69	+	1.80	3.06E-12	2.83E-10
nucleic acid-templated transcription (GO:0097659)	1790	160	89.29	+	1.79	4.14E-12	3.68E-10
transcription, DNA-templated (GO:0006351)	1790	160	89.29	+	1.79	4.14E-12	3.53E-10
regulation of transcription, DNA-templated (GO:0006355)	1713	152	85.45	+	1.78	2.62E-11	1.57E-09
regulation of nucleic acid-templated transcription (GO:1903506)	1713	152	85.45	+	1.78	2.62E-11	1.53E-09
regulation of RNA biosynthetic process (GO:2001141)	1713	152	85.45	+	1.78	2.62E-11	1.49E-09
cellular nitrogen compound metabolic process (GO:0034641)	3265	289	162.86	+	1.77	4.98E-22	1.84E-19
negative regulation of macromolecule metabolic process (GO:0010605)	589	52	29.38	+	1.77	2.05E-04	3.06E-03
regulation of cellular macromolecule biosynthetic process (GO:2000112)	1849	163	92.23	+	1.77	8.16E-12	6.47E-10
regulation of macromolecule biosynthetic process (GO:0010556)	1853	163	92.43	+	1.76	8.65E-12	6.62E-10
regulation of gene expression (GO:0010468)	2106	185	105.05	+	1.76	2.21E-13	2.58E-11
negative regulation of cellular metabolic process (GO:0031324)	524	46	26.14	+	1.76	4.41E-04	6.01E-03
gene expression (GO:0010467)	2894	252	144.36	+	1.75	4.80E-18	1.33E-15
negative regulation of metabolic process (GO:0009892)	609	53	30.38	+	1.74	2.60E-04	3.79E-03
regulation of cellular biosynthetic process (GO:0031326)	1875	163	93.53	+	1.74	2.35E-11	1.49E-09
regulation of biosynthetic process (GO:0009889)	1881	163	93.83	+	1.74	2.55E-11	1.57E-09
cellular component biogenesis (GO:0044085)	1024	88	51.08	+	1.72	2.22E-06	5.29E-05
regulation of macromolecule metabolic process (GO:0060255)	2533	217	126.35	+	1.72	1.35E-14	1.87E-12
regulation of nitrogen compound metabolic process (GO:0051171)	2359	202	117.67	+	1.72	1.48E-13	1.83E-11
nucleobase-containing compound biosynthetic process (GO:0034654)	2026	173	101.06	+	1.71	1.79E-11	1.20E-09
regulation of primary metabolic process (GO:0080090)	2384	202	118.92	+	1.70	3.98E-13	4.02E-11
heterocycle biosynthetic process (GO:0018130)	2057	173	102.61	+	1.69	5.09E-11	2.83E-09
aromatic compound biosynthetic process (GO:0019438)	2057	173	102.61	+	1.69	5.09E-11	2.76E-09
organic cyclic compound biosynthetic process (GO:1901362)	2086	173	104.05	+	1.66	1.37E-10	6.62E-09
transcription by RNA polymerase II (GO:0006366)	1438	119	71.73	+	1.66	2.34E-07	7.01E-06
cellular macromolecule biosynthetic process (GO:0034645)	2326	192	116.02	+	1.65	1.69E-11	1.18E-09
macromolecule biosynthetic process (GO:0009059)	2332	192	116.32	+	1.65	1.83E-11	1.20E-09
regulation of cellular metabolic process (GO:0031323)	2470	203	123.21	+	1.65	5.16E-12	4.24E-10
regulation of metabolic process (GO:0019222)	2659	217	132.63	+	1.64	1.17E-12	1.13E-10
organelle organization (GO:0006996)	1879	153	93.73	+	1.63	7.07E-09	2.85E-07
regulation of transcription by RNA polymerase II (GO:0006357)	1383	112	68.99	+	1.62	1.44E-06	3.71E-05
cellular nitrogen compound biosynthetic process (GO:0044271)	2352	190	117.32	+	1.62	1.15E-10	5.80E-09
positive regulation of macromolecule metabolic process (GO:0010604)	608	47	30.33	+	1.55	4.95E-03	4.43E-02
cellular component assembly (GO:0022607)	896	66	44.69	+	1.48	3.08E-03	3.09E-02
cellular component organization or biogenesis (GO:0071840)	2644	194	131.89	+	1.47	1.01E-07	3.35E-06
macromolecule metabolic process (GO:0043170)	4815	349	240.18	+	1.45	8.38E-14	1.09E-11
cellular macromolecule metabolic process (GO:0044260)	3864	280	192.74	+	1.45	1.14E-10	5.87E-09
cellular biosynthetic process (GO:0044249)	2731	193	136.23	+	1.42	1.36E-06	3.58E-05
organic substance biosynthetic process (GO:1901576)	2773	194	138.32	+	1.40	2.50E-06	5.91E-05
biosynthetic process (GO:0009058)	2778	194	138.57	+	1.40	2.57E-06	5.99E-05
cellular component organization (GO:0016043)	2518	173	125.60	+	1.38	2.96E-05	5.56E-04
nitrogen compound metabolic process (GO:0006807)	5018	339	250.30	+	1.35	1.39E-09	6.17E-08
primary metabolic process (GO:0044238)	5251	344	261.93	+	1.31	2.67E-08	9.40E-07
cellular metabolic process (GO:0044237)	5332	344	265.97	+	1.29	1.30E-07	4.19E-06
organic substance metabolic process (GO:0071704)	5685	354	283.57	+	1.25	2.92E-06	6.76E-05
metabolic process (GO:0008152)	5907	355	294.65	+	1.20	6.70E-05	1.14E-03
localization (GO:0051179)	2469	82	123.16	-	.67	5.72E-05	1.01E-03
organonitrogen compound metabolic process (GO:1901564)	2573	83	128.34	-	.65	1.12E-05	2.41E-04
establishment of localization (GO:0051234)	1993	60	99.41	-	.60	1.95E-05	3.87E-04
cellular catabolic process (GO:0044248)	798	23	39.81	-	.58	5.62E-03	4.92E-02
transport (GO:0006810)	1962	54	97.87	-	.55	1.16E-06	3.19E-05
catabolic process (GO:0009056)	893	24	44.54	-	.54	1.10E-03	1.29E-02
cellular response to stimulus (GO:0051716)	2589	67	129.14	-	.52	6.72E-10	3.11E-08
phosphate-containing compound metabolic process (GO:0006796)	960	24	47.89	-	.50	2.14E-04	3.17E-03
phosphorus metabolic process (GO:0006793)	965	24	48.14	-	.50	1.67E-04	2.53E-03
nitrogen compound transport (GO:0071705)	567	14	28.28	-	.50	5.35E-03	4.75E-02
response to stimulus (GO:0050896)	3119	77	155.58	-	.49	3.95E-13	4.18E-11
regulation of molecular function (GO:0065009)	733	17	36.56	-	.46	6.00E-04	7.88E-03
intracellular signal transduction (GO:0035556)	820	18	40.90	-	.44	9.10E-05	1.52E-03
cell-cell signaling (GO:0007267)	419	9	20.90	-	.43	5.72E-03	4.91E-02
regulation of biological quality (GO:0065008)	828	16	41.30	-	.39	1.48E-05	3.01E-04
regulation of response to stimulus (GO:0048583)	989	19	49.33	-	.39	1.44E-06	3.68E-05
response to external stimulus (GO:0009605)	575	11	28.68	-	.38	3.48E-04	4.93E-03
organic substance transport (GO:0071702)	736	14	36.71	-	.38	3.48E-05	6.43E-04
regulation of localization (GO:0032879)	399	7	19.90	-	.35	1.98E-03	2.14E-02
signaling (GO:0023052)	2321	40	115.77	-	.35	1.06E-16	2.13E-14
cell communication (GO:0007154)	2328	40	116.12	-	.34	7.67E-17	1.89E-14
signal transduction (GO:0007165)	2150	35	107.24	-	.33	2.02E-16	3.73E-14
regulation of cell communication (GO:0010646)	789	12	39.36	-	.30	6.87E-07	1.98E-05
regulation of signaling (GO:0023051)	790	12	39.41	-	.30	6.90E-07	1.96E-05
cation transmembrane transport (GO:0098655)	343	5	17.11	-	.29	1.34E-03	1.52E-02
regulation of multicellular organismal process (GO:0051239)	275	4	13.72	-	.29	4.36E-03	4.02E-02
regulation of intracellular signal transduction (GO:1902531)	415	6	20.70	-	.29	4.33E-04	5.93E-03
regulation of signal transduction (GO:0009966)	702	10	35.02	-	.29	1.52E-06	3.78E-05
cation transport (GO:0006812)	428	6	21.35	-	.28	2.22E-04	3.27E-03
chemical homeostasis (GO:0048878)	288	4	14.37	-	.28	3.22E-03	3.21E-02
cellular lipid metabolic process (GO:0044255)	367	5	18.31	-	.27	5.17E-04	6.91E-03
response to chemical (GO:0042221)	818	11	40.80	-	.27	6.78E-08	2.28E-06
ion homeostasis (GO:0050801)	236	3	11.77	-	.25	5.50E-03	4.83E-02
positive regulation of response to stimulus (GO:0048584)	474	6	23.64	-	.25	4.59E-05	8.36E-04
cellular homeostasis (GO:0019725)	241	3	12.02	-	.25	5.67E-03	4.88E-02
homeostatic process (GO:0042592)	331	4	16.51	-	.24	6.41E-04	8.13E-03
cell surface receptor signaling pathway (GO:0007166)	999	12	49.83	-	.24	2.86E-10	1.35E-08
response to endogenous stimulus (GO:0009719)	250	3	12.47	-	.24	4.10E-03	3.83E-02
lipid metabolic process (GO:0006629)	419	5	20.90	-	.24	7.37E-05	1.25E-03
positive regulation of immune system process (GO:0002684)	254	3	12.67	-	.24	2.85E-03	2.89E-02
defense response to other organism (GO:0098542)	262	3	13.07	-	.23	2.04E-03	2.18E-02
ion transmembrane transport (GO:0034220)	439	5	21.90	-	.23	3.83E-05	7.03E-04
cell death (GO:0008219)	270	3	13.47	-	.22	1.46E-03	1.63E-02
response to organic substance (GO:0010033)	573	6	28.58	-	.21	8.26E-07	2.32E-05
cellular response to chemical stimulus (GO:0070887)	581	6	28.98	-	.21	5.87E-07	1.74E-05
ion transport (GO:0006811)	606	6	30.23	-	.20	2.10E-07	6.55E-06
inorganic cation transmembrane transport (GO:0098662)	310	3	15.46	-	.19	3.93E-04	5.49E-03
metal ion transport (GO:0030001)	313	3	15.61	-	.19	2.67E-04	3.88E-03
lipid biosynthetic process (GO:0008610)	212	2	10.57	-	.19	3.34E-03	3.30E-02
cell-cell adhesion (GO:0098609)	214	2	10.67	-	.19	3.36E-03	3.30E-02
immune response (GO:0006955)	541	5	26.99	-	.19	6.46E-07	1.89E-05
inorganic ion transmembrane transport (GO:0098660)	334	3	16.66	-	.18	1.38E-04	2.14E-03
transmembrane transport (GO:0055085)	565	5	28.18	-	.18	2.25E-07	6.95E-06
response to external biotic stimulus (GO:0043207)	339	3	16.91	-	.18	9.48E-05	1.57E-03
response to other organism (GO:0051707)	339	3	16.91	-	.18	9.48E-05	1.56E-03
regulation of immune system process (GO:0002682)	339	3	16.91	-	.18	9.48E-05	1.55E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	339	3	16.91	-	.18	9.48E-05	1.54E-03
response to biotic stimulus (GO:0009607)	340	3	16.96	-	.18	9.52E-05	1.53E-03
organophosphate biosynthetic process (GO:0090407)	234	2	11.67	-	.17	1.71E-03	1.87E-02
cellular response to endogenous stimulus (GO:0071495)	235	2	11.72	-	.17	1.74E-03	1.89E-02
cellular response to organic substance (GO:0071310)	473	4	23.59	-	.17	1.93E-06	4.65E-05
apoptotic process (GO:0006915)	245	2	12.22	-	.16	1.25E-03	1.44E-02
defense response (GO:0006952)	375	3	18.71	-	.16	2.37E-05	4.61E-04
programmed cell death (GO:0012501)	253	2	12.62	-	.16	8.75E-04	1.07E-02
positive regulation of signal transduction (GO:0009967)	261	2	13.02	-	.15	6.11E-04	7.98E-03
organophosphate metabolic process (GO:0019637)	395	3	19.70	-	.15	1.22E-05	2.57E-04
immune system process (GO:0002376)	694	5	34.62	-	.14	1.09E-09	4.93E-08
positive regulation of cell communication (GO:0010647)	290	2	14.47	-	.14	1.40E-04	2.15E-03
positive regulation of signaling (GO:0023056)	290	2	14.47	-	.14	1.40E-04	2.14E-03
G protein-coupled receptor signaling pathway (GO:0007186)	442	3	22.05	-	.14	1.36E-06	3.56E-05
enzyme linked receptor protein signaling pathway (GO:0007167)	303	2	15.11	-	.13	1.03E-04	1.64E-03
carboxylic acid metabolic process (GO:0019752)	314	2	15.66	-	.13	4.71E-05	8.50E-04
oxoacid metabolic process (GO:0043436)	318	2	15.86	-	.13	4.87E-05	8.72E-04
regulation of apoptotic process (GO:0042981)	166	1	8.28	-	.12	5.25E-03	4.68E-02
organic acid metabolic process (GO:0006082)	333	2	16.61	-	.12	2.31E-05	4.54E-04
positive regulation of intracellular signal transduction (GO:1902533)	168	1	8.38	-	.12	5.36E-03	4.74E-02
response to cytokine (GO:0034097)	169	1	8.43	-	.12	5.44E-03	4.79E-02
regulation of programmed cell death (GO:0043067)	171	1	8.53	-	.12	3.58E-03	3.41E-02
response to oxygen-containing compound (GO:1901700)	178	1	8.88	-	.11	3.81E-03	3.60E-02
cell population proliferation (GO:0008283)	180	1	8.98	-	.11	2.48E-03	2.54E-02
second-messenger-mediated signaling (GO:0019932)	210	1	10.48	-	.10	8.55E-04	1.05E-02
small molecule metabolic process (GO:0044281)	648	3	32.32	-	.09	1.29E-10	6.35E-09
carbohydrate derivative biosynthetic process (GO:1901137)	279	1	13.92	-	.07	2.80E-05	5.31E-04
carbohydrate derivative metabolic process (GO:1901135)	437	1	21.80	-	.05	1.97E-08	7.18E-07
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	142	0	7.08	-	 < 0.01	2.16E-03	2.23E-02
lymphocyte mediated immunity (GO:0002449)	147	0	7.33	-	 < 0.01	1.39E-03	1.57E-02
leukocyte mediated immunity (GO:0002443)	154	0	7.68	-	 < 0.01	9.28E-04	1.13E-02
production of molecular mediator of immune response (GO:0002440)	125	0	6.24	-	 < 0.01	4.72E-03	4.27E-02
nucleotide biosynthetic process (GO:0009165)	126	0	6.29	-	 < 0.01	4.80E-03	4.31E-02
cytokine-mediated signaling pathway (GO:0019221)	147	0	7.33	-	 < 0.01	1.39E-03	1.57E-02
purine ribonucleotide metabolic process (GO:0009150)	152	0	7.58	-	 < 0.01	1.52E-03	1.68E-02
nucleotide metabolic process (GO:0009117)	197	0	9.83	-	 < 0.01	1.31E-04	2.08E-03
regulation of cell population proliferation (GO:0042127)	156	0	7.78	-	 < 0.01	9.43E-04	1.14E-02
response to growth factor (GO:0070848)	139	0	6.93	-	 < 0.01	2.07E-03	2.17E-02
purine nucleotide metabolic process (GO:0006163)	161	0	8.03	-	 < 0.01	6.22E-04	8.03E-03
defense response to bacterium (GO:0042742)	138	0	6.88	-	 < 0.01	2.06E-03	2.16E-02
sulfur compound metabolic process (GO:0006790)	135	0	6.73	-	 < 0.01	3.29E-03	3.26E-02
nucleoside phosphate metabolic process (GO:0006753)	211	0	10.52	-	 < 0.01	5.80E-05	1.01E-03
small molecule catabolic process (GO:0044282)	122	0	6.09	-	 < 0.01	4.56E-03	4.15E-02
positive regulation of leukocyte activation (GO:0002696)	137	0	6.83	-	 < 0.01	2.05E-03	2.18E-02
regulation of leukocyte activation (GO:0002694)	157	0	7.83	-	 < 0.01	9.56E-04	1.15E-02
leukocyte activation (GO:0045321)	198	0	9.88	-	 < 0.01	1.33E-04	2.08E-03
lipid localization (GO:0010876)	125	0	6.24	-	 < 0.01	4.72E-03	4.26E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	245	0	12.22	-	 < 0.01	1.21E-05	2.58E-04
response to bacterium (GO:0009617)	204	0	10.18	-	 < 0.01	8.70E-05	1.46E-03
positive regulation of cell activation (GO:0050867)	137	0	6.83	-	 < 0.01	2.05E-03	2.17E-02
regulation of cell activation (GO:0050865)	159	0	7.93	-	 < 0.01	9.93E-04	1.17E-02
immune effector process (GO:0002252)	182	0	9.08	-	 < 0.01	2.95E-04	4.25E-03
adaptive immune response (GO:0002250)	165	0	8.23	-	 < 0.01	6.42E-04	8.10E-03
humoral immune response (GO:0006959)	158	0	7.88	-	 < 0.01	9.73E-04	1.16E-02
inflammatory response (GO:0006954)	139	0	6.93	-	 < 0.01	2.07E-03	2.16E-02
purine-containing compound metabolic process (GO:0072521)	175	0	8.73	-	 < 0.01	4.48E-04	6.07E-03
lymphocyte activation (GO:0046649)	188	0	9.38	-	 < 0.01	1.92E-04	2.89E-03
ribose phosphate metabolic process (GO:0019693)	166	0	8.28	-	 < 0.01	6.53E-04	8.19E-03
positive regulation of lymphocyte activation (GO:0051251)	132	0	6.58	-	 < 0.01	3.12E-03	3.12E-02
ribonucleotide metabolic process (GO:0009259)	158	0	7.88	-	 < 0.01	9.73E-04	1.15E-02
regulation of lymphocyte activation (GO:0051249)	148	0	7.38	-	 < 0.01	1.40E-03	1.57E-02
cell activation (GO:0001775)	212	0	10.57	-	 < 0.01	5.85E-05	1.01E-03
nucleoside phosphate biosynthetic process (GO:1901293)	129	0	6.43	-	 < 0.01	3.05E-03	3.08E-02
cellular amino acid metabolic process (GO:0006520)	142	0	7.08	-	 < 0.01	2.16E-03	2.22E-02
cellular response to growth factor stimulus (GO:0071363)	139	0	6.93	-	 < 0.01	2.07E-03	2.15E-02
anion transport (GO:0006820)	164	0	8.18	-	 < 0.01	6.34E-04	8.13E-03
