#File Plotted Below: p8_pa_errrors.txt

    #Fit from 0.01-0.15 with polymer MFF
#Initial search parameter for I0 = 0.024195974500000002
#Initial search parameter for Rg = 30.000000000000004
#Initial search parameter for nu = 0.499880565034448
#BestFit for I0 = 0.02865 +- 0.00013
#BestFit for I(0)/I0 = 1.00000 +- 0.00469
#BestFit for Rg = 24.26642 +- 0.10768
#BestFit for nu = 0.53887 +- 0.00971
#BestFit reduced chisquared = 1.43227
#-------------
#-------------

    #q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.03555,0.02328,0.00044,0.02246,0.81263,0.01551,0.78390,0.86273,0.60485,0.01155,0.58346
0.03589,0.02287,0.00044,0.02236,0.79839,0.01541,0.78052,0.87084,0.60546,0.01168,0.59191
0.03622,0.02182,0.00043,0.02226,0.76174,0.01512,0.77713,0.87894,0.58847,0.01168,0.60036
0.03655,0.02203,0.00043,0.02216,0.76912,0.01518,0.77374,0.88704,0.60517,0.01194,0.60880
0.03689,0.02198,0.00043,0.02207,0.76740,0.01516,0.77033,0.89514,0.61490,0.01215,0.61725
0.03722,0.02164,0.00043,0.02197,0.75532,0.01507,0.76692,0.90324,0.61622,0.01229,0.62568
0.03756,0.02135,0.00043,0.02187,0.74514,0.01499,0.76350,0.91134,0.61887,0.01245,0.63412
0.03789,0.02234,0.00044,0.02177,0.78000,0.01526,0.76007,0.91944,0.65939,0.01290,0.64254
0.03822,0.02161,0.00043,0.02167,0.75431,0.01506,0.75664,0.92754,0.64896,0.01296,0.65096
0.03856,0.02209,0.00044,0.02158,0.77130,0.01519,0.75320,0.93564,0.67522,0.01330,0.65937
0.03889,0.02171,0.00043,0.02148,0.75781,0.01509,0.74976,0.94374,0.67494,0.01344,0.66777
0.03922,0.02156,0.00043,0.02138,0.75252,0.01505,0.74631,0.95184,0.68178,0.01363,0.67616
0.03956,0.02115,0.00043,0.02128,0.73838,0.01493,0.74285,0.95994,0.68041,0.01376,0.68453
0.03989,0.02073,0.00042,0.02118,0.72354,0.01481,0.73939,0.96805,0.67804,0.01388,0.69290
0.04023,0.02131,0.00043,0.02108,0.74391,0.01498,0.73593,0.97615,0.70885,0.01427,0.70124
0.04056,0.02056,0.00042,0.02098,0.71764,0.01476,0.73247,0.98425,0.69521,0.01430,0.70957
0.04089,0.02118,0.00043,0.02088,0.73927,0.01494,0.72900,0.99235,0.72799,0.01471,0.71788
0.04123,0.02121,0.00043,0.02078,0.74038,0.01495,0.72552,1.00045,0.74104,0.01496,0.72618
0.04156,0.02042,0.00042,0.02068,0.71296,0.01472,0.72205,1.00855,0.72520,0.01498,0.73445
0.04190,0.02053,0.00042,0.02058,0.71672,0.01475,0.71858,1.01665,0.74079,0.01525,0.74270
0.04223,0.02021,0.00042,0.02048,0.70538,0.01466,0.71510,1.02475,0.74073,0.01540,0.75093
0.04256,0.02053,0.00042,0.02039,0.71682,0.01476,0.71162,1.03285,0.76469,0.01574,0.75914
0.04290,0.02030,0.00042,0.02029,0.70879,0.01469,0.70814,1.04095,0.76803,0.01592,0.76733
0.04323,0.02016,0.00042,0.02019,0.70393,0.01465,0.70466,1.04905,0.77468,0.01612,0.77549
0.04356,0.01928,0.00041,0.02009,0.67320,0.01439,0.70118,1.05715,0.75235,0.01608,0.78362
0.04390,0.01990,0.00042,0.01999,0.69467,0.01457,0.69770,1.06525,0.78829,0.01654,0.79173
0.04423,0.02015,0.00042,0.01989,0.70347,0.01464,0.69422,1.07336,0.81046,0.01687,0.79980
0.04457,0.01909,0.00041,0.01979,0.66650,0.01433,0.69074,1.08146,0.77951,0.01676,0.80785
0.04490,0.01923,0.00041,0.01969,0.67118,0.01437,0.68726,1.08956,0.79679,0.01706,0.81587
0.04523,0.01933,0.00041,0.01959,0.67488,0.01440,0.68378,1.09766,0.81313,0.01735,0.82385
0.04557,0.01950,0.00041,0.01949,0.68058,0.01445,0.68030,1.10576,0.83214,0.01767,0.83181
0.04590,0.01904,0.00041,0.01939,0.66457,0.01432,0.67682,1.11386,0.82452,0.01776,0.83972
0.04624,0.01878,0.00041,0.01929,0.65552,0.01424,0.67335,1.12196,0.82517,0.01792,0.84761
0.04657,0.01940,0.00041,0.01919,0.67727,0.01442,0.66988,1.13006,0.86489,0.01842,0.85546
0.04690,0.01913,0.00041,0.01909,0.66776,0.01434,0.66641,1.13816,0.86503,0.01858,0.86327
0.04724,0.01918,0.00041,0.01899,0.66952,0.01436,0.66294,1.14626,0.87970,0.01887,0.87105
0.04757,0.01854,0.00041,0.01889,0.64725,0.01417,0.65948,1.15436,0.86249,0.01888,0.87879
0.04790,0.01874,0.00041,0.01879,0.65428,0.01423,0.65601,1.16246,0.88415,0.01922,0.88649
0.04824,0.01822,0.00040,0.01869,0.63597,0.01407,0.65256,1.17056,0.87142,0.01927,0.89415
0.04857,0.01840,0.00040,0.01859,0.64220,0.01412,0.64910,1.17867,0.89218,0.01962,0.90177
0.04891,0.01893,0.00041,0.01850,0.66086,0.01428,0.64565,1.18677,0.93076,0.02012,0.90934
0.04924,0.01868,0.00041,0.01840,0.65196,0.01421,0.64220,1.19487,0.93081,0.02028,0.91688
0.04957,0.01867,0.00041,0.01830,0.65173,0.01420,0.63876,1.20297,0.94313,0.02056,0.92437
0.04991,0.01798,0.00040,0.01820,0.62781,0.01399,0.63532,1.21107,0.92080,0.02052,0.93182
0.05024,0.01752,0.00040,0.01810,0.61148,0.01385,0.63189,1.21917,0.90889,0.02058,0.93923
0.05057,0.01778,0.00040,0.01800,0.62060,0.01393,0.62847,1.22727,0.93474,0.02098,0.94659
0.05091,0.01772,0.00040,0.01791,0.61843,0.01391,0.62504,1.23537,0.94381,0.02123,0.95391
0.05124,0.01735,0.00040,0.01781,0.60579,0.01379,0.62163,1.24347,0.93668,0.02133,0.96118
0.05158,0.01761,0.00040,0.01771,0.61475,0.01388,0.61822,1.25157,0.96296,0.02174,0.96840
0.05191,0.01737,0.00040,0.01761,0.60636,0.01380,0.61482,1.25967,0.96217,0.02190,0.97558
0.05224,0.01768,0.00040,0.01751,0.61711,0.01390,0.61142,1.26777,0.99185,0.02234,0.98271
0.05258,0.01709,0.00039,0.01742,0.59674,0.01371,0.60803,1.27588,0.97140,0.02232,0.98979
0.05291,0.01752,0.00040,0.01732,0.61143,0.01385,0.60465,1.28398,1.00801,0.02283,0.99682
0.05325,0.01740,0.00040,0.01722,0.60727,0.01381,0.60127,1.29208,1.01381,0.02305,1.00380
0.05358,0.01654,0.00039,0.01713,0.57725,0.01353,0.59791,1.30018,0.97582,0.02287,1.01074
0.05391,0.01630,0.00039,0.01703,0.56892,0.01345,0.59455,1.30828,0.97376,0.02303,1.01762
0.05425,0.01688,0.00039,0.01694,0.58909,0.01364,0.59120,1.31638,1.02081,0.02364,1.02446
0.05458,0.01694,0.00039,0.01684,0.59121,0.01366,0.58786,1.32448,1.03713,0.02396,1.03125
0.05491,0.01599,0.00038,0.01674,0.55823,0.01335,0.58452,1.33258,0.99128,0.02371,1.03798
0.05525,0.01657,0.00039,0.01665,0.57838,0.01354,0.58120,1.34068,1.03960,0.02434,1.04466
0.05558,0.01591,0.00038,0.01655,0.55552,0.01333,0.57789,1.34878,1.01061,0.02424,1.05130
0.05592,0.01655,0.00039,0.01646,0.57774,0.01354,0.57458,1.35688,1.06369,0.02492,1.05788
0.05625,0.01657,0.00039,0.01637,0.57829,0.01354,0.57129,1.36498,1.07745,0.02523,1.06441
0.05658,0.01644,0.00039,0.01627,0.57379,0.01350,0.56800,1.37308,1.08180,0.02545,1.07089
0.05692,0.01562,0.00038,0.01618,0.54534,0.01323,0.56473,1.38119,1.04034,0.02523,1.07732
0.05725,0.01590,0.00038,0.01608,0.55499,0.01332,0.56146,1.38929,1.07120,0.02571,1.08369
0.05759,0.01531,0.00038,0.01599,0.53430,0.01312,0.55821,1.39739,1.04332,0.02562,1.09002
0.05792,0.01573,0.00038,0.01590,0.54899,0.01326,0.55497,1.40549,1.08447,0.02620,1.09629
0.05825,0.01561,0.00038,0.01581,0.54488,0.01322,0.55174,1.41359,1.08879,0.02642,1.10251
0.05859,0.01587,0.00038,0.01571,0.55396,0.01331,0.54852,1.42169,1.11966,0.02690,1.10868
0.05892,0.01488,0.00037,0.01562,0.51950,0.01297,0.54532,1.42979,1.06202,0.02652,1.11480
0.05925,0.01407,0.00036,0.01553,0.49129,0.01269,0.54213,1.43789,1.01576,0.02623,1.12086
0.05959,0.01488,0.00037,0.01544,0.51955,0.01297,0.53895,1.44599,1.08633,0.02713,1.12688
0.05992,0.01551,0.00038,0.01535,0.54160,0.01319,0.53578,1.45409,1.14514,0.02789,1.13285
0.06026,0.01574,0.00038,0.01526,0.54960,0.01327,0.53263,1.46219,1.17505,0.02837,1.13876
0.06059,0.01503,0.00037,0.01517,0.52466,0.01302,0.52949,1.47029,1.13419,0.02815,1.14463
0.06092,0.01484,0.00037,0.01508,0.51802,0.01296,0.52636,1.47840,1.13221,0.02832,1.15044
0.06126,0.01478,0.00037,0.01499,0.51598,0.01294,0.52325,1.48650,1.14014,0.02859,1.15620
0.06159,0.01506,0.00037,0.01490,0.52562,0.01303,0.52015,1.49460,1.17414,0.02911,1.16192
0.06192,0.01428,0.00037,0.01481,0.49854,0.01276,0.51707,1.50270,1.12576,0.02881,1.16759
0.06226,0.01407,0.00036,0.01472,0.49126,0.01269,0.51400,1.51080,1.12130,0.02896,1.17321
0.06259,0.01420,0.00036,0.01464,0.49566,0.01273,0.51094,1.51890,1.14351,0.02937,1.17878
0.06293,0.01437,0.00037,0.01455,0.50161,0.01279,0.50791,1.52700,1.16962,0.02983,1.18430
0.06326,0.01340,0.00036,0.01446,0.46794,0.01244,0.50488,1.53510,1.10273,0.02932,1.18977
0.06359,0.01506,0.00037,0.01438,0.52568,0.01303,0.50187,1.54320,1.25188,0.03104,1.19520
0.06393,0.01399,0.00036,0.01429,0.48852,0.01266,0.49888,1.55130,1.17563,0.03046,1.20057
0.06426,0.01398,0.00036,0.01421,0.48813,0.01265,0.49590,1.55940,1.18701,0.03077,1.20590
0.06460,0.01384,0.00036,0.01412,0.48313,0.01260,0.49293,1.56750,1.18708,0.03096,1.21118
0.06493,0.01386,0.00036,0.01404,0.48368,0.01261,0.48999,1.57560,1.20075,0.03130,1.21640
0.06526,0.01386,0.00036,0.01395,0.48377,0.01261,0.48705,1.58371,1.21337,0.03162,1.22158
0.06560,0.01408,0.00036,0.01387,0.49158,0.01269,0.48413,1.59181,1.24559,0.03215,1.22671
0.06593,0.01350,0.00036,0.01379,0.47138,0.01248,0.48123,1.59991,1.20659,0.03194,1.23179
0.06626,0.01357,0.00036,0.01370,0.47359,0.01250,0.47834,1.60801,1.22456,0.03232,1.23683
0.06660,0.01349,0.00036,0.01362,0.47104,0.01247,0.47546,1.61611,1.23026,0.03258,1.24181
0.06693,0.01325,0.00035,0.01354,0.46270,0.01239,0.47260,1.62421,1.22062,0.03267,1.24674
0.06727,0.01331,0.00036,0.01346,0.46471,0.01241,0.46975,1.63231,1.23820,0.03306,1.25163
0.06760,0.01366,0.00036,0.01338,0.47684,0.01254,0.46692,1.64041,1.28314,0.03373,1.25647
0.06793,0.01370,0.00036,0.01329,0.47842,0.01255,0.46411,1.64851,1.30014,0.03411,1.26125
0.06827,0.01365,0.00036,0.01321,0.47642,0.01253,0.46131,1.65661,1.30748,0.03439,1.26599
0.06860,0.01285,0.00035,0.01313,0.44843,0.01223,0.45852,1.66471,1.24272,0.03390,1.27068
0.06894,0.01366,0.00036,0.01306,0.47686,0.01254,0.45575,1.67281,1.33439,0.03508,1.27533
0.06927,0.01291,0.00035,0.01298,0.45071,0.01226,0.45299,1.68091,1.27347,0.03463,1.27992
0.06960,0.01292,0.00035,0.01290,0.45114,0.01226,0.45025,1.68902,1.28701,0.03498,1.28446
0.06994,0.01245,0.00035,0.01282,0.43444,0.01208,0.44752,1.69712,1.25127,0.03478,1.28896
0.07027,0.01298,0.00035,0.01274,0.45315,0.01228,0.44481,1.70522,1.31766,0.03571,1.29341
0.07060,0.01241,0.00035,0.01266,0.43319,0.01206,0.44211,1.71332,1.27160,0.03541,1.29781
0.07094,0.01248,0.00035,0.01259,0.43578,0.01209,0.43943,1.72142,1.29134,0.03583,1.30216
0.07127,0.01196,0.00034,0.01251,0.41763,0.01189,0.43677,1.72952,1.24923,0.03556,1.30647
0.07161,0.01209,0.00034,0.01244,0.42198,0.01194,0.43411,1.73762,1.27409,0.03604,1.31073
0.07194,0.01225,0.00034,0.01236,0.42748,0.01200,0.43148,1.74572,1.30277,0.03657,1.31494
0.07227,0.01203,0.00034,0.01229,0.41990,0.01191,0.42885,1.75382,1.29157,0.03665,1.31910
0.07261,0.01276,0.00035,0.01221,0.44551,0.01220,0.42624,1.76192,1.38303,0.03787,1.32322
0.07294,0.01211,0.00034,0.01214,0.42264,0.01194,0.42365,1.77002,1.32414,0.03742,1.32729
0.07328,0.01209,0.00034,0.01206,0.42189,0.01194,0.42107,1.77812,1.33390,0.03774,1.33132
0.07361,0.01175,0.00034,0.01199,0.41034,0.01180,0.41851,1.78623,1.30922,0.03766,1.33530
0.07394,0.01258,0.00035,0.01192,0.43905,0.01213,0.41596,1.79433,1.41356,0.03905,1.33923
0.07428,0.01247,0.00035,0.01184,0.43535,0.01209,0.41343,1.80243,1.41434,0.03927,1.34312
0.07461,0.01169,0.00034,0.01177,0.40795,0.01178,0.41091,1.81053,1.33726,0.03860,1.34696
0.07494,0.01148,0.00033,0.01170,0.40062,0.01169,0.40840,1.81863,1.32502,0.03867,1.35076
0.07528,0.01187,0.00034,0.01163,0.41446,0.01185,0.40592,1.82673,1.38302,0.03955,1.35452
0.07561,0.01131,0.00033,0.01156,0.39496,0.01163,0.40344,1.83483,1.32966,0.03914,1.35823
0.07595,0.01130,0.00033,0.01149,0.39433,0.01162,0.40098,1.84293,1.33932,0.03946,1.36189
0.07628,0.01167,0.00034,0.01142,0.40749,0.01177,0.39854,1.85103,1.39620,0.04033,1.36552
0.07661,0.01141,0.00033,0.01135,0.39829,0.01166,0.39611,1.85913,1.37664,0.04032,1.36910
0.07695,0.01151,0.00034,0.01128,0.40166,0.01170,0.39369,1.86723,1.40040,0.04081,1.37264
0.07728,0.01161,0.00034,0.01121,0.40516,0.01174,0.39129,1.87533,1.42490,0.04130,1.37613
0.07761,0.01063,0.00032,0.01114,0.37092,0.01134,0.38891,1.88344,1.31579,0.04022,1.37959
0.07795,0.01097,0.00033,0.01107,0.38293,0.01148,0.38654,1.89154,1.37009,0.04108,1.38300
0.07828,0.01071,0.00033,0.01101,0.37395,0.01137,0.38418,1.89964,1.34946,0.04104,1.38637
0.07862,0.01080,0.00033,0.01094,0.37713,0.01141,0.38184,1.90774,1.37254,0.04154,1.38970
0.07895,0.01059,0.00032,0.01087,0.36971,0.01132,0.37952,1.91584,1.35700,0.04156,1.39299
0.07928,0.01098,0.00033,0.01081,0.38333,0.01149,0.37721,1.92394,1.41891,0.04252,1.39624
0.07962,0.01038,0.00032,0.01074,0.36222,0.01123,0.37491,1.93204,1.35209,0.04192,1.39946
0.07995,0.01083,0.00033,0.01067,0.37810,0.01142,0.37263,1.94014,1.42322,0.04300,1.40263
0.08029,0.01052,0.00032,0.01061,0.36707,0.01129,0.37036,1.94824,1.39326,0.04285,1.40577
0.08062,0.01083,0.00033,0.01055,0.37798,0.01142,0.36811,1.95634,1.44664,0.04372,1.40886
0.08095,0.01064,0.00032,0.01048,0.37137,0.01134,0.36588,1.96444,1.43314,0.04377,1.41193
0.08129,0.01035,0.00032,0.01042,0.36126,0.01122,0.36365,1.97254,1.40562,0.04365,1.41495
0.08162,0.01081,0.00033,0.01035,0.37721,0.01141,0.36145,1.98064,1.47976,0.04477,1.41794
0.08195,0.01072,0.00033,0.01029,0.37439,0.01138,0.35926,1.98875,1.48074,0.04501,1.42089
0.08229,0.01055,0.00032,0.01023,0.36818,0.01130,0.35708,1.99685,1.46807,0.04507,1.42381
0.08262,0.01018,0.00032,0.01017,0.35525,0.01114,0.35492,2.00495,1.42803,0.04479,1.42670
0.08296,0.01024,0.00032,0.01011,0.35763,0.01117,0.35277,2.01305,1.44925,0.04528,1.42955
0.08329,0.01029,0.00032,0.01004,0.35905,0.01119,0.35064,2.02115,1.46672,0.04571,1.43236
0.08362,0.01012,0.00032,0.00998,0.35328,0.01112,0.34852,2.02925,1.45477,0.04578,1.43515
0.08396,0.00958,0.00031,0.00992,0.33440,0.01088,0.34642,2.03735,1.38804,0.04515,1.43790
0.08429,0.00966,0.00031,0.00986,0.33722,0.01091,0.34433,2.04545,1.41087,0.04566,1.44062
0.08463,0.01019,0.00032,0.00980,0.35575,0.01115,0.34225,2.05355,1.50023,0.04702,1.44330
0.08496,0.00979,0.00031,0.00975,0.34161,0.01097,0.34019,2.06165,1.45200,0.04663,1.44596
0.08529,0.00962,0.00031,0.00969,0.33582,0.01090,0.33815,2.06975,1.43863,0.04667,1.44858
0.08563,0.00943,0.00031,0.00963,0.32914,0.01081,0.33611,2.07785,1.42104,0.04666,1.45117
0.08596,0.00945,0.00031,0.00957,0.32981,0.01082,0.33410,2.08595,1.43505,0.04707,1.45373
0.08629,0.00928,0.00031,0.00951,0.32393,0.01074,0.33209,2.09406,1.42046,0.04709,1.45626
0.08663,0.00927,0.00031,0.00946,0.32372,0.01074,0.33010,2.10216,1.43055,0.04744,1.45875
0.08696,0.00943,0.00031,0.00940,0.32911,0.01081,0.32813,2.11026,1.46560,0.04813,1.46122
0.08730,0.00923,0.00031,0.00934,0.32211,0.01072,0.32617,2.11836,1.44547,0.04808,1.46366
0.08763,0.00903,0.00030,0.00929,0.31518,0.01062,0.32422,2.12646,1.42518,0.04803,1.46607
0.08796,0.00872,0.00030,0.00923,0.30450,0.01048,0.32229,2.13456,1.38740,0.04774,1.46844
0.08830,0.00920,0.00031,0.00918,0.32101,0.01070,0.32036,2.14266,1.47374,0.04912,1.47079
0.08863,0.00957,0.00031,0.00912,0.33405,0.01087,0.31846,2.15076,1.54522,0.05029,1.47311
0.08896,0.00879,0.00030,0.00907,0.30686,0.01051,0.31656,2.15886,1.43016,0.04898,1.47540
0.08930,0.00876,0.00030,0.00901,0.30583,0.01049,0.31468,2.16696,1.43608,0.04928,1.47767
0.08963,0.00895,0.00030,0.00896,0.31234,0.01058,0.31282,2.17506,1.47764,0.05007,1.47990
0.08997,0.00866,0.00030,0.00891,0.30214,0.01044,0.31096,2.18316,1.44007,0.04978,1.48211
0.09030,0.00890,0.00030,0.00886,0.31055,0.01056,0.30912,2.19127,1.49117,0.05070,1.48429
0.09063,0.00855,0.00030,0.00880,0.29838,0.01039,0.30729,2.19937,1.44334,0.05027,1.48644
0.09097,0.00864,0.00030,0.00875,0.30174,0.01044,0.30548,2.20747,1.47035,0.05087,1.48857
0.09130,0.00861,0.00030,0.00870,0.30067,0.01042,0.30368,2.21557,1.47589,0.05117,1.49067
0.09164,0.00842,0.00030,0.00865,0.29399,0.01033,0.30189,2.22367,1.45368,0.05108,1.49274
0.09197,0.00895,0.00030,0.00860,0.31236,0.01058,0.30011,2.23177,1.55582,0.05272,1.49479
0.09230,0.00845,0.00030,0.00855,0.29501,0.01034,0.29835,2.23987,1.48009,0.05190,1.49681
0.09264,0.00839,0.00030,0.00850,0.29301,0.01032,0.29660,2.24797,1.48069,0.05213,1.49881
0.09297,0.00896,0.00030,0.00845,0.31261,0.01059,0.29486,2.25607,1.59116,0.05389,1.50078
0.09330,0.00829,0.00029,0.00840,0.28932,0.01026,0.29313,2.26417,1.48321,0.05262,1.50272
0.09364,0.00813,0.00029,0.00835,0.28397,0.01019,0.29142,2.27227,1.46619,0.05260,1.50465
0.09397,0.00829,0.00029,0.00830,0.28950,0.01027,0.28971,2.28037,1.50545,0.05339,1.50654
0.09431,0.00803,0.00029,0.00825,0.28040,0.01014,0.28802,2.28847,1.46848,0.05309,1.50842
0.09464,0.00818,0.00029,0.00820,0.28558,0.01021,0.28635,2.29658,1.50622,0.05386,1.51027
0.09497,0.00782,0.00029,0.00816,0.27295,0.01003,0.28468,2.30468,1.44980,0.05327,1.51209
0.09531,0.00823,0.00029,0.00811,0.28734,0.01024,0.28303,2.31278,1.53695,0.05475,1.51390
0.09564,0.00830,0.00029,0.00806,0.28967,0.01027,0.28139,2.32088,1.56032,0.05532,1.51568
0.09598,0.00814,0.00029,0.00801,0.28427,0.01019,0.27976,2.32898,1.54194,0.05529,1.51743
0.09631,0.00809,0.00029,0.00797,0.28240,0.01017,0.27814,2.33708,1.54243,0.05552,1.51917
0.09664,0.00828,0.00029,0.00792,0.28898,0.01026,0.27653,2.34518,1.58938,0.05643,1.52088
0.09698,0.00768,0.00029,0.00788,0.26826,0.00996,0.27494,2.35328,1.48561,0.05515,1.52257
0.09731,0.00794,0.00029,0.00783,0.27701,0.01009,0.27335,2.36138,1.54465,0.05625,1.52424
0.09764,0.00774,0.00029,0.00779,0.27036,0.00999,0.27178,2.36948,1.51793,0.05609,1.52589
0.09798,0.00740,0.00028,0.00774,0.25832,0.00981,0.27022,2.37758,1.46027,0.05545,1.52752
0.09831,0.00751,0.00028,0.00770,0.26207,0.00987,0.26867,2.38568,1.49159,0.05615,1.52912
0.09865,0.00780,0.00029,0.00765,0.27237,0.01002,0.26713,2.39379,1.56075,0.05741,1.53071
0.09898,0.00734,0.00028,0.00761,0.25616,0.00978,0.26560,2.40189,1.47780,0.05640,1.53228
0.09931,0.00715,0.00028,0.00757,0.24976,0.00968,0.26409,2.40999,1.45062,0.05621,1.53382
0.09965,0.00769,0.00029,0.00752,0.26848,0.00996,0.26258,2.41809,1.56984,0.05825,1.53535
0.09998,0.00786,0.00029,0.00748,0.27436,0.01005,0.26109,2.42619,1.61501,0.05915,1.53685
0.10032,0.00770,0.00029,0.00744,0.26883,0.00997,0.25960,2.43429,1.59302,0.05906,1.53834
0.10065,0.00720,0.00028,0.00739,0.25150,0.00971,0.25813,2.44239,1.50029,0.05789,1.53980
0.10098,0.00731,0.00028,0.00735,0.25530,0.00976,0.25667,2.45049,1.53304,0.05863,1.54125
0.10132,0.00736,0.00028,0.00731,0.25679,0.00979,0.25521,2.45859,1.55219,0.05915,1.54268
0.10165,0.00746,0.00028,0.00727,0.26033,0.00984,0.25377,2.46669,1.58401,0.05987,1.54409
0.10198,0.00751,0.00028,0.00723,0.26225,0.00987,0.25234,2.47479,1.60621,0.06044,1.54548
0.10232,0.00742,0.00028,0.00719,0.25912,0.00982,0.25092,2.48289,1.59741,0.06055,1.54686
0.10265,0.00692,0.00027,0.00715,0.24157,0.00955,0.24951,2.49099,1.49897,0.05926,1.54821
0.10299,0.00725,0.00028,0.00711,0.25294,0.00973,0.24811,2.49909,1.57975,0.06075,1.54955
0.10332,0.00718,0.00028,0.00707,0.25065,0.00969,0.24672,2.50720,1.57561,0.06092,1.55087
0.10365,0.00730,0.00028,0.00703,0.25482,0.00976,0.24534,2.51530,1.61219,0.06173,1.55218
0.10399,0.00691,0.00027,0.00699,0.24113,0.00954,0.24397,2.52340,1.53543,0.06077,1.55346
0.10432,0.00653,0.00027,0.00695,0.22795,0.00933,0.24261,2.53150,1.46081,0.05980,1.55473
0.10465,0.00710,0.00028,0.00691,0.24780,0.00965,0.24125,2.53960,1.59822,0.06222,1.55598
0.10499,0.00718,0.00028,0.00687,0.25063,0.00969,0.23991,2.54770,1.62676,0.06291,1.55722
0.10532,0.00713,0.00028,0.00683,0.24878,0.00966,0.23858,2.55580,1.62506,0.06312,1.55844
0.10566,0.00669,0.00027,0.00680,0.23353,0.00942,0.23726,2.56390,1.53515,0.06193,1.55964
0.10599,0.00669,0.00027,0.00676,0.23348,0.00942,0.23595,2.57200,1.54453,0.06232,1.56083
0.10632,0.00704,0.00028,0.00672,0.24592,0.00962,0.23464,2.58010,1.63706,0.06403,1.56201
0.10666,0.00672,0.00027,0.00668,0.23461,0.00944,0.23335,2.58820,1.57162,0.06323,1.56316
0.10699,0.00649,0.00027,0.00665,0.22673,0.00931,0.23207,2.59631,1.52831,0.06276,1.56431
0.10733,0.00663,0.00027,0.00661,0.23130,0.00939,0.23079,2.60441,1.56890,0.06366,1.56544
0.10766,0.00622,0.00026,0.00658,0.21713,0.00915,0.22953,2.61251,1.48197,0.06246,1.56655
0.10799,0.00622,0.00026,0.00654,0.21719,0.00915,0.22827,2.62061,1.49155,0.06285,1.56765
0.10833,0.00617,0.00026,0.00650,0.21536,0.00912,0.22702,2.62871,1.48816,0.06303,1.56874
0.10866,0.00629,0.00026,0.00647,0.21967,0.00919,0.22578,2.63681,1.52734,0.06392,1.56981
0.10899,0.00629,0.00026,0.00643,0.21956,0.00919,0.22455,2.64491,1.53592,0.06430,1.57087
0.10933,0.00598,0.00026,0.00640,0.20888,0.00901,0.22333,2.65301,1.47017,0.06342,1.57192
0.10966,0.00644,0.00027,0.00636,0.22483,0.00928,0.22212,2.66111,1.59211,0.06571,1.57295
