"family,""mean_AFPP"",""sd_AFPP"",""spp"""
"Aquaspirillaceae,0.072795,0.00737512372777569,""Aquaspirillum sp. LM1"""
"Aquificaceae,0.03851,0.0118988045618037,""Hydrogenivirga sp. 128-5-R1-1"""
"Araceae,0.421225,0.0688792715553816,""Colocasia esculenta"""
"Aramidae,0.23684,NA,""Aramus guarauna"""
"Araneidae,0.344765,0.00342946788875477,""Araneus ventricosus"""
"Archaeoglobaceae,0.02303,NA,""Geoglobus ahangari"""
"Archangiaceae,0.12662,0.0200929328371943,""Hyalangium minutum"""
"Arcobacteraceae,0.0488914285714286,0.00370416625153996,""Poseidonibacter parvus"""
"Ardeidae,0.254195,0.0188585378542452,""Egretta garzetta"""
"Ardenticatenaceae,0.11215,NA,""Ardenticatena maritima"""
"Arecaceae,0.30611,0.0137239535120169,""Phoenix dactylifera"""
"Arenicellaceae,0.076225,0.00416485894118877,""Arenicella xantha"""
"Armadillidiidae,0.29855,NA,""Armadillidium nasatum"""
"Armatimonadaceae,0.08512,NA,""Armatimonas rosea"""
"Artamidae,0.24429,NA,""Gymnorhina tibicen"""
"Arthrodermataceae,0.31348,0.0102813325984524,""Trichophyton rubrum"""
"Ascarididae,0.3527,0.0489176471224854,""Parascaris equorum"""
"Ascodesmidaceae,0.39955,NA,""Ascodesmis nigricans"""
"Asparagaceae,0.35512,NA,""Asparagus officinalis"""
"Aspergillaceae,0.263453157894737,0.0272527921608301,""Penicillium italicum"""
"Asteraceae,0.285333333333333,0.0376421995460768,""Helianthus annuus"""
"Asterinidae,0.2855,NA,""Patiria miniata"""
"Atheliaceae,0.30492,0.0440810367391694,""Fibularhizoctonia sp. CBS 109695"""
"Atherinopsidae,0.34487,NA,""Menidia menidia"""
"Atopobiaceae,0.08952,0.0379306419666211,""Tractidigestivibacter scatoligenes"""
"Atribacteraceae,0.04539,NA,""Atribacter laminatus"""
"Aurantimonadaceae,0.0955066666666667,0.0173534448820792,""Aureimonas altamirensis"""
"Azonexaceae,0.075638,0.0150011956190165,""Dechloromonas denitrificans"""
"Azospirillaceae,0.0978922222222222,0.01107656510135,""Azospirillum sp. B510"""
"Babesiidae,0.231294,0.0163530847242959,""Babesia bovis"""
"Bacillaceae,0.0666747348484849,0.0190927070046636,""Bacillus anthracis"""
"Bacillales Family X. Incertae Sedis,0.094485,0.0128057038072884,""Hydrogenibacillus schlegelii"""
"Bacillariaceae,0.364595,0.0498156727345923,""Pseudo-nitzschia multistriata"""
"Bacteriovoracaceae,0.087218,0.00812588579786844,""Bacteriovorax sp. DB6_IX"""
"Bacteroidaceae,0.0685244,0.0121594486854188,""Bacteroides sp. D2"""
"Baekduiaceae,0.12857,NA,""Baekduia soli"""
"Baetidae,0.30836,NA,""Cloeon dipterum"""
"Bagridae,0.34306,NA,""Hemibagrus wyckioides"""
"Balaenicipitidae,0.23787,NA,""Balaeniceps rex"""
"Balaenopteridae,0.336755,0.0189009642611164,""Balaenoptera physalus"""
"Balanidae,0.34535,NA,""Amphibalanus amphitrite"""
"Balneicellaceae,0.0528,NA,""Balneicella halophila"""
"Balneolaceae,0.07792,0.0145718947521133,""Balneola sp. EhC07"""
"Bangiaceae,0.58209,NA,""Porphyra umbilicalis"""
"Barnesiellaceae,0.05579,0.00171119841047145,""Barnesiella sp. An55"""
"Bartonellaceae,0.088945,0.0055507882323144,""Bartonella apis"""
"Bathycoccaceae,0.286315,0.0615253610310415,""Ostreococcus tauri"""
"Bathydraconidae,0.33937,NA,""Gymnodraco acuticeps"""
"Bathyergidae,0.32778,0.0353694811949511,""Heterocephalus glaber"""
"Beijerinckiaceae,0.134674285714286,0.0542559793500965,""Methylocapsa palsarum"""
"Betulaceae,0.32768,NA,""Carpinus fangiana"""
"Beutenbergiaceae,0.13796,0.0262802054786488,""Serinibacter salmoneus"""
"Bianqueaceae,0.07459,NA,""Bianquea renquensis"""
"Bifidobacteriaceae,0.119438918918919,0.0216164830092152,""Bifidobacterium stellenboschense"""
"Bignoniaceae,0.29157,NA,""Handroanthus impetiginosus"""
"Bionectriaceae,0.27405,0.0378989135728189,""Clonostachys rosea"""
"Blastochloridaceae,0.11853,0.00866912913734708,""Blastochloris viridis"""
"Blastocystidae,0.1986,NA,""Blastocystis hominis"""
"Blenniidae,0.23796,NA,""Salarias fasciatus"""
"Bodonidae,0.34489,NA,""Bodo saltans"""
"Bogoriellaceae,0.114617142857143,0.0141600184960869,""Georgenia soli"""
"Bolbitiaceae,0.29912,NA,""Cyclocybe aegerita"""
"Boletaceae,0.30618,NA,""Boletus reticuloceps"""
"Boletinellaceae,0.28955,NA,""Phlebopus sp. FC_14"""
"Bombycidae,0.31331,NA,""Bombyx mori"""
"Bombycillidae,0.23988,0.00571342279198731,""Bombycilla garrulus"""
"Bondarzewiaceae,0.33253,NA,""Bondarzewia mesenterica"""
"Boseaceae,0.08551,0.00698702203539369,""Bosea sp. LC85"""
"Botryosphaeriaceae,0.2833025,0.0255506299661411,""Diplodia corticola"""
"Bovichtidae,0.3409,NA,""Cottoperca gobio"""
"Bovidae,0.309637142857143,0.0158823441954536,""Ovis aries"""
"Brachionidae,0.338805,0.0832476813490922,""Brachionus plicatilis"""
"Brachybasidiaceae,0.34273,NA,""Meira miltonrushii"""
"Brachypteraciidae,0.2377,NA,""Brachypteracias leptosomus"""
"Braconidae,0.274824285714286,0.0741617935905775,""Diachasma alloeum"""
"Bradymonadaceae,0.12533,0.00117379725676967,""Bradymonas sediminis"""
"Branchiostomatidae,0.307493333333333,0.0159323078470551,""Branchiostoma floridae"""
"Brassicaceae,0.321795454545455,0.0358042004138164,""Arabidopsis thaliana"""
"Brevibacteriaceae,0.122115555555556,0.0155769004547688,""Brevibacterium linens"""
"Brevinemataceae,0.06346,NA,""Brevinema andersonii"""
"Breznakiellaceae,0.04962,NA,""Breznakiella homolactica"""
"Bromeliaceae,0.29407,NA,""Ananas comosus"""
"Brucellaceae,0.0945314285714286,0.0159653650428789,""Brucella rhizosphaerae"""
"Bruguierivoracaceae,0.115232222222222,0.0401378913178613,""Sodalis praecaptivus"""
"Bryobacteraceae,0.085195,0.00801151983084358,""Paludibaculum fermentans"""
"Bucconidae,0.24199,NA,""Bucco capensis"""
"Bucorvidae,0.24159,NA,""Bucorvus abyssinicus"""
"Budviciaceae,0.06421,0.000895153618101384,""Budvicia aquatica"""
"Bugulidae,0.32679,NA,""Bugula neritina"""
"Bulleribasidiaceae,0.32102,NA,""Dioszegia hungarica"""
"Buprestidae,0.28723,NA,""Agrilus planipennis"""
"Burhinidae,0.22902,NA,""Burhinus bistriatus"""
"Burkholderiaceae,0.103568481012658,0.0218512559686322,""Burkholderiaceae bacterium PBA"""
"Butyricicoccaceae,0.06425,0.00547506164348859,""Butyricicoccus porcorum"""
"Cacatuidae,0.24486,0.000113137084989843,""Probosciger aterrimus"""
"Cactaceae,0.30992,NA,""Carnegiea gigantea"""
"Caedimonadaceae,0.10691,NA,""Caedimonas varicaedens"""
"Cafeteriaceae,0.30597,NA,""Cafeteria roenbergensis"""
"Calderihabitantaceae,0.12614,NA,""Calderihabitans maritimus"""
"Caldicoprobacteraceae,0.05039,NA,""Caldicoprobacter faecalis"""
"Caldilineaceae,0.0679,NA,""Litorilinea aerophila"""
"Caligidae,0.373945,0.0660508444306354,""Caligus rogercresseyi"""
"Callaeidae,0.24403,NA,""Callaeas wilsoni"""
"Calliphoridae,0.3596,NA,""Lucilia cuprina"""
"Callorhinchidae,0.23775,NA,""Callorhinchus milii"""
"Calotrichaceae,0.101046666666667,0.0113521287284221,""Calothrix sp. PCC 7507"""
"Camelidae,0.341475,0.0125244760369446,""Camelus ferus"""
"Caminicellaceae,0.04607,NA,""Maledivibacter halophilus"""
"Campephagidae,0.23867,NA,""Edolisoma coerulescens"""
"Campylobacteraceae,0.0569844444444444,0.0045086974591092,""Campylobacter geochelonis"""
"Candidatus Azoamicaceae,0.07038,NA,""Candidatus Azoamicus ciliaticola"""
"Candidatus Babeliaceae,0.10827,NA,""Candidatus Babela massiliensis"""
"Candidatus Berkiellaceae,0.088675,0.00854892098454536,""Candidatus Berkiella cookevillensis"""
"Candidatus Bipolaricaulaceae,0.08501,NA,""Candidatus Bipolaricaulis anaerobius"""
"Candidatus Brocadiaceae,0.0842733333333333,0.0100311129326046,""Candidatus Jettenia caeni"""
"Candidatus Caldarchaeaceae,0.03547,NA,""Candidatus Caldarchaeum subterraneum"""
"Candidatus Calditenuaceae,0.06796,NA,""Candidatus Calditenuaceae archaeon HR02"""
"Candidatus Chromulinivoraceae,0.15192,NA,""Candidatus Chromulinivorax destructor"""
"Candidatus Cloacimonadaceae,0.0388,NA,""Candidatus Syntrophosphaera thermopropionivorans"""
"Candidatus Competibacteraceae,0.071465,0.00440527524679219,""Plasticicumulans acidivorans"""
"Candidatus Cryosericaceae,0.06222,NA,""Candidatus Cryosericum terrychapinii"""
"Candidatus Deianiraeaceae,0.09917,NA,""Candidatus Deianiraea vastatrix"""
"Candidatus Desulfofervidaceae,0.04572,NA,""Candidatus Desulfofervidus auxilii"""
"Candidatus Entotheonellaceae,0.083665,0.00388201622871414,""Candidatus Entotheonella gemina"""
"Candidatus Hakubellaceae,0.08551,NA,""Candidatus Hakubella thermalkaliphila"""
"Candidatus Izemoplasmataceae,0.02791,NA,""Candidatus Xianfuyuplasma coldseepsis"""
"Candidatus Magnetobacteriaceae,0.15789,NA,""Candidatus Magnetobacterium bavaricum"""
"Candidatus Magnetomoraceae,0.08677,NA,""Candidatus Magnetomorum sp. HK-1"""
"Candidatus Manganitrophaceae,0.08839,NA,""Candidatus Manganitrophus noduliformans"""
"Candidatus Mcinerneyibacteriaceae,0.04392,NA,""Candidatus Mcinerneyibacterium aminivorans"""
"Candidatus Methanoperedenaceae,0.06094,0.00287085353161738,""Candidatus Methanoperedens nitroreducens"""
"Candidatus Methylomirabilaceae,0.09487,NA,""Candidatus Methylomirabilis lanthanidiphila"""
"Candidatus Micrarchaeaceae,0.04568,NA,""Candidatus Micrarchaeum sp. AZ1"""
"Candidatus Midichloriaceae,0.07887,0.0115824090758356,""Candidatus Fokinia solitaria"""
"Candidatus Moduliflexaceae,0.07091,NA,""Candidatus Moduliflexus flocculans"""
"Candidatus Naiadarchaeaceae,0.05429,NA,""Candidatus Naiadarchaeum limnaeum"""
"Candidatus Nanohalobiaceae,0.18581,NA,""Candidatus Nanohalobium constans"""
"Candidatus Nanopelagicaceae,0.0497225,0.00316797911398839,""Candidatus Planktophila vernalis"""
"Candidatus Nanosynbacteraceae,0.08575,NA,""Candidatus Nanosynbacter lyticus"""
"Candidatus Paracaedibacteraceae,0.109586666666667,0.00298131402796373,""Candidatus Paracaedibacter acanthamoebae"""
"Candidatus Parilichlamydiaceae,0.1861,NA,""Candidatus Similichlamydia laticola"""
"Candidatus Pelagibacteraceae,0.0668966666666667,0.014492077375817,""Candidatus Pelagibacter sp. HTCC7211"""
"Candidatus Prometheoarchaeaceae,0.06788,NA,""Candidatus Prometheoarchaeum syntrophicum"""
"Candidatus Promineifilaceae,0.11228,NA,""Candidatus Promineifilum breve"""
"Candidatus Rhabdochlamydiaceae,0.09755,NA,""Candidatus Rhabdochlamydia sp. T3358"""
"Candidatus Saccharimonadaceae,0.10513,0.00727882545470077,""Candidatus Saccharimonas aalborgensis"""
"Candidatus Scalinduaceae,0.07914,0.00524673231640418,""Candidatus Scalindua rubra"""
"Candidatus Termititenacaceae,0.07707,0.0147175518797568,""Candidatus Termititenax aidoneus"""
"Candidatus Uabimicrobiaceae,0.07495,NA,""Candidatus Uabimicrobium amorphum"""
"Candidatus Undinarchaeaceae,0.07835,NA,""Candidatus Undinarchaeum marinum"""
"Candidatus Vecturitrichaceae,0.07533,NA,""Candidatus Vecturithrix granuli"""
"Candidatus Zymogenaceae,0.05446,NA,""Candidatus Zymogenus saltonus"""
"Canidae,0.349725,0.018236283886801,""Vulpes vulpes"""
"Cannabaceae,0.34132,0.0451553352329489,""Trema orientale"""
"Capillimicrobiaceae,0.10853,NA,""Capillimicrobium parvum"""
"Capitellidae,0.22919,NA,""Capitella teleta"""
"Caprimulgidae,0.242723333333333,0.00491430903925804,""Antrostomus carolinensis"""
"Capsulimonadaceae,0.10596,NA,""Capsulimonas corticalis"""
"Carbonactinosporaceae,0.15392,NA,""Carbonactinospora thermoautotrophica"""
"Cardinalidae,0.24045,0.00142042247236517,""Pheucticus melanocephalus"""
"Cardiobacteriaceae,0.0791066666666667,0.0149497971000724,""Cardiobacterium valvarum"""
"Cariamidae,0.242445,0.0108540890912135,""Cariama cristata"""
"Carnobacteriaceae,0.0579119047619048,0.0116143723976148,""Carnobacterium sp. 17-4"""
"Caryophylliidae,0.30405,NA,""Desmophyllum pertusum"""
"Castoridae,0.32087,NA,""Castor canadensis"""
"Catalimonadaceae,0.07214,NA,""Catalinimonas alkaloidigena"""
"Catenulisporaceae,0.12945,NA,""Catenulispora sp."""
"Cathartidae,0.24504,NA,""Cathartes aura"""
"Caulobacteraceae,0.104735757575758,0.0190850447062456,""Asticcacaulis sp. YBE204"""
"Caulochytriaceae,0.32679,NA,""Caulochytrium protostelioides"""
"Cavenderiaceae,0.28972,NA,""Cavenderia fasciculata"""
"Caviidae,0.29291,NA,""Cavia porcellus"""
"Cavosteliaceae,0.2903,NA,""Planoprotostelium fungivorum"""
"Cebidae,0.332333333333333,0.0188247080543984,""Callithrix jacchus"""
"Celastraceae,0.31389,NA,""Tripterygium wilfordii"""
"Celerinatantimonadaceae,0.05847,NA,""Celerinatantimonas diazotrophica"""
"Cellulomonadaceae,0.124736153846154,0.0147647919259089,""Oerskovia sp. Root918"""
"Cellulosilyticaceae,0.04812,NA,""Holtiella tumoricola"""
"Cellvibrionaceae,0.0755792307692308,0.00946289636909903,""Cellvibrio sp. PSBB023"""
"Centropidae,0.24136,NA,""Centropus unirufus"""
"Centropomidae,0.2387,NA,""Lates calcarifer"""
"Cephalobidae,0.26871,NA,""Acrobeloides nanus"""
"Cephalotaceae,0.23059,NA,""Cephalotus follicularis"""
"Cephidae,0.04662,NA,""Cephus cinctus"""
"Ceraceosoraceae,0.43324,0.0138027243687614,""Ceraceosorus bombacis"""
"Cerasicoccaceae,0.08413,0.00486489465456344,""Ruficoccus amylovorans"""
"Ceratobasidiaceae,0.285996666666667,0.0133314077776255,""Rhizoctonia solani"""
"Ceratocystidaceae,0.281305,0.0186746900911367,""Thielaviopsis punctulata"""
"Cercopithecidae,0.331717272727273,0.00963299858913006,""Macaca mulatta"""
"Certhiidae,0.237965,0.00466284962942906,""Certhia brachydactyla"""
"Cervidae,0.31059,NA,""Muntiacus reevesi"""
"Cerylidae,0.22603,NA,""Chloroceryle aenea"""
"Chaetomiaceae,0.34983,NA,""Chaetomium sp. MPI-SDFR-AT-0129"""
"Chanidae,0.28407,NA,""Chanos chanos"""
"Channidae,0.35334,NA,""Channa argus"""
"Characeae,0.40953,NA,""Chara braunii"""
"Characidae,0.29221,NA,""Astyanax mexicanus"""
"Charadriidae,0.232373333333333,0.00210138842990376,""Charadrius vociferus"""
"Cheirogaleidae,0.30976,NA,""Microcebus murinus"""
"Chelatococcaceae,0.106752,0.016929126380295,""Chelatococcus asaccharovorans"""
"Cheloniidae,0.34221,NA,""Chelonia mydas"""
"Chelydridae,0.26676,NA,""Chelydra serpentina"""
"Chenopodiaceae,0.25233,0.0112854242277373,""Chenopodium quinoa"""
"Chinchillidae,0.303,NA,""Chinchilla lanigera"""
"Chionididae,0.23185,NA,""Chionis minor"""
"Chironomidae,0.31671,0.0684879850776762,""Clunio marinus"""
"Chitinibacteraceae,0.07681,0.011125686495673,""Amantichitinum ursilacus"""
"Chitinophagaceae,0.0664621052631579,0.00986828486493163,""Flavihumibacter sp. ZG627"""
"Chlamydomonadaceae,0.42695,0.0582880902643642,""Chlamydomonas reinhardtii"""
"Chlorellaceae,0.296925714285714,0.02869157126936,""Chlorella variabilis"""
"Chlorobiaceae,0.07088,0.00710329031740456,""Chlorobium limicola"""
"Chloropicaceae,0.25875,NA,""Chloropicon primus"""
"Choanephoraceae,0.27784,NA,""Choanephora cucurbitarum"""
"Christensenellaceae,0.0734083333333333,0.0450809460489314,""Christensenella hongkongensis"""
"Chromatiaceae,0.0878268181818182,0.0295088353817025,""Thiorhodovibrio frisius"""
"Chromobacteriaceae,0.0781466666666667,0.0293970746843967,""Pseudogulbenkiania sp. NH8B"""
"Chroococcaceae,0.08522,0.00506589577468783,""Gloeocapsa sp. PCC 7428"""
"Chryseotaleaceae,0.05527,NA,""Chryseotalea sanaruensis"""
"Chrysiogenaceae,0.07245,NA,""Desulfurispira natronophila"""
"Chrysochloridae,0.30044,NA,""Chrysochloris asiatica"""
"Chrysochromulinaceae,0.2367,NA,""Chrysochromulina tobinii"""
"Chrysomelidae,0.299873333333333,0.0411057094169005,""Callosobruchus maculatus"""
"Chthoniobacteraceae,0.17856,NA,""Candidatus Udaeobacter sp."""
"Chthonomonadaceae,0.11495,NA,""Chthonomonadaceae bacterium"""
"Chytriomycetaceae,0.267665,0.0183352788361672,""Rhizoclosmatium globosum"""
"Cichlidae,0.263841666666667,0.0431019347206905,""Oreochromis niloticus"""
"Ciconiidae,0.22883,NA,""Ciconia maguari"""
"Cimicidae,0.30525,NA,""Cimex lectularius"""
"Cinclidae,0.23544,NA,""Cinclus mexicanus"""
"Cinclosomatidae,0.243115,0.00682358043845018,""Ifrita kowaldi"""
"Cionidae,0.27477,0.0609384624026566,""Ciona savignyi"""
"Circaeasteraceae,0.2673,NA,""Kingdonia uniflora"""
"Cisticolidae,0.23729,NA,""Cisticola juncidis"""
"Cladoniaceae,0.29721,NA,""Cladonia borealis"""
"Cladosporiaceae,0.30545,0.00478004184082105,""Rachicladosporium sp. CCFEE 5018"""
"Clariidae,0.34192,NA,""Clarias magur"""
"Clavicipitaceae,0.3269125,0.0535077710088295,""Ustilaginoidea virens"""
"Climacteridae,0.23963,NA,""Climacteris rufus"""
"Clitocybaceae,0.28822,NA,""Collybia nuda"""
"Closteriaceae,0.49006,0.000325269119345823,""Closterium sp. NIES-67"""
"Clostridiaceae,0.0558138095238095,0.0162254038340731,""Clostridium sp. Maddingley MBC34-26"""
"Clostridiales Family XVII. Incertae Sedis,0.0983666666666667,0.0551579861247067,""Sulfobacillus sp. hq2"""
"Clupeidae,0.33747,NA,""Clupea harengus"""
"Clytiidae,0.27971,NA,""Clytia hemisphaerica"""
"Coccyzidae,0.24096,NA,""Piaya cayana"""
"Coelacanthidae,0.23754,NA,""Latimeria chalumnae"""
"Cohaesibacteraceae,0.083576,0.00741560381897523,""Cohaesibacter marisflavi"""
"Coleofasciculaceae,0.11585,0.0074953318805774,""Coleofasciculus sp. FACHB-SPT36"""
"Coliidae,0.24723,0.00873983981546575,""Colius striatus"""
"Colubridae,0.31011,0.00659023520065862,""Thamnophis sirtalis"""
"Columbidae,0.26673,0.0375474752813022,""Columba livia"""
"Colwelliaceae,0.0647215789473684,0.00830482541334849,""Thalassotalea sp. ND16A"""
"Comamonadaceae,0.0907080952380952,0.0245404930582671,""Polaromonas sp. JS666"""
"Conexibacteraceae,0.11266,NA,""Conexibacter arvalis"""
"Conexivisphaeraceae,0.06171,NA,""Conexivisphaera calida"""
"Congridae,0.34863,NA,""Conger conger"""
"Coniochaetaceae,0.305373333333333,0.00715998836125683,""Coniochaeta pulveracea"""
"Convolvulaceae,0.28541,0.0579813464256681,""Ipomoea nil"""
"Coprobacillaceae,0.03807875,0.00432313192522009,""Coprobacillus cateniformis"""
"Coraciidae,0.23058,NA,""Eurystomus gularis"""
"Coraliomargaritaceae,0.09876,0.0144956890143242,""Coraliomargarita sp. CAG:312"""
"Corcoracidae,0.24256,NA,""Struthidea cinerea"""
"Cordycipitaceae,0.3260725,0.0595166673434145,""Cordyceps sp. RAO-2017"""
"Coriobacteriaceae,0.0829029411764706,0.0150474253465111,""Coriobacteriaceae bacterium BV3Ac1"""
"Corvidae,0.24562,0.00331709963673086,""Corvus brachyrhynchos"""
"Corynebacteriaceae,0.112463333333333,0.0223380930848331,""Corynebacterium sp. KPL1989"""
"Cotingidae,0.23903,0.00214960461480712,""Cephalopterus ornatus"""
"Coxiellaceae,0.07832375,0.0266964887672518,""Coxiella endosymbiont of Amblyomma americanum"""
"Cracidae,0.24223,NA,""Penelope pileata"""
"Crambidae,0.29843,NA,""Diatraea saccharalis"""
"Crassulaceae,0.31855,NA,""Kalanchoe fedtschenkoi"""
"Crenotrichaceae,0.13528,NA,""Crenothrix polyspora"""
"Crepidotaceae,0.29379,NA,""Crepidotus variabilis"""
"Criblamydiaceae,0.08626,NA,""Estrella lausannensis"""
"Cricetidae,0.33499,0.0324517559874141,""Cricetulus griseus"""
"Crocinitomicaceae,0.063414,0.00726857138645553,""Lishizhenia tianjinensis"""
"Crocodylidae,0.28372,NA,""Crocodylus porosus"""
