proteome_id	per_protein	total_proteome
UP000683185	0.12379	0.12012
UP000290361	0.49227	0.41148
UP000243303	0.15006	0.11823
UP000290719	0.56315	0.31118
UP000677855	0.27386	0.16347
UP000682787	0.247	0.10373
UP000266085	0.19861	0.13832
UP001055348	0.03486	0.04263
UP000201382	0.03682	0.08119
UP000217267	0.08578	0.07626
UP000114278	0.15318	0.11952
UP000202806	0.10304	0.1361
UP001161540	0.26725	0.13411
UP001177334	0.08447	0.07445
UP001177600	0.28298	0.2874
UP000242984	0.02816	0.02816
UP000290049	0.14567	0.17726
UP000201255	0.09221	0.07826
UP000161625	0.0	0.0
UP000682959	0.43793	0.49513
UP000201260	0.18811	0.19453
UP000115720	0.29985	0.08848
UP000204119	0.0554	0.04588
UP001161655	0.08339	0.08331
UP001161651	0.16581	0.10308
UP000289818	0.6574	0.58458
UP000203741	0.21343	0.15025
UP000202606	0.14265	0.12788
UP000202653	0.16917	0.16514
UP000240484	0.10054	0.0943
UP000679880	0.22887	0.22887
UP000202020	0.13297	0.12153
UP000008287	0.15922	0.12914
UP000130322	0.49279	0.26242
UP000202510	0.30199	0.30153
UP000240909	0.09517	0.08668
UP000682446	0.10406	0.0846
UP000028667	0.1512	0.12279
UP000677589	0.09313	0.03471
UP000218088	0.08948	0.10237
UP000008292	0.16716	0.11427
UP000678153	0.03641	0.04187
UP000132920	0.12267	0.12267
UP000162802	0.57017	0.39018
UP000002238	0.36182	0.18035
UP000148566	0.18177	0.11836
UP000100541	0.09917	0.06855
UP000114585	0.26541	0.16235
UP000241584	0.36039	0.18877
UP000204539	0.19868	0.14167
UP000153735	0.291	0.14995
UP000290381	0.3742	0.23222
UP000107207	0.17095	0.09711
UP000144012	0.39121	0.22745
UP000132079	0.21072	0.12016
UP000172497	0.1336	0.0897
UP000166800	0.1449	0.1368
UP000113176	0.14233	0.14016
UP000145959	0.0	0.0
UP000110943	0.19819	0.21353
UP000147426	0.21035	0.22255
UP000131097	0.10417	0.0969
UP000117147	0.04858	0.04589
UP000106396	0.26813	0.30044
UP000136128	0.0	0.0
UP000151881	0.11585	0.142
UP000158662	0.22374	0.21976
UP000165221	0.07143	0.07531
UP000130271	0.08367	0.07407
UP000149296	0.17422	0.1692
UP000129190	0.1585	0.17161
UP000160822	0.12326	0.15057
UP000106577	0.12651	0.13146
UP000118038	0.0615	0.05055
UP000142172	0.07547	0.07648
UP000097722	0.06008	0.05373
UP000112673	0.09657	0.10178
UP000101850	0.11331	0.12176
UP000156073	0.0861	0.09268
UP000144831	0.17814	0.16923
UP000235595	0.3042	0.15275
UP000118514	0.05598	0.0492
UP000160537	0.10762	0.10301
UP000211163	0.16106	0.1899
UP000169518	0.25432	0.15204
UP001156889	0.06093	0.03957
UP000203883	0.24725	0.17331
UP000207596	0.11475	0.11475
UP000204555	0.11508	0.12298
UP000208078	0.06168	0.15998
UP000207691	0.20411	0.15717
UP000202191	0.05243	0.13505
UP000208088	0.18764	0.14419
UP000208109	0.18679	0.12179
UP000207641	0.05692	0.14688
UP000214364	0.21252	0.17072
UP000594080	0.07018	0.08902
UP000114860	0.41227	0.37793
UP000297157	0.21406	0.16102
UP000000832	0.06266	0.05604
UP000106725	0.03448	0.04536
UP000270333	0.2717	0.26783
UP000275118	0.17665	0.17073
UP000001667	0.28058	0.19346
UP000201170	0.36149	0.28267
UP000202456	0.28835	0.22774
UP000006722	0.44445	0.26898
UP001055346	0.0677	0.08077
UP000132615	0.36209	0.30188
UP000153665	0.16807	0.15009
UP000138572	0.13111	0.1173
UP000676374	0.06536	0.06536
UP000116972	0.63014	0.6408
UP000127630	0.12591	0.06057
UP000127207	0.19068	0.33921
UP000173328	0.32973	0.22098
UP000108481	0.36896	0.23201
UP000155737	0.37111	0.29699
UP000249128	0.37693	0.263
UP000502241	0.25857	0.18258
UP000128839	0.07879	0.10325
UP000202660	0.1735	0.13278
UP000007454	0.45982	0.34633
UP000679502	0.3193	0.31763
UP000202017	0.17887	0.09251
UP000008769	0.3353	0.27863
UP000242829	0.40632	0.28897
UP000201276	0.22665	0.14094
UP000007453	0.28359	0.22326
UP000676569	0.31252	0.25085
UP000243046	0.3056	0.32707
UP000240736	0.07615	0.0717
UP000204313	0.3592	0.10811
UP000202704	0.44092	0.30098
UP000242796	0.0675	0.06491
UP000243094	0.57055	0.48192
UP000203551	0.234	0.18572
UP000203195	0.14728	0.12772
UP000201633	0.20815	0.15284
UP000201690	0.41434	0.37603
UP000240444	0.3455	0.24081
UP000202624	0.41353	0.29927
UP000203450	0.20499	0.15932
UP000217332	0.02149	0.006
UP000201295	0.25	0.25
UP000203893	0.00807	0.00807
UP000240759	0.04047	0.04047
UP000501074	0.24149	0.22903
UP001161516	0.0	0.0
UP000297205	0.35923	0.27256
UP000125413	0.23142	0.14071
UP001161625	0.13398	0.06083
UP000202286	0.24828	0.23607
UP000202418	0.09884	0.085
UP000202334	0.3522	0.35165
UP000207739	0.38451	0.13903
UP000168127	0.11613	0.11317
UP000139997	0.19844	0.05656
UP000101546	0.08747	0.06947
UP000153628	0.14156	0.06714
UP000243195	0.14971	0.14971
UP000000872	0.16876	0.13528
UP000118240	0.05371	0.07157
UP000679045	0.24445	0.16002
UP000201340	0.24253	0.12994
UP000140360	0.10704	0.09938
UP000007705	0.38968	0.15467
UP000158963	0.06035	0.07215
UP000250118	0.1328	0.14011
UP000204035	0.17234	0.18378
UP000144694	0.39163	0.40162
UP000202403	0.03984	0.05065
UP000202739	0.16456	0.09228
UP000203455	0.04343	0.04343
UP000203983	0.062	0.02429
UP000297153	0.24225	0.28583
UP000201939	0.0	0.0
UP000242696	0.19739	0.18482
UP000203729	0.16923	0.17005
UP000201863	0.16794	0.0861
UP000201123	0.02926	0.02843
UP000151067	0.47706	0.46348
UP000201347	0.02671	0.07328
UP000289379	0.0908	0.0886
UP000201104	0.14222	0.16871
UP000201507	0.07084	0.18246
UP000201450	0.24161	0.09462
UP000121975	0.15738	0.15238
UP000201708	0.83582	0.83582
UP000289889	0.15421	0.14278
UP000678293	0.05032	0.04913
UP000676016	0.13754	0.13158
UP000681172	0.16055	0.15757
UP000677555	0.13301	0.12949
UP000677796	0.16167	0.1562
UP000682702	0.17981	0.17757
UP000678453	0.16584	0.06752
UP000677858	0.237	0.15876
UP000501413	0.1369	0.15071
UP000681618	0.20957	0.09959
UP000007250	0.39188	0.1494
UP000242934	0.17978	0.12456
UP000203404	0.09542	0.05686
UP000202651	0.13026	0.09109
UP000201832	0.13746	0.13507
UP000030600	0.01373	0.01373
UP000201750	0.12948	0.15965
UP000110027	0.51022	0.34707
UP000290012	0.15603	0.17027
UP000240325	0.19364	0.12361
UP000267964	0.06893	0.06032
UP001156965	0.0336	0.04695
UP000126963	0.30492	0.23185
UP000174756	0.29547	0.36488
UP000158899	0.22708	0.24817
UP000171261	0.34568	0.35777
UP000123590	0.45181	0.42526
UP000146474	0.3566	0.39468
UP000108682	0.24493	0.27696
UP000113705	0.40317	0.41267
UP000162055	0.38994	0.43491
UP000129101	0.28779	0.27244
UP000052095	0.46331	0.33765
UP000170803	0.23176	0.25215
UP000500842	0.27483	0.13131
UP000297077	0.0783	0.07544
UP000204624	0.08748	0.08212
UP000204197	0.10915	0.10418
UP000242973	0.11513	0.11513
UP000248957	0.08881	0.05384
UP000248962	0.01471	0.01753
UP000249117	0.0	0.0
UP000249553	0.39851	0.39851
UP000201786	0.01897	0.01897
UP000203167	0.0	0.0
UP000202591	0.04835	0.04835
UP000208075	0.17647	0.17647
UP000677460	0.10945	0.04943
UP000207756	0.37089	0.37089
UP000676523	0.36849	0.16071
UP000242693	0.21385	0.21192
UP000207629	0.12742	0.12742
UP000217360	0.15946	0.15908
UP000204019	0.19988	0.38989
UP000181617	0.05205	0.04738
UP000154597	0.27635	0.12852
UP000140422	0.33073	0.25996
UP000172814	0.24664	0.15239
UP001147787	0.29509	0.2376
UP000208093	0.10224	0.10224
UP000202209	0.13237	0.125
UP000204613	0.0	0.0
UP000201298	0.0	0.0
UP000202131	0.0	0.0
UP000202250	0.0	0.0
UP000202375	0.15411	0.16337
UP000202946	0.08264	0.09756
UP000159498	0.26771	0.18574
UP000109731	0.23723	0.14192
UP000121539	0.25528	0.17053
UP000202838	0.30999	0.19512
UP000203497	0.18618	0.05689
UP000201557	0.34708	0.39768
UP000007022	0.27504	0.24055
UP000109876	0.17824	0.18868
UP000131018	0.06486	0.07688
UP000007616	0.19831	0.1453
UP000203537	0.36103	0.42262
UP000250199	0.08606	0.08606
UP000297145	0.15001	0.14834
UP000202125	0.46733	0.41066
UP000203790	0.13918	0.12368
UP000203744	0.1243	0.06325
UP000201839	0.35143	0.19654
UP000001649	0.13365	0.08484
UP000201316	0.16667	0.13874
UP000203196	0.2938	0.28559
UP000201160	0.58964	0.40573
UP000201182	0.3489	0.33434
UP000201481	0.06857	0.0419
UP000100497	0.34851	0.27089
UP001156838	0.07115	0.11852
UP000144778	0.16078	0.05167
UP000103794	0.1364	0.0501
UP000124656	0.19605	0.06511
UP000202975	0.36384	0.25479
UP000289286	0.29107	0.19734
UP000002476	0.2799	0.07466
UP000201324	0.19958	0.11911
UP000274143	0.08188	0.08188
UP000201828	0.09721	0.08109
UP000214366	0.152	0.129
UP000501771	0.15553	0.09084
UP000289729	0.15542	0.17485
UP000202638	0.15801	0.22739
UP000232934	0.14255	0.18039
UP000297072	0.14219	0.30441
UP000203708	0.06205	0.20352
UP001144437	0.26652	0.2301
UP000201287	0.03431	0.01986
UP000202441	0.44018	0.20749
UP000029781	0.14684	0.10243
UP000169232	0.12411	0.15051
UP000201334	0.3283	0.18176
UP000116231	0.38132	0.28578
UP000171487	0.32516	0.20399
UP000296994	0.15972	0.08269
UP000157847	0.5	0.42857
UP000161175	0.09441	0.06538
UP000202809	0.23851	0.19729
UP000098834	0.34848	0.17819
UP000174903	0.06957	0.09743
UP000171893	0.17696	0.10109
UP000144596	0.03355	0.03704
UP000166258	0.0	0.0
UP000289905	0.31733	0.32244
UP000676067	0.07377	0.19714
UP000290910	0.15449	0.09085
UP001162011	0.27939	0.16225
UP000155887	0.30007	0.23111
UP000125519	0.42612	0.39762
UP000201142	0.21016	0.21455
UP000201219	0.09436	0.115
UP000502003	0.05166	0.02899
UP000007621	0.092	0.08519
UP000105631	0.28111	0.27753
UP000168164	0.10484	0.10088
UP000204275	0.11495	0.09524
UP000138111	0.24711	0.20569
UP000273130	0.26821	0.26003
UP000289354	0.44864	0.42433
UP000290978	0.40779	0.40367
UP000152522	0.35844	0.30955
UP000119242	0.4313	0.42971
UP000143347	0.37547	0.42394
UP000052101	0.47872	0.46623
UP000052080	0.5048	0.42755
UP000159394	0.40504	0.41146
UP000120723	0.40116	0.39416
UP000232735	0.0468	0.11943
UP000052097	0.3807	0.45806
UP000130113	0.38801	0.40099
UP000157582	0.26272	0.11752
UP000289960	0.14189	0.08351
UP000201608	0.4629	0.29525
UP000677976	0.12731	0.10467
UP000203054	0.0	0.0
UP000134884	0.35119	0.31056
UP000204440	0.11191	0.05868
UP000008446	0.28765	0.26458
UP000202791	0.0894	0.11953
UP000202202	0.13376	0.07998
UP000203226	0.44633	0.36471
UP000206880	0.4926	0.3909
UP000204637	0.34082	0.05469
UP000202186	0.40446	0.35105
UP000201558	0.1356	0.19911
UP000203437	0.11587	0.11335
UP000204100	0.36569	0.19688
UP000201124	0.10577	0.13415
UP000002244	0.11306	0.25738
UP000202771	0.16957	0.09687
UP000242389	0.29381	0.10287
UP000203476	0.15393	0.09167
UP000052093	0.21838	0.27754
UP000294431	0.21379	0.14232
UP000269124	0.21991	0.24869
UP000232613	0.193	0.10408
UP000102041	0.29799	0.26402
UP000116133	0.26365	0.28715
UP001156944	0.0324	0.04396
UP000163741	0.18834	0.09696
UP000243452	0.11775	0.11775
UP000242400	0.06767	0.0729
UP000243029	0.01775	0.02787
UP000242262	0.08665	0.08665
UP000242518	0.02821	0.03193
UP000242555	0.18498	0.18505
UP000116555	0.27272	0.23736
UP000203222	0.26122	0.28748
UP000241004	0.22331	0.29778
UP000104464	0.36859	0.3122
UP000007763	0.17434	0.17597
UP000204023	0.0898	0.08196
UP000817156	0.1177	0.12076
UP000202956	0.14423	0.13703
UP000203798	0.22338	0.22338
UP001161499	0.13601	0.08951
UP000202079	0.04618	0.0371
UP000099533	0.11392	0.07198
UP000503388	0.09661	0.06396
UP000145988	0.37824	0.30159
UP000289425	0.06919	0.06919
UP000203679	0.13897	0.09162
UP000202615	0.20504	0.17596
UP000202322	0.20119	0.11522
UP000201256	0.46935	0.26847
UP000289449	0.34941	0.3563
UP000279270	0.0	0.0
UP000683307	0.11538	0.11026
UP000681751	0.22483	0.21683
UP000682530	0.19472	0.18466
UP000682440	0.13666	0.13557
UP000680438	0.11489	0.10991
UP000676268	0.12581	0.1248
UP001139830	0.25471	0.28888
UP001139748	0.52723	0.21739
UP001139805	0.58375	0.43921
UP001139767	0.29906	0.3102
UP001139828	0.0664	0.0792
UP001139787	0.27811	0.19636
UP001139862	0.27508	0.13384
UP001139861	0.23249	0.23331
UP001139822	0.2925	0.27944
UP001139742	0.19841	0.09084
UP001139918	0.30936	0.24926
UP001139976	0.27427	0.10788
UP001139786	0.09307	0.06997
UP001139785	0.1215	0.1227
UP001140022	0.45629	0.27729
UP001140041	0.1924	0.16364
UP001140023	0.132	0.08905
UP001140061	0.49754	0.32384
UP000029763	0.10276	0.13509
UP000676426	0.17195	0.18565
UP000676050	0.03061	0.0255
UP000273779	0.29174	0.29278
UP000202459	0.07804	0.06392
UP000201598	0.38613	0.42857
UP000203907	0.45136	0.34931
UP001057349	0.30845	0.13271
UP001056735	0.36923	0.20813
UP001057393	0.48513	0.25435
UP001057449	0.14625	0.14286
UP001057434	0.49527	0.34842
UP000202210	0.0	0.0
UP000297109	0.36225	0.25818
UP000297052	0.33777	0.23923
UP000676088	0.23185	0.16265
UP000240472	0.22491	0.2
UP000240385	0.45409	0.39897
UP000154291	0.12937	0.14571
UP000500692	0.44429	0.3845
UP000676441	0.52444	0.52444
UP000243569	0.29922	0.33862
UP000126493	0.17574	0.26578
UP000110868	0.12846	0.09516
UP000203767	0.15512	0.15162
UP000679855	0.19004	0.19397
UP000202420	0.48543	0.33874
UP000203081	0.12001	0.07508
UP000242143	0.09792	0.0881
UP000792220	0.1223	0.08472
UP000242976	0.17088	0.14381
UP000204418	0.16988	0.1281
UP000202912	0.08729	0.09291
UP000289439	0.04586	0.09003
UP001162233	0.16227	0.13988
UP000679874	0.06083	0.06015
UP000678172	0.72674	0.72674
UP000158907	0.04595	0.05209
UP000202299	0.16136	0.14854
UP000297120	0.14741	0.14741
UP000268925	0.0702	0.06973
UP000243672	0.13764	0.12932
UP000203438	0.17606	0.21306
UP000106424	0.6904	0.42462
UP000204414	0.12656	0.1916
UP000676985	0.13742	0.13238
UP000203396	0.17569	0.1389
UP000242940	0.28293	0.30362
UP000201484	0.23418	0.21702
UP000275485	0.1426	0.09702
UP000202687	0.29676	0.17971
UP000268464	0.2457	0.24662
UP000214353	0.19877	0.16899
UP000290246	0.17915	0.11821
UP000203953	0.3219	0.28176
UP000203619	0.34852	0.2769
UP000202824	0.06866	0.06866
UP001162126	0.05056	0.05406
UP000203549	0.1091	0.08716
UP000290505	0.07583	0.07583
UP001157346	0.26432	0.11558
UP000680285	0.32942	0.14344
UP000146944	0.25822	0.09621
UP000201576	0.41303	0.21773
UP000682003	0.23978	0.18143
UP000290923	1.0	1.0
UP000678691	0.31754	0.26417
UP000680214	0.37506	0.24377
UP000289318	0.0	0.0
UP000289633	0.5	0.27136
UP000503365	0.0545	0.13977
UP000683308	0.09636	0.15428
UP000682738	0.05286	0.06194
UP000203903	0.0462	0.05174
UP000297057	0.05889	0.05656
UP000680699	0.07198	0.07198
UP000242476	0.09414	0.06763
UP000096922	0.07895	0.06685
UP000201270	0.261	0.18615
UP000202345	0.47925	0.34419
UP000002243	0.13594	0.1828
UP000141801	0.1071	0.10065
UP000214863	0.2403	0.20818
UP000144236	0.33247	0.30955
UP001061784	0.08808	0.13805
UP000165507	0.10597	0.10792
UP000201895	0.08162	0.08162
UP001158214	0.03715	0.03124
UP000232887	0.03991	0.07904
UP000246735	0.04345	0.06201
UP000888080	0.13003	0.05052
UP000249909	0.04947	0.04947
UP000121784	0.11154	0.07117
UP000241846	0.43513	0.31826
UP000204432	0.32067	0.28232
UP000201168	0.32563	0.23599
UP000241605	0.48495	0.45728
UP000232920	0.51725	0.50933
UP000011843	1.0	1.0
UP000232487	0.43512	0.32947
UP000202099	0.43445	0.32589
UP000203425	0.44152	0.35456
UP000201419	0.39647	0.32752
UP000201464	0.14986	0.1168
UP000202830	0.34157	0.31788
UP000202155	0.33571	0.30816
UP000134313	0.18769	0.14646
UP000106331	0.39256	0.33433
UP000204610	0.05069	0.05069
UP000202516	0.18125	0.18125
UP000202065	0.0	0.0
UP000201520	0.03787	0.03787
UP000202542	0.0	0.0
UP000204134	0.02332	0.02332
UP000242387	0.23504	0.0952
UP000242132	0.03476	0.03476
UP000242139	0.06927	0.06929
UP000242657	0.3241	0.21816
UP000001105	0.10012	0.10012
UP000203359	0.14576	0.11158
UP000500845	0.12798	0.11182
UP000202009	0.0	0.0
UP000208085	0.0	0.0
UP000201427	0.11971	0.1216
UP000201760	0.08613	0.07593
UP000201365	0.1056	0.09646
UP000203721	0.03717	0.04237
UP000203288	0.15232	0.10741
UP000204373	0.31123	0.08155
UP000243307	0.05143	0.05143
UP000204606	0.08462	0.05906
UP000204367	0.37444	0.28231
UP000201649	0.25735	0.11875
UP000204677	0.12624	0.07823
UP000501998	0.29105	0.1395
UP000273602	0.09157	0.04227
UP000289551	0.04463	0.06048
UP000676187	0.12169	0.07325
UP000290197	0.0612	0.08323
UP000290664	0.15465	0.11547
UP000683340	0.12161	0.08884
UP000147559	0.07662	0.11138
UP000130164	0.24077	0.13388
UP000203378	0.28987	0.1139
UP000242480	0.19229	0.20486
UP000052110	0.43449	0.21239
UP000201471	0.06469	0.06446
UP000202373	0.13474	0.12628
UP000269586	0.1663	0.16938
UP000279640	0.12957	0.12621
UP000201428	0.14927	0.19153
UP000502721	0.18854	0.14784
UP000172453	0.10448	0.1039
UP000108423	0.11239	0.0982
UP000111607	0.08696	0.07752
UP000143817	0.3516	0.30986
UP000146258	0.09862	0.08687
UP000115416	0.07798	0.06841
UP000146794	0.10046	0.08818
UP000106032	0.08784	0.07677
UP000137490	0.15556	0.13944
UP000158035	0.31982	0.28457
UP000204169	0.14716	0.16134
UP000202954	0.06968	0.08108
UP000203236	1.0	1.0
UP000118426	0.23483	0.22422
UP000126788	0.26273	0.25704
UP000169752	0.3704	0.31045
UP000503031	0.39557	0.17541
UP000679845	0.15723	0.0995
UP000682788	0.17996	0.10763
UP000007785	0.05174	0.06974
UP000164342	0.05251	0.06334
UP000204032	0.1931	0.1351
UP000204211	0.29452	0.21419
UP000202355	0.07809	0.09004
UP000678544	0.10415	0.13164
UP000138996	0.17087	0.10782
UP000171565	0.2115	0.15122
UP000207587	0.34814	0.39068
UP000000866	0.12632	0.0911
UP000201834	0.38521	0.30557
UP000006567	0.42085	0.42699
UP000682215	0.13413	0.18069
UP000203974	0.08399	0.07619
UP000679776	0.17469	0.05416
UP000204214	0.17835	0.17835
UP000207750	0.11716	0.06699
UP000593702	0.12239	0.09285
UP000143247	0.2049	0.1035
UP000203898	0.09154	0.06804
UP000265820	0.08783	0.05077
UP000501328	0.20162	0.18031
UP000203823	0.16429	0.16429
UP000208110	0.10976	0.10854
UP000203433	0.16736	0.10151
UP000203335	0.12116	0.07754
UP000137862	0.2179	0.20327
UP000201740	0.28319	0.25293
UP000679447	0.14402	0.07744
UP000234913	0.25654	0.0891
UP000290829	0.15	0.10093
UP000243694	0.2476	0.13499
UP000217400	0.26992	0.1381
UP000232622	0.35694	0.24907
UP000154662	0.22449	0.1582
UP000097858	0.17198	0.07746
UP000289277	0.39981	0.35123
UP000202475	0.21158	0.24872
UP000204139	0.50961	0.32146
UP000203349	0.13889	0.12758
UP000164976	0.07763	0.06623
UP000137020	0.11416	0.0996
UP000170243	0.5	0.44177
UP000203969	0.27289	0.32869
UP000203618	0.12229	0.12251
UP000208064	0.04464	0.03899
UP000201971	0.17586	0.16314
UP000204503	0.02982	0.02584
UP000203979	0.14634	0.15111
UP000202779	0.14806	0.1434
UP000203257	0.15672	0.14906
UP000201049	0.28457	0.28457
UP000204567	0.08789	0.10022
UP000201105	0.17387	0.16724
UP000202812	0.40483	0.4048
UP000204425	0.13062	0.15648
UP000202225	0.21245	0.125
UP000201415	0.15667	0.11536
UP000145072	0.13836	0.0838
UP000146376	0.22338	0.12788
UP000203478	0.15781	0.10237
UP000163324	0.14715	0.08511
UP000290195	0.29232	0.30609
UP000170672	0.31195	0.14583
UP000029768	0.21508	0.11427
UP000204110	0.05188	0.06937
UP000109622	0.10706	0.07182
UP000114748	0.15056	0.0806
UP000270144	0.07116	0.07946
UP000163971	0.21069	0.16015
UP000516061	0.36043	0.2478
UP000203333	0.07341	0.06401
UP000141790	0.20238	0.17544
UP000203021	0.12406	0.09749
UP000203072	0.0	0.0
UP000203700	0.0	0.0
UP000203474	0.20967	0.12397
UP000204226	0.358	0.16236
UP000232512	0.21612	0.22691
UP000007209	0.25741	0.21114
UP000290834	0.08795	0.08795
UP000290892	0.17612	0.17612
UP000290661	0.09859	0.09524
UP000130855	0.32234	0.11568
UP000203646	0.08873	0.08077
UP000317189	0.33279	0.25373
UP000242725	0.24754	0.27001
UP000202382	0.32902	0.38663
UP000204423	0.30351	0.37723
UP000202996	0.09675	0.09008
UP000289565	0.17112	0.17483
UP000204056	0.12922	0.12803
UP000232642	0.18969	0.08898
UP000207727	0.0904	0.04204
UP000201141	0.22223	0.12946
UP000208097	0.07354	0.0362
UP000201549	0.10834	0.04233
UP000207733	0.17911	0.07225
UP000157603	0.21885	0.23271
UP001162024	0.28051	0.32343
UP000677907	0.35534	0.29695
UP000290983	0.10059	0.09164
UP000207740	0.05958	0.0271
UP000681011	0.10566	0.29858
UP000203726	0.0443	0.06041
UP000204213	0.09174	0.10079
UP000677756	0.04681	0.02337
UP000203498	0.17711	0.06653
UP000202304	0.07964	0.07417
UP000217939	0.11708	0.12294
UP000678589	0.14892	0.20723
UP000207639	0.41485	0.3
UP000132112	0.33651	0.30578
UP000681772	0.06345	0.06345
UP000203221	0.14164	0.10683
UP000682018	0.22634	0.2933
UP000682915	0.13646	0.25852
UP000201290	0.1359	0.07802
UP000516033	0.30217	0.22454
UP000008476	0.20581	0.15326
UP000112084	0.43039	0.39789
UP000118015	0.36073	0.36577
UP000217428	0.12393	0.07844
UP001143705	0.33096	0.27789
UP000134836	0.36378	0.2866
UP000102399	0.36286	0.23797
UP000123602	0.1405	0.0879
UP000124852	0.23444	0.15018
UP000123284	0.35154	0.33485
UP000052084	0.32751	0.29182
UP000052092	0.39518	0.40594
UP000129924	0.32343	0.30351
UP000127392	0.30672	0.29158
UP000203177	0.40784	0.46602
UP000052100	0.47179	0.41722
UP000290659	0.42924	0.39604
UP000289526	0.12891	0.06909
UP000289536	0.17564	0.10208
UP000052083	0.11706	0.17923
UP000201628	0.1747	0.10808
UP000243323	0.04782	0.04782
UP000241723	0.04426	0.04426
UP000242021	0.0	0.0
UP000240445	0.0	0.0
UP000246342	0.1911	0.16493
UP000223669	0.05751	0.07623
UP000290737	0.343	0.39477
UP000139941	0.16147	0.10013
UP000204162	0.31927	0.23007
UP000681583	0.44003	0.20561
UP000202617	0.27077	0.20549
UP000204536	0.2374	0.2232
UP000204096	0.34918	0.279
UP000281425	0.09899	0.09752
UP000240812	0.32583	0.22873
UP001156908	0.06541	0.0439
UP000203846	0.16323	0.12534
UP000105727	0.14347	0.13678
