"Entry","Method","PDB_ID","Chain","FD","Start_Coverage","End_Coverage"
"P29274","X-ray diffraction","3UZC","A","FD1","1","317"
"P29274","X-ray diffraction","3VG9","A","FD1","1","316"
"P29274","X-ray diffraction","3VGA","A","FD1","1","316"
"P29274","X-ray diffraction","4EIY","A","FD1","2","208"
"P29274","X-ray diffraction","4UG2","A, B","FD1","1","317"
"P29274","X-ray diffraction","4UHR","A","FD1","1","317"
"P29274","X-ray diffraction","5G53","A, B","FD1","1","308"
"P29274","X-ray diffraction","5IU4","A","FD1","2","208"
"P29274","X-ray diffraction","5IU7","A","FD1","2","208"
"P29274","X-ray diffraction","5IU8","A","FD1","2","208"
"P29274","X-ray diffraction","5IUA","A","FD1","2","208"
"P29274","X-ray diffraction","5IUB","A","FD1","2","208"
"P29274","X-ray diffraction","5JTB","A","FD1","2","208"
"P29274","X-ray diffraction","5K2A","A","FD1","2","208"
"P29274","X-ray diffraction","5K2B","A","FD1","2","208"
"P29274","X-ray diffraction","5K2C","A","FD1","2","208"
"P29274","X-ray diffraction","5K2D","A","FD1","2","208"
"P29274","X-ray diffraction","5MZJ","A","FD1","2","208"
"P29274","X-ray diffraction","5MZP","A","FD1","2","208"
"P29274","X-ray diffraction","5N2R","A","FD1","2","208"
"P29274","X-ray diffraction","5NLX","A","FD1","2","208"
"P29274","X-ray diffraction","5NM2","A","FD1","2","208"
"P29274","X-ray diffraction","5NM4","A","FD1","2","208"
"P29274","X-ray diffraction","5OLG","A","FD1","2","208"
"P29274","X-ray diffraction","5OLH","A","FD1","2","208"
"P29274","X-ray diffraction","5OLO","A","FD1","2","208"
"P29274","X-ray diffraction","5OLV","A","FD1","2","208"
"P29274","X-ray diffraction","5OLZ","A","FD1","2","208"
"P29274","X-ray diffraction","5OM1","A","FD1","2","208"
"P29274","X-ray diffraction","5OM4","A","FD1","2","208"
"P29274","X-ray diffraction","5UIG","A","FD1","1","208"
"P29274","X-ray diffraction","5UVI","A","FD1","2","208"
"P29274","X-ray diffraction","5VRA","A","FD1","2","208"
"P29274","X-ray diffraction","5WF5","A","FD1","2","208"
"P29274","X-ray diffraction","5WF6","A","FD1","2","208"
"P29274","X-ray diffraction","6AQF","A","FD1","2","208"
"P29274","Electron Microscopy","6GDG","A","FD1","8","316"
"P29274","X-ray diffraction","6GT3","A","FD1","2","208"
"P29274","X-ray diffraction","6JZH","A","FD1","2","208"
"P29274","X-ray diffraction","6MH8","A","FD1","2","208"
"P29274","X-ray diffraction","6PS7","A","FD1","2","208"
"P52594","Solution NMR","2D9L","A","FD1","14","134"
"P52594","X-ray diffraction","2OLM","A","FD1","4","141"
"P52594","X-ray diffraction","2VX8","A, B, C, D","FD1","136","175"
"Q9UKV8","X-ray diffraction","3LUC","A, B, C","FD1","439","575"
"Q9UKV8","X-ray diffraction","3LUD","A, B, C","FD1","439","575"
"Q9UKV8","X-ray diffraction","3LUG","A, B, C","FD1","439","575"
"Q9UKV8","X-ray diffraction","3LUH","A, B, C","FD1","439","575"
"Q9UKV8","X-ray diffraction","3LUJ","A, B, C","FD1","439","575"
"Q9UKV8","X-ray diffraction","3LUK","A, B, C","FD1","439","575"
"Q9UKV8","X-ray diffraction","3QX8","A, B, C","FD1","439","575"
"Q9UKV8","X-ray diffraction","3QX9","A, B, C","FD1","439","575"
"Q9UKV8","X-ray diffraction","4F3T","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4OLA","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4OLB","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4W5N","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4W5O","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4W5Q","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4W5R","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4W5T","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4Z4C","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4Z4D","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4Z4E","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4Z4F","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4Z4G","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4Z4H","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","4Z4I","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","5JS1","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","5JS2","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","5KI6","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","5T7B","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","5WEA","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","6CBD","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","6MDZ","A, B","FD1","1","859"
"Q9UKV8","X-ray diffraction","6MFN","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","6MFR","A, B","FD1","1","859"
"Q9UKV8","X-ray diffraction","6N4O","A","FD1","1","859"
"Q9UKV8","X-ray diffraction","6NIT","A, B","FD1","1","859"
"Q9UKV8","X-ray diffraction","6RA4","A, B","FD1","222","355"
"Q8TD06","X-ray diffraction","3PH9","A, B","FD1","24","166"
"O43572","X-ray diffraction","3IM4","C","FD1","623","662"
"O43572","X-ray diffraction","3TMH","D, H, L","FD1","623","662"
"Q12955","X-ray diffraction","4O6X","A, B","FD1","4088","4199"
"Q9NZN5","X-ray diffraction","1TXD","A","FD1","766","1138"
"Q9NZN5","X-ray diffraction","1X86","A, C, E, G","FD1","766","1138"
"Q9NZN5","Solution NMR","2OMJ","A","FD1","67","151"
"Q9NZN5","Solution NMR","2OS6","A","FD1","67","151"
"Q96LA8","X-ray diffraction","4HC4","A","FD1","1","375"
"Q96LA8","X-ray diffraction","4QPP","A, B, C","FD1","1","375"
"Q96LA8","X-ray diffraction","4QQK","A","FD1","1","375"
"Q96LA8","X-ray diffraction","4Y2H","A, B","FD1","27","375"
"Q96LA8","X-ray diffraction","4Y30","A, B","FD1","25","375"
"Q96LA8","X-ray diffraction","5E8R","A, B","FD1","1","375"
"Q96LA8","X-ray diffraction","5EGS","A, B, C, D","FD1","1","375"
"Q96LA8","X-ray diffraction","5HZM","A","FD1","1","375"
"Q96LA8","X-ray diffraction","5WCF","A","FD1","1","375"
"Q96LA8","X-ray diffraction","6P7I","A, B, C, D","FD1","1","375"
"Q92484","X-ray diffraction","5EBB","A, B, C","FD1","34","443"
"Q92484","X-ray diffraction","5EBE","B, C","FD1","33","450"
"P39687","X-ray diffraction","2JE0","A, B, C, D, E, F","FD1","1","149"
"P39687","X-ray diffraction","2JE1","A, B, C, D","FD1","1","149"
"P39687","X-ray diffraction","4XOS","A, B","FD1","1","149"
"O60885","Solution NMR","2I8N","A","FD1","352","457"
"O60885","Solution NMR","2LSP","B","FD1","333","460"
"O60885","Solution NMR","2MJV","B","FD1","333","460"
"O60885","Solution NMR","2N3K","A","FD1","600","678"
"O60885","Solution NMR","2NCZ","A","FD1","601","683"
"O60885","Solution NMR","2ND0","A","FD1","601","683"
"O60885","Solution NMR","2ND1","A","FD1","601","683"
"O60885","X-ray diffraction","2NNU","B","FD1","1343","1362"
"O60885","X-ray diffraction","2OSS","A","FD1","43","168"
"O60885","X-ray diffraction","2OUO","A","FD1","333","460"
"O60885","X-ray diffraction","2YEL","A","FD1","44","168"
"O60885","X-ray diffraction","2YEM","A, B","FD1","333","460"
"O60885","X-ray diffraction","3MXF","A","FD1","42","168"
"O60885","X-ray diffraction","3P5O","A","FD1","44","168"
"O60885","X-ray diffraction","3SVF","A","FD1","44","168"
"O60885","X-ray diffraction","3SVG","A","FD1","44","168"
"O60885","X-ray diffraction","3U5J","A","FD1","42","168"
"O60885","X-ray diffraction","3U5K","A, B, C, D","FD1","42","168"
"O60885","X-ray diffraction","3U5L","A","FD1","42","168"
"O60885","X-ray diffraction","3UVW","A","FD1","44","168"
"O60885","X-ray diffraction","3UVX","A","FD1","44","168"
"O60885","X-ray diffraction","3UVY","A","FD1","44","168"
"O60885","X-ray diffraction","3UW9","A, B, C, D","FD1","44","168"
"O60885","X-ray diffraction","3ZYU","A, B","FD1","44","168"
"O60885","X-ray diffraction","4A9L","A","FD1","44","168"
"O60885","X-ray diffraction","4BJX","A","FD1","44","168"
"O60885","X-ray diffraction","4BW1","A","FD1","44","168"
"O60885","X-ray diffraction","4BW2","A","FD1","44","168"
"O60885","X-ray diffraction","4BW3","A","FD1","44","168"
"O60885","X-ray diffraction","4BW4","A","FD1","44","168"
"O60885","X-ray diffraction","4C66","A","FD1","44","167"
"O60885","X-ray diffraction","4C67","A","FD1","44","168"
"O60885","X-ray diffraction","4CFK","A","FD1","42","168"
"O60885","X-ray diffraction","4CFL","A","FD1","42","168"
"O60885","X-ray diffraction","4CL9","A","FD1","44","168"
"O60885","X-ray diffraction","4CLB","A","FD1","44","168"
"O60885","X-ray diffraction","4DON","A","FD1","44","166"
"O60885","X-ray diffraction","4E96","A","FD1","44","168"
"O60885","X-ray diffraction","4F3I","A","FD1","44","168"
"O60885","X-ray diffraction","4GPJ","A","FD1","44","168"
"O60885","X-ray diffraction","4HBV","A","FD1","42","168"
"O60885","X-ray diffraction","4HBW","A","FD1","42","168"
"O60885","X-ray diffraction","4HBX","A","FD1","42","168"
"O60885","X-ray diffraction","4HBY","A","FD1","42","168"
"O60885","X-ray diffraction","4HXK","A","FD1","44","167"
"O60885","X-ray diffraction","4HXL","A","FD1","44","167"
"O60885","X-ray diffraction","4HXM","A","FD1","44","166"
"O60885","X-ray diffraction","4HXN","A","FD1","44","167"
"O60885","X-ray diffraction","4HXO","A","FD1","44","167"
"O60885","X-ray diffraction","4HXP","A","FD1","44","166"
"O60885","X-ray diffraction","4HXR","A","FD1","44","167"
"O60885","X-ray diffraction","4HXS","A","FD1","44","166"
"O60885","X-ray diffraction","4IOO","A","FD1","44","168"
"O60885","X-ray diffraction","4IOQ","A","FD1","44","168"
"O60885","X-ray diffraction","4IOR","A","FD1","44","168"
"O60885","X-ray diffraction","4J0R","A","FD1","44","168"
"O60885","X-ray diffraction","4J0S","A","FD1","44","168"
"O60885","X-ray diffraction","4J3I","A","FD1","44","168"
"O60885","X-ray diffraction","4KV1","A, B","FD1","41","168"
"O60885","X-ray diffraction","4KV4","A","FD1","351","459"
"O60885","X-ray diffraction","4LR6","A","FD1","42","168"
"O60885","X-ray diffraction","4LRG","A","FD1","42","168"
"O60885","X-ray diffraction","4LYI","A","FD1","44","168"
"O60885","X-ray diffraction","4LYS","A","FD1","44","168"
"O60885","X-ray diffraction","4LYW","A","FD1","44","168"
"O60885","X-ray diffraction","4LZR","A","FD1","44","168"
"O60885","X-ray diffraction","4LZS","A","FD1","44","168"
"O60885","X-ray diffraction","4MEN","A","FD1","44","168"
"O60885","X-ray diffraction","4MEO","A","FD1","44","168"
"O60885","X-ray diffraction","4MEP","A","FD1","44","168"
"O60885","X-ray diffraction","4MEQ","A","FD1","44","168"
"O60885","X-ray diffraction","4MR3","A","FD1","44","168"
"O60885","X-ray diffraction","4MR4","A","FD1","44","168"
"O60885","X-ray diffraction","4NQM","A","FD1","44","168"
"O60885","X-ray diffraction","4NR8","A","FD1","44","168"
"O60885","X-ray diffraction","4NUC","A","FD1","44","168"
"O60885","X-ray diffraction","4NUD","A","FD1","44","168"
"O60885","X-ray diffraction","4NUE","A","FD1","44","168"
"O60885","X-ray diffraction","4O70","A, B","FD1","44","168"
"O60885","X-ray diffraction","4O71","A, B","FD1","44","168"
"O60885","X-ray diffraction","4O72","A","FD1","44","168"
"O60885","X-ray diffraction","4O74","A, B","FD1","44","168"
"O60885","X-ray diffraction","4O75","A","FD1","44","168"
"O60885","X-ray diffraction","4O76","A, B, C, D","FD1","44","168"
"O60885","X-ray diffraction","4O77","A, B","FD1","44","168"
"O60885","X-ray diffraction","4O78","A","FD1","44","168"
"O60885","X-ray diffraction","4O7A","A","FD1","44","168"
"O60885","X-ray diffraction","4O7B","A","FD1","44","168"
"O60885","X-ray diffraction","4O7C","A","FD1","44","168"
"O60885","X-ray diffraction","4O7E","A, B","FD1","44","168"
"O60885","X-ray diffraction","4O7F","A, B","FD1","44","168"
"O60885","X-ray diffraction","4OGI","A, B","FD1","44","168"
"O60885","X-ray diffraction","4OGJ","A, B","FD1","44","168"
"O60885","X-ray diffraction","4PCE","A","FD1","44","168"
"O60885","X-ray diffraction","4PCI","A","FD1","44","168"
"O60885","X-ray diffraction","4PS5","A, B","FD1","44","168"
"O60885","X-ray diffraction","4QB3","A","FD1","44","168"
"O60885","X-ray diffraction","4QR3","A","FD1","44","166"
"O60885","X-ray diffraction","4QR4","A","FD1","44","166"
"O60885","X-ray diffraction","4QR5","A","FD1","44","166"
"O60885","X-ray diffraction","4QZS","A","FD1","44","168"
"O60885","X-ray diffraction","4UIX","A, B, C","FD1","44","168"
"O60885","X-ray diffraction","4UIY","A","FD1","44","168"
"O60885","X-ray diffraction","4UIZ","A","FD1","44","168"
"O60885","X-ray diffraction","4UYD","A","FD1","44","183"
"O60885","X-ray diffraction","4WHW","A","FD1","44","168"
"O60885","X-ray diffraction","4WIV","A","FD1","44","168"
"O60885","X-ray diffraction","4X2I","A","FD1","42","166"
"O60885","X-ray diffraction","4XY9","A","FD1","42","168"
"O60885","X-ray diffraction","4XYA","A","FD1","42","168"
"O60885","X-ray diffraction","4YH3","A","FD1","44","170"
"O60885","X-ray diffraction","4YH4","A","FD1","44","170"
"O60885","X-ray diffraction","4Z1Q","A, B","FD1","42","167"
"O60885","X-ray diffraction","4Z1S","A, B","FD1","42","166"
"O60885","X-ray diffraction","4Z93","A","FD1","349","460"
"O60885","X-ray diffraction","4ZC9","A","FD1","44","168"
"O60885","X-ray diffraction","4ZW1","A","FD1","44","168"
"O60885","X-ray diffraction","5A5S","A","FD1","44","168"
"O60885","X-ray diffraction","5A85","A","FD1","44","168"
"O60885","X-ray diffraction","5ACY","A, B","FD1","44","168"
"O60885","X-ray diffraction","5AD2","A, B","FD1","44","168"
"O60885","X-ray diffraction","5AD3","A, B","FD1","44","168"
"O60885","X-ray diffraction","5BT4","A, B, C","FD1","44","168"
"O60885","X-ray diffraction","5CFW","A","FD1","44","168"
"O60885","X-ray diffraction","5COI","A","FD1","44","168"
"O60885","X-ray diffraction","5CP5","A","FD1","44","168"
"O60885","X-ray diffraction","5CPE","A","FD1","44","168"
"O60885","X-ray diffraction","5CQT","A","FD1","44","168"
"O60885","X-ray diffraction","5CRM","A","FD1","44","168"
"O60885","X-ray diffraction","5CRZ","A","FD1","44","168"
"O60885","X-ray diffraction","5CS8","A","FD1","44","168"
"O60885","X-ray diffraction","5CTL","A","FD1","44","168"
"O60885","X-ray diffraction","5CY9","A","FD1","44","168"
"O60885","X-ray diffraction","5D0C","A","FD1","44","168"
"O60885","X-ray diffraction","5D24","A","FD1","43","168"
"O60885","X-ray diffraction","5D25","A","FD1","43","168"
"O60885","X-ray diffraction","5D26","A","FD1","42","168"
"O60885","X-ray diffraction","5D3H","A","FD1","44","168"
"O60885","X-ray diffraction","5D3J","A","FD1","43","168"
"O60885","X-ray diffraction","5D3L","A","FD1","42","168"
"O60885","X-ray diffraction","5D3N","A","FD1","43","168"
"O60885","X-ray diffraction","5D3P","A","FD1","42","168"
"O60885","X-ray diffraction","5D3R","A","FD1","42","168"
"O60885","X-ray diffraction","5D3S","A","FD1","44","168"
"O60885","X-ray diffraction","5D3T","A","FD1","42","168"
"O60885","X-ray diffraction","5DLX","A","FD1","44","168"
"O60885","X-ray diffraction","5DLZ","A","FD1","44","168"
"O60885","X-ray diffraction","5DW2","A","FD1","44","170"
"O60885","X-ray diffraction","5DX4","A","FD1","44","168"
"O60885","X-ray diffraction","5E0R","A","FD1","44","168"
"O60885","X-ray diffraction","5EGU","A, B, C, D","FD1","44","168"
"O60885","X-ray diffraction","5EI4","A","FD1","44","168"
"O60885","X-ray diffraction","5EIS","A","FD1","44","168"
"O60885","X-ray diffraction","5F5Z","A","FD1","44","168"
"O60885","X-ray diffraction","5F60","A","FD1","44","168"
"O60885","X-ray diffraction","5F61","A, B","FD1","44","168"
"O60885","X-ray diffraction","5F62","A","FD1","44","168"
"O60885","X-ray diffraction","5F63","A","FD1","44","168"
"O60885","X-ray diffraction","5FBX","A","FD1","44","168"
"O60885","X-ray diffraction","5H21","A","FD1","44","167"
"O60885","X-ray diffraction","5HCL","A","FD1","44","168"
"O60885","X-ray diffraction","5HLS","A","FD1","42","168"
"O60885","X-ray diffraction","5HM0","A","FD1","42","168"
"O60885","X-ray diffraction","5HQ5","A","FD1","44","168"
"O60885","X-ray diffraction","5HQ6","A","FD1","44","166"
"O60885","X-ray diffraction","5HQ7","A","FD1","44","167"
"O60885","X-ray diffraction","5I80","A","FD1","42","167"
"O60885","X-ray diffraction","5I88","A","FD1","42","167"
"O60885","X-ray diffraction","5IGK","A","FD1","44","168"
"O60885","X-ray diffraction","5JWM","A, B","FD1","333","460"
"O60885","X-ray diffraction","5KDH","A","FD1","44","168"
"O60885","X-ray diffraction","5KHM","A, B","FD1","44","168"
"O60885","X-ray diffraction","5KJ0","A","FD1","44","168"
"O60885","X-ray diffraction","5KU3","A","FD1","42","167"
"O60885","X-ray diffraction","5LJ1","A","FD1","42","168"
"O60885","X-ray diffraction","5LJ2","A","FD1","42","168"
"O60885","X-ray diffraction","5LRQ","A","FD1","42","163"
"O60885","X-ray diffraction","5LUU","A","FD1","44","168"
"O60885","X-ray diffraction","5M39","A, B","FD1","42","168"
"O60885","X-ray diffraction","5M3A","A","FD1","44","168"
"O60885","X-ray diffraction","5MKZ","A","FD1","44","168"
"O60885","X-ray diffraction","5MLI","A","FD1","42","168"
"O60885","X-ray diffraction","5N2M","A","FD1","44","168"
"O60885","X-ray diffraction","5NNC","A, B","FD1","44","168"
"O60885","X-ray diffraction","5NND","A, B","FD1","44","168"
"O60885","X-ray diffraction","5NNE","A","FD1","44","168"
"O60885","X-ray diffraction","5NNF","A","FD1","44","168"
"O60885","X-ray diffraction","5NNG","A","FD1","44","168"
"O60885","X-ray diffraction","5O97","A","FD1","44","168"
"O60885","X-ray diffraction","5OVB","A, B","FD1","44","168"
"O60885","X-ray diffraction","5OWM","A","FD1","44","168"
"O60885","X-ray diffraction","5OWW","A, B, C, D","FD1","44","168"
"O60885","X-ray diffraction","5T35","A, E","FD1","333","460"
"O60885","X-ray diffraction","5TI2","A","FD1","44","168"
"O60885","X-ray diffraction","5TI3","A","FD1","44","168"
"O60885","X-ray diffraction","5TI4","A","FD1","44","168"
"O60885","X-ray diffraction","5TI5","A","FD1","44","168"
"O60885","X-ray diffraction","5TI6","A","FD1","44","168"
"O60885","X-ray diffraction","5TI7","A","FD1","44","168"
"O60885","X-ray diffraction","5U28","A","FD1","44","180"
"O60885","X-ray diffraction","5U2C","A, B","FD1","342","460"
"O60885","X-ray diffraction","5U2E","A, B","FD1","42","180"
"O60885","X-ray diffraction","5U2F","A, B","FD1","42","180"
"O60885","X-ray diffraction","5UEO","A, B","FD1","352","457"
"O60885","X-ray diffraction","5UEP","A","FD1","352","457"
"O60885","X-ray diffraction","5UEQ","A","FD1","352","457"
"O60885","X-ray diffraction","5UER","A","FD1","352","457"
"O60885","X-ray diffraction","5UES","A","FD1","352","457"
"O60885","X-ray diffraction","5UET","A","FD1","352","457"
"O60885","X-ray diffraction","5UEU","A, B","FD1","352","457"
"O60885","X-ray diffraction","5UEV","A","FD1","352","457"
"O60885","X-ray diffraction","5UEX","A","FD1","352","457"
"O60885","X-ray diffraction","5UEY","A","FD1","352","457"
"O60885","X-ray diffraction","5UEZ","A","FD1","352","457"
"O60885","X-ray diffraction","5UF0","A","FD1","352","457"
"O60885","X-ray diffraction","5ULA","A, B","FD1","44","168"
"O60885","X-ray diffraction","5UOO","A","FD1","333","460"
"O60885","X-ray diffraction","5UVS","A","FD1","352","457"
"O60885","X-ray diffraction","5UVT","A","FD1","352","457"
"O60885","X-ray diffraction","5UVU","A","FD1","352","457"
"O60885","X-ray diffraction","5UVV","A, B","FD1","352","457"
"O60885","X-ray diffraction","5UVW","A, B, C","FD1","57","165"
"O60885","X-ray diffraction","5UVX","A, B","FD1","352","457"
"O60885","X-ray diffraction","5UVY","A","FD1","352","457"
"O60885","X-ray diffraction","5UVZ","A","FD1","352","457"
"O60885","X-ray diffraction","5V67","A","FD1","44","168"
"O60885","X-ray diffraction","5VBO","A","FD1","44","168"
"O60885","X-ray diffraction","5VBP","A, B","FD1","44","168"
"O60885","X-ray diffraction","5VOM","A, B","FD1","44","168"
"O60885","X-ray diffraction","5VZS","A, B","FD1","42","168"
"O60885","X-ray diffraction","5W55","A","FD1","42","168"
"O60885","X-ray diffraction","5WA5","A","FD1","42","168"
"O60885","X-ray diffraction","5WMA","A","FD1","44","168"
"O60885","X-ray diffraction","5WMD","A","FD1","44","168"
"O60885","X-ray diffraction","5WMG","A","FD1","44","168"
"O60885","X-ray diffraction","5WUU","A","FD1","44","167"
"O60885","X-ray diffraction","5XHY","A","FD1","44","166"
"O60885","X-ray diffraction","5XI2","A","FD1","44","166"
"O60885","X-ray diffraction","5XI3","A","FD1","44","166"
"O60885","X-ray diffraction","5XI4","A","FD1","44","166"
"O60885","X-ray diffraction","5Y1Y","A","FD1","44","167"
"O60885","X-ray diffraction","5Y8C","A","FD1","44","166"
"O60885","X-ray diffraction","5Y8W","A","FD1","44","168"
"O60885","X-ray diffraction","5Y8Y","A","FD1","44","168"
"O60885","X-ray diffraction","5Y8Z","A","FD1","44","168"
"O60885","X-ray diffraction","5Y93","A","FD1","44","168"
"O60885","X-ray diffraction","5Y94","A","FD1","44","168"
"O60885","X-ray diffraction","5YOU","A","FD1","42","168"
"O60885","X-ray diffraction","5YOV","A","FD1","42","168"
"O60885","X-ray diffraction","5YQX","A","FD1","44","167"
"O60885","X-ray diffraction","5Z1R","A","FD1","44","168"
"O60885","X-ray diffraction","5Z1S","A","FD1","44","168"
"O60885","X-ray diffraction","5Z1T","A","FD1","44","168"
"O60885","X-ray diffraction","5Z5T","A","FD1","44","167"
"O60885","X-ray diffraction","5Z5U","A","FD1","44","167"
"O60885","X-ray diffraction","5Z5V","A","FD1","44","167"
"O60885","X-ray diffraction","5Z8G","A","FD1","44","168"
"O60885","X-ray diffraction","5Z8R","A","FD1","44","168"
"O60885","X-ray diffraction","5Z8Z","A","FD1","44","168"
"O60885","X-ray diffraction","5Z90","A","FD1","44","168"
"O60885","Solution NMR","5Z9C","A","FD1","53","168"
"O60885","X-ray diffraction","5Z9K","A","FD1","44","168"
"O60885","X-ray diffraction","6AFR","A","FD1","44","168"
"O60885","X-ray diffraction","6AJV","A","FD1","42","168"
"O60885","X-ray diffraction","6AJW","A","FD1","42","168"
"O60885","X-ray diffraction","6AJX","A","FD1","42","168"
"O60885","X-ray diffraction","6AJY","A","FD1","42","168"
"O60885","Hybrid","6AJZ","A","FD1","42","168"
"O60885","X-ray diffraction","6BN7","C","FD1","42","168"
"O60885","X-ray diffraction","6BN8","C","FD1","42","168"
"O60885","X-ray diffraction","6BN9","C","FD1","42","168"
"O60885","X-ray diffraction","6BNB","C","FD1","42","168"
"O60885","Solution NMR","6BNH","A","FD1","601","683"
"O60885","X-ray diffraction","6BOY","C","FD1","42","168"
"O60885","X-ray diffraction","6C7Q","A","FD1","333","460"
"O60885","X-ray diffraction","6C7R","A","FD1","44","165"
"O60885","X-ray diffraction","6CD4","A","FD1","42","168"
"O60885","X-ray diffraction","6CD5","A","FD1","44","168"
"O60885","X-ray diffraction","6CIS","A","FD1","44","166"
"O60885","X-ray diffraction","6CIY","A","FD1","44","168"
"O60885","X-ray diffraction","6CJ1","A","FD1","44","166"
"O60885","X-ray diffraction","6CJ2","A","FD1","42","166"
"O60885","X-ray diffraction","6CKR","A, B","FD1","44","168"
"O60885","X-ray diffraction","6CKS","A","FD1","44","168"
"O60885","X-ray diffraction","6CZU","A","FD1","42","170"
"O60885","X-ray diffraction","6CZV","A","FD1","42","170"
"O60885","X-ray diffraction","6DJC","A, B","FD1","44","173"
"O60885","X-ray diffraction","6DL2","A","FD1","44","168"
"O60885","X-ray diffraction","6DMJ","A","FD1","44","168"
"O60885","X-ray diffraction","6DML","A","FD1","44","168"
"O60885","X-ray diffraction","6DNE","A, B","FD1","44","477"
"O60885","X-ray diffraction","6DUV","A, B","FD1","347","458"
"O60885","X-ray diffraction","6E4A","A, B","FD1","44","170"
"O60885","X-ray diffraction","6FFD","A","FD1","347","463"
"O60885","X-ray diffraction","6FNX","A","FD1","44","168"
"O60885","X-ray diffraction","6FO5","A","FD1","44","168"
"O60885","X-ray diffraction","6FSY","A","FD1","42","168"
"O60885","X-ray diffraction","6FT3","A","FD1","42","168"
"O60885","X-ray diffraction","6FT4","A","FD1","42","168"
"O60885","X-ray diffraction","6G0D","A","FD1","42","168"
"O60885","X-ray diffraction","6G0E","A","FD1","42","168"
"O60885","X-ray diffraction","6G0F","A","FD1","42","168"
"O60885","X-ray diffraction","6G0G","A","FD1","42","168"
"O60885","X-ray diffraction","6G0H","A","FD1","42","168"
"O60885","X-ray diffraction","6G0O","A","FD1","42","168"
"O60885","X-ray diffraction","6G0P","A","FD1","42","168"
"O60885","X-ray diffraction","6G0Q","A","FD1","42","168"
"O60885","X-ray diffraction","6G0R","A","FD1","42","168"
"O60885","X-ray diffraction","6G0S","A, B","FD1","42","168"
