index, quantile, uniprot, number of domains, S over T mean
0, 6, P32789, 2, 0.1095
0, 6, Q99316, 2, 0.1099
0, 6, P53736, 1, 0.1103
0, 6, P25651, 1, 0.1105
0, 6, Q03735, 2, 0.1106
0, 6, Q12129, 1, 0.1107
0, 6, P40994, 1, 0.1108
0, 6, P50104, 1, 0.1113
0, 6, P54786, 1, 0.1118
0, 6, P36119, 2, 0.1126
0, 6, P40850, 3, 0.1126
0, 6, P53836, 2, 0.1131
0, 6, P36090, 1, 0.1136
0, 6, Q06679, 2, 0.1136
0, 6, P42945, 7, 0.1138
0, 6, Q12221, 2, 0.1152
0, 6, P29340, 1, 0.1153
0, 6, P43592, 1, 0.1153
0, 6, P21957, 1, 0.1155
0, 6, Q03083, 1, 0.1158
0, 6, P32787, 1, 0.1159
0, 6, P38285, 1, 0.1168
0, 6, P53276, 2, 0.1168
0, 6, P53327, 8, 0.1169
0, 6, Q02866, 2, 0.1171
0, 6, Q05498, 1, 0.1172
0, 6, P47054, 5, 0.1175
0, 6, Q12263, 3, 0.1175
0, 6, P37838, 2, 0.1177
0, 6, P40360, 2, 0.118
0, 6, P36083, 1, 0.1181
0, 6, P36093, 1, 0.1187
0, 6, P40362, 1, 0.1187
0, 6, P25588, 3, 0.119
0, 6, P47083, 1, 0.1191
0, 6, Q04305, 2, 0.1193
0, 6, P32828, 2, 0.1195
0, 6, P06700, 2, 0.1202
0, 6, P32389, 1, 0.1203
0, 6, P38151, 2, 0.1203
0, 6, P40055, 2, 0.1203
0, 6, Q05924, 2, 0.1203
0, 6, Q06078, 3, 0.1207
0, 6, P32491, 2, 0.1209
0, 6, Q06436, 2, 0.121
0, 6, P34241, 5, 0.1219
0, 6, P32330, 1, 0.1221
0, 6, P38632, 2, 0.1221
0, 6, P34078, 2, 0.1223
0, 6, P34761, 2, 0.1227
0, 6, P38295, 1, 0.1227
0, 6, P47175, 1, 0.1231
0, 6, P53075, 1, 0.1241
0, 6, P07248, 2, 0.1242
0, 6, P30619, 5, 0.1242
0, 6, P38882, 2, 0.1244
0, 6, Q01477, 2, 0.1245
0, 6, P39016, 1, 0.1246
0, 6, P40214, 2, 0.125
0, 6, P25087, 1, 0.1251
0, 6, Q02773, 4, 0.1251
0, 6, P09734, 1, 0.1252
0, 6, P53741, 1, 0.1252
0, 6, P30665, 3, 0.1254
0, 6, P34247, 1, 0.1258
0, 6, P20447, 2, 0.1265
0, 6, P33322, 1, 0.1269
0, 6, P40090, 2, 0.1269
0, 6, Q12136, 2, 0.1272
0, 6, P38798, 3, 0.1277
0, 6, Q08925, 3, 0.1278
0, 6, P53238, 1, 0.1284
0, 6, Q04867, 2, 0.1291
0, 6, P21268, 3, 0.1294
0, 6, P47030, 1, 0.1294
0, 6, Q12692, 1, 0.1298
0, 6, P53137, 1, 0.1301
0, 6, P25368, 1, 0.1302
0, 6, Q12505, 2, 0.1303
0, 6, P32490, 2, 0.1304
0, 6, P47086, 1, 0.1307
0, 6, P33750, 1, 0.1308
0, 6, P53118, 2, 0.1311
0, 6, P38748, 1, 0.1313
0, 6, P53894, 2, 0.1313
0, 6, Q03308, 3, 0.1313
0, 6, P29056, 2, 0.1317
0, 6, Q12043, 2, 0.1317
0, 6, P47912, 3, 0.132
0, 6, Q12113, 5, 0.1322
0, 6, Q12050, 3, 0.133
0, 6, Q04177, 2, 0.1331
0, 6, Q06630, 1, 0.1332
0, 6, P53941, 1, 0.1336
0, 6, P40328, 3, 0.1337
0, 6, Q03973, 1, 0.1337
0, 6, P40010, 2, 0.1338
0, 6, P39960, 4, 0.1348
0, 6, Q05022, 6, 0.1349
0, 6, Q12098, 1, 0.1349
0, 6, Q05541, 2, 0.1352
0, 6, P21339, 1, 0.1353
0, 6, P48412, 1, 0.1353
0, 6, P53297, 1, 0.1353
0, 6, Q02354, 2, 0.1357
0, 6, P42846, 2, 0.1358
0, 6, P39521, 2, 0.1359
0, 6, Q08237, 1, 0.136
0, 6, P38749, 1, 0.1361
0, 6, P25655, 8, 0.1363
0, 6, Q03661, 1, 0.1364
0, 6, P32606, 1, 0.1365
0, 6, P39990, 1, 0.1365
0, 6, Q04233, 2, 0.1366
0, 6, P43570, 2, 0.1382
0, 6, Q12472, 4, 0.1384
0, 6, P48361, 4, 0.1387
0, 6, P38213, 1, 0.1388
0, 6, P38835, 1, 0.1388
0, 6, P16892, 1, 0.1391
0, 6, P07253, 1, 0.1393
0, 6, P32419, 2, 0.1398
0, 6, P36165, 1, 0.14
0, 6, P38719, 2, 0.1401
0, 6, P36009, 3, 0.1402
0, 6, P47130, 1, 0.1404
0, 6, Q07843, 1, 0.1405
0, 6, P48524, 2, 0.1408
0, 6, P38112, 3, 0.1409
0, 6, Q12159, 1, 0.1409
0, 6, P53096, 1, 0.141
0, 6, P38828, 1, 0.1415
0, 6, Q99207, 1, 0.1415
0, 6, Q06512, 2, 0.1418
0, 6, P23796, 2, 0.1419
0, 6, P47108, 3, 0.1419
0, 6, Q06836, 3, 0.1419
0, 6, P32849, 6, 0.1427
0, 6, Q02831, 1, 0.1427
0, 6, Q08965, 3, 0.143
0, 6, P23250, 1, 0.1433
0, 6, P38089, 1, 0.1434
0, 6, Q01722, 1, 0.1435
0, 6, P33314, 5, 0.1438
0, 6, P53397, 1, 0.1442
0, 6, P35209, 1, 0.1443
0, 6, P53280, 4, 0.1443
0, 6, Q08235, 1, 0.1447
0, 6, P06100, 1, 0.1449
0, 6, P05744, 1, 0.1455
0, 6, P12954, 4, 0.1458
0, 6, Q12152, 1, 0.1458
0, 6, P32525, 2, 0.1459
0, 6, P27895, 4, 0.1462
0, 6, P38041, 1, 0.1462
0, 6, Q03177, 2, 0.147
0, 6, Q12030, 1, 0.1471
0, 6, P25635, 3, 0.1473
0, 6, P40962, 1, 0.1477
0, 6, P35194, 7, 0.1479
0, 6, Q12176, 2, 0.1479
0, 6, P33122, 1, 0.148
0, 6, P38070, 2, 0.1482
0, 6, P38694, 2, 0.1482
0, 6, P09798, 2, 0.1483
0, 6, Q04693, 4, 0.1483
0, 6, P22204, 1, 0.1484
0, 6, P28625, 2, 0.1484
0, 6, Q12339, 1, 0.1488
0, 6, P07276, 3, 0.1491
0, 6, Q06834, 1, 0.1492
0, 6, P38814, 2, 0.1494
0, 6, Q04002, 5, 0.1494
0, 6, Q12749, 5, 0.1497
0, 6, P15938, 3, 0.1498
0, 6, P53914, 4, 0.1498
0, 6, P13382, 5, 0.1504
0, 6, P34909, 2, 0.1504
0, 6, Q06698, 7, 0.1504
0, 6, P02557, 1, 0.1507
0, 6, P25339, 1, 0.1507
0, 6, P53829, 1, 0.1508
0, 6, P53313, 2, 0.1509
0, 6, P42223, 1, 0.1513
0, 6, P11978, 1, 0.1516
0, 6, P47128, 1, 0.1518
0, 6, P32354, 2, 0.1519
0, 6, Q08562, 5, 0.1519
0, 6, Q06506, 1, 0.1522
0, 6, P39998, 1, 0.1523
0, 6, Q05027, 1, 0.1524
0, 6, P11433, 3, 0.1525
0, 6, Q12035, 1, 0.1532
0, 6, P32495, 1, 0.1535
0, 6, Q03559, 1, 0.1535
0, 6, P38839, 1, 0.1536
0, 6, P13433, 5, 0.1537
0, 6, P43124, 2, 0.1539
0, 6, Q03441, 1, 0.1541
0, 6, Q01389, 3, 0.1542
0, 6, P11972, 2, 0.1544
0, 6, P48562, 3, 0.1544
0, 6, P40457, 4, 0.1545
0, 6, P38876, 1, 0.1547
0, 6, Q03761, 1, 0.1548
0, 6, P03874, 4, 0.155
0, 6, P53254, 4, 0.155
0, 6, P53927, 1, 0.155
0, 6, P32562, 3, 0.1551
0, 6, Q99314, 1, 0.1551
0, 6, P53032, 1, 0.1554
0, 6, Q08492, 1, 0.1554
0, 6, P36144, 1, 0.1556
0, 6, P47148, 1, 0.1558
0, 6, P49956, 3, 0.1558
0, 6, Q03900, 2, 0.1561
0, 6, P39744, 2, 0.1564
0, 6, Q12090, 1, 0.1564
0, 6, P18759, 3, 0.1569
0, 6, Q07897, 1, 0.157
0, 6, P36049, 3, 0.1571
0, 6, P38241, 1, 0.1571
0, 6, P06102, 3, 0.1572
0, 6, P06843, 1, 0.1572
0, 6, P25345, 2, 0.1572
0, 6, Q03758, 4, 0.1572
0, 6, P53316, 3, 0.1573
0, 6, Q07913, 2, 0.1573
0, 6, P36012, 1, 0.1574
0, 6, P41695, 2, 0.1575
0, 6, P47077, 2, 0.1575
0, 6, P15992, 1, 0.1579
0, 6, P25370, 2, 0.1582
0, 6, P40466, 2, 0.1583
0, 6, P53070, 4, 0.1583
0, 6, P07866, 3, 0.1587
0, 6, Q05892, 1, 0.1587
0, 6, Q04511, 1, 0.159
0, 6, P38970, 2, 0.1593
0, 6, Q12157, 1, 0.1593
0, 6, P22209, 1, 0.1595
0, 6, Q08204, 3, 0.1595
0, 6, P53166, 2, 0.1598
0, 6, Q05021, 1, 0.1599
0, 6, P15801, 3, 0.1603
0, 6, P53734, 2, 0.1603
0, 6, Q12754, 3, 0.1603
0, 6, P19736, 2, 0.1604
0, 6, P31384, 2, 0.1604
0, 6, Q12404, 2, 0.1604
0, 6, P47135, 2, 0.1605
0, 6, Q05946, 3, 0.1606
0, 6, Q06132, 2, 0.1608
0, 6, P17119, 2, 0.161
0, 6, P25586, 1, 0.1611
0, 6, P53336, 2, 0.1612
0, 6, Q12080, 1, 0.1614
0, 6, P53599, 6, 0.1615
0, 6, P10962, 1, 0.1616
0, 6, P38630, 4, 0.1616
0, 6, Q06091, 1, 0.1616
0, 6, Q12229, 2, 0.1616
0, 6, Q03981, 1, 0.1617
0, 6, P38086, 2, 0.1618
0, 6, Q12259, 2, 0.1619
0, 6, P38080, 1, 0.162
0, 6, Q02555, 1, 0.162
0, 6, P39985, 3, 0.1621
0, 6, P40050, 2, 0.1623
0, 6, P32526, 2, 0.1624
0, 6, P15424, 2, 0.1628
0, 6, P38283, 1, 0.1629
0, 6, P24384, 4, 0.163
0, 6, P22035, 1, 0.1631
0, 6, P23293, 2, 0.1631
0, 6, P39523, 1, 0.1631
0, 6, P38163, 2, 0.1636
0, 6, P38920, 3, 0.1636
0, 6, P32801, 1, 0.1637
0, 18, P53091, 4, 0.1638
0, 18, Q06108, 4, 0.1638
0, 18, P39936, 1, 0.164
0, 18, P32388, 1, 0.1642
0, 18, P38629, 2, 0.1642
0, 18, Q04031, 1, 0.1643
0, 18, P38931, 3, 0.1644
0, 18, P40525, 1, 0.1648
0, 18, Q03532, 2, 0.1648
0, 18, P25303, 2, 0.1649
0, 18, Q04925, 1, 0.165
0, 18, P42944, 1, 0.1651
0, 18, P05748, 1, 0.1654
0, 18, P06634, 2, 0.1655
0, 18, P25567, 1, 0.1656
0, 18, P53326, 2, 0.1659
0, 18, P25808, 2, 0.1661
0, 18, Q03466, 1, 0.1661
0, 18, P35725, 1, 0.1663
0, 18, P38251, 2, 0.1663
0, 18, Q08957, 1, 0.1667
0, 18, P06778, 1, 0.1669
0, 18, P45818, 2, 0.167
0, 18, P21304, 2, 0.1671
0, 18, P38129, 3, 0.1671
0, 18, P38177, 1, 0.1671
0, 18, P39008, 1, 0.1671
0, 18, P46674, 2, 0.1671
0, 18, Q12034, 1, 0.1671
0, 18, P06844, 1, 0.1673
0, 18, P32797, 4, 0.1673
0, 18, P35178, 1, 0.1673
0, 18, P53971, 2, 0.1673
0, 18, P33329, 1, 0.1674
0, 18, P39967, 3, 0.1675
0, 18, Q12107, 1, 0.1677
0, 18, P19880, 1, 0.1678
0, 18, Q12194, 2, 0.1679
0, 18, P14681, 1, 0.168
0, 18, P49955, 3, 0.168
0, 18, P46677, 2, 0.1681
0, 18, P19541, 1, 0.1682
0, 18, Q08683, 3, 0.1682
0, 18, Q02979, 5, 0.1683
0, 18, P20095, 4, 0.1684
0, 18, P43603, 1, 0.1684
0, 18, Q05580, 2, 0.1688
0, 18, P39955, 2, 0.1692
0, 18, Q05854, 1, 0.1692
0, 18, P27344, 1, 0.1693
0, 18, Q12151, 1, 0.1694
0, 18, Q08208, 1, 0.1695
0, 18, P09950, 2, 0.1696
0, 18, P22470, 1, 0.1696
0, 18, P32644, 4, 0.1696
0, 18, P25337, 1, 0.1697
0, 18, P21374, 1, 0.1698
0, 18, P32893, 3, 0.17
0, 18, P39081, 1, 0.17
0, 18, P47029, 2, 0.17
0, 18, P26570, 1, 0.1701
0, 18, Q08206, 1, 0.1701
0, 18, Q04500, 2, 0.1703
0, 18, Q99181, 1, 0.1704
0, 18, P32048, 2, 0.1706
0, 18, Q06707, 1, 0.1708
0, 18, P33200, 3, 0.1709
0, 18, Q12387, 2, 0.1709
0, 18, P14737, 2, 0.171
0, 18, P41697, 3, 0.171
0, 18, P53886, 4, 0.1711
0, 18, Q08817, 3, 0.1711
0, 18, P09733, 1, 0.1712
0, 18, Q08774, 1, 0.1716
0, 18, Q08622, 2, 0.1717
0, 18, Q06835, 1, 0.1718
0, 18, P32492, 4, 0.1719
0, 18, Q04217, 4, 0.172
0, 18, P53272, 1, 0.1721
0, 18, Q05871, 1, 0.1721
0, 18, Q12220, 3, 0.1721
0, 18, P38200, 1, 0.1723
0, 18, P43572, 1, 0.1723
0, 18, P53899, 1, 0.1724
0, 18, Q07350, 1, 0.1724
0, 18, P47015, 2, 0.1726
0, 18, P46675, 2, 0.1727
0, 18, Q06673, 3, 0.1727
0, 18, Q06632, 4, 0.1728
0, 18, P38712, 2, 0.1729
0, 18, Q08096, 2, 0.1729
0, 18, P23255, 3, 0.173
0, 18, P26786, 1, 0.173
0, 18, P47167, 2, 0.1731
0, 18, P35731, 1, 0.1732
0, 18, P38961, 1, 0.1733
0, 18, P53972, 3, 0.1734
0, 18, Q12196, 2, 0.1734
0, 18, Q12276, 2, 0.1734
0, 18, P32657, 5, 0.1735
0, 18, P47134, 2, 0.1735
0, 18, Q03407, 3, 0.1736
0, 18, Q04087, 1, 0.1738
0, 18, Q08886, 4, 0.1738
0, 18, P20457, 2, 0.1739
0, 18, P50109, 1, 0.1741
0, 18, P50896, 2, 0.1742
0, 18, P32493, 2, 0.1743
0, 18, P32896, 1, 0.1743
0, 18, Q08954, 1, 0.1743
0, 18, P32607, 1, 0.1744
0, 18, P36120, 3, 0.1744
0, 18, P40340, 3, 0.1745
0, 18, Q12124, 1, 0.1745
0, 18, P53550, 1, 0.1747
0, 18, P22147, 5, 0.175
0, 18, Q03782, 2, 0.1751
0, 18, Q04183, 7, 0.1751
0, 18, P53009, 2, 0.1752
0, 18, P24482, 3, 0.1753
0, 18, P53865, 3, 0.1753
0, 18, P40963, 1, 0.1754
0, 18, Q06109, 2, 0.1757
0, 18, P20134, 2, 0.1758
0, 18, Q08649, 1, 0.1758
0, 18, P40348, 1, 0.1759
0, 18, Q12272, 1, 0.1759
0, 18, Q03654, 4, 0.176
0, 18, P40858, 1, 0.1761
0, 18, P42073, 1, 0.1761
0, 18, P38111, 7, 0.1762
0, 18, P35688, 4, 0.1765
0, 18, P12887, 1, 0.177
0, 18, P40498, 2, 0.177
0, 18, Q99247, 4, 0.177
0, 18, P40693, 1, 0.1771
0, 18, Q04461, 1, 0.1771
0, 18, Q00416, 6, 0.1772
0, 18, P35203, 2, 0.1773
0, 18, P53040, 2, 0.1775
0, 18, Q07442, 2, 0.1775
0, 18, P41903, 1, 0.1777
0, 18, P38333, 1, 0.1779
0, 18, Q06678, 2, 0.178
0, 18, P40470, 1, 0.1784
0, 18, P14908, 1, 0.1785
0, 18, P40971, 2, 0.1786
0, 18, Q12502, 2, 0.1787
0, 18, P38140, 2, 0.1789
0, 18, P25333, 2, 0.179
0, 18, Q08032, 4, 0.179
0, 18, P40450, 5, 0.1791
0, 18, P23561, 3, 0.1794
0, 18, Q03718, 3, 0.1795
0, 18, P53201, 3, 0.1796
0, 18, Q03750, 2, 0.1798
0, 18, P32573, 1, 0.18
0, 18, Q12432, 2, 0.18
0, 18, P23643, 3, 0.1801
0, 18, P38806, 1, 0.1801
0, 18, P43563, 1, 0.1801
0, 18, P53840, 3, 0.1801
0, 18, Q03823, 4, 0.1803
0, 18, P50874, 3, 0.1804
0, 18, P25443, 1, 0.1805
0, 18, P32785, 2, 0.1805
0, 18, P53131, 4, 0.1806
0, 18, P32873, 2, 0.1808
0, 18, Q05942, 1, 0.181
0, 18, Q12389, 2, 0.181
0, 18, Q06266, 2, 0.1812
0, 18, P47112, 3, 0.1814
0, 18, Q03722, 1, 0.1814
0, 18, P36113, 1, 0.1816
0, 18, P54780, 1, 0.1816
0, 18, P38068, 1, 0.1817
0, 18, P24583, 4, 0.1818
0, 18, Q03660, 7, 0.1818
0, 18, Q07915, 1, 0.1819
0, 18, P40013, 2, 0.182
0, 18, P25558, 2, 0.1822
0, 18, Q07844, 5, 0.1822
0, 18, Q06504, 1, 0.1823
0, 18, Q08685, 2, 0.1823
0, 18, P46995, 1, 0.1824
0, 18, Q05530, 1, 0.1825
0, 18, Q12297, 2, 0.1826
0, 18, P36105, 1, 0.1827
0, 18, P39516, 1, 0.1827
0, 18, P39945, 2, 0.1827
0, 18, Q04660, 2, 0.1827
0, 18, P15442, 6, 0.1828
0, 18, P38823, 1, 0.1828
0, 18, Q12179, 2, 0.1831
0, 18, P47129, 1, 0.1832
0, 18, P25644, 2, 0.1833
0, 18, Q06218, 2, 0.1833
0, 18, Q12099, 2, 0.1833
0, 18, P32874, 8, 0.1835
0, 18, P51862, 3, 0.1835
0, 18, Q12379, 1, 0.1835
0, 18, P06786, 5, 0.1836
0, 18, P0C2J4, 1, 0.1836
0, 18, Q12751, 4, 0.1836
0, 18, P25299, 1, 0.1837
0, 18, P46990, 1, 0.1838
0, 18, P53917, 2, 0.1841
0, 18, P08153, 1, 0.1842
0, 18, P36068, 1, 0.1844
0, 18, P39729, 1, 0.1848
0, 18, P43586, 1, 0.1848
0, 18, Q12334, 1, 0.1848
0, 18, P36004, 2, 0.185
0, 18, Q06245, 4, 0.1851
0, 18, P32336, 1, 0.1852
0, 18, P39682, 2, 0.1852
0, 18, P39931, 1, 0.1853
0, 18, P39702, 4, 0.1856
0, 18, P21951, 11, 0.1857
0, 18, P19524, 6, 0.1858
0, 18, P32328, 1, 0.1858
0, 18, P35177, 4, 0.1858
0, 18, Q08119, 3, 0.1859
0, 18, Q12236, 2, 0.1862
0, 18, P10849, 1, 0.1863
0, 18, P89102, 4, 0.1863
0, 18, P36143, 1, 0.1865
0, 18, P43573, 2, 0.1866
0, 18, Q02772, 1, 0.1867
0, 18, P36528, 1, 0.1868
0, 18, P40449, 1, 0.1868
0, 18, Q03957, 1, 0.187
0, 18, P35732, 1, 0.1872
0, 18, P40206, 1, 0.1872
0, 18, P04147, 1, 0.1874
0, 18, P07703, 1, 0.1874
0, 18, P39083, 2, 0.1874
0, 18, P53088, 1, 0.1874
0, 18, P32786, 2, 0.1875
0, 18, Q04922, 1, 0.1875
0, 18, Q99216, 1, 0.1875
0, 18, P32770, 2, 0.1878
0, 18, Q12143, 2, 0.1881
0, 18, Q03214, 7, 0.1882
0, 18, P12385, 3, 0.1884
0, 18, P39678, 3, 0.1884
0, 18, P38883, 2, 0.1885
0, 18, P53913, 1, 0.1885
0, 18, P38994, 1, 0.1887
0, 18, P40453, 4, 0.1888
0, 18, P39994, 3, 0.1889
0, 18, P36152, 1, 0.189
0, 18, P38691, 1, 0.1893
0, 18, P17121, 2, 0.1894
0, 18, P36516, 1, 0.1895
0, 18, Q03503, 1, 0.1895
0, 18, Q06639, 1, 0.1897
0, 18, P05066, 3, 0.1899
0, 18, P33895, 1, 0.19
0, 18, Q06211, 3, 0.19
0, 18, P22276, 7, 0.1901
0, 18, P36146, 2, 0.1902
0, 18, Q04740, 1, 0.1902
0, 18, P38959, 2, 0.1904
0, 18, P39717, 3, 0.1905
0, 18, P46962, 2, 0.1905
0, 18, P39732, 1, 0.1906
0, 18, P32478, 1, 0.1907
0, 18, P53877, 1, 0.1907
0, 18, P25648, 4, 0.1908
0, 18, P32863, 2, 0.1909
0, 18, P33400, 3, 0.1909
0, 18, P50105, 1, 0.1909
0, 18, P36523, 1, 0.191
0, 18, P38349, 1, 0.191
0, 18, Q06106, 2, 0.191
0, 18, Q08226, 3, 0.191
0, 18, Q06188, 2, 0.1911
0, 18, P17065, 1, 0.1912
0, 18, Q04373, 1, 0.1913
0, 18, P32351, 1, 0.1917
0, 18, P40091, 3, 0.1919
0, 18, Q03825, 2, 0.1919
0, 18, P32634, 4, 0.1921
0, 18, P53437, 1, 0.1921
0, 18, Q04659, 1, 0.1921
0, 18, P36013, 3, 0.1922
0, 18, P25302, 3, 0.1924
0, 18, P43556, 3, 0.1924
0, 18, Q03388, 2, 0.1926
0, 18, P09959, 3, 0.1927
0, 18, Q04225, 1, 0.1927
0, 18, Q12247, 1, 0.1927
0, 18, P46963, 1, 0.1929
0, 18, P11325, 4, 0.193
0, 18, P40151, 2, 0.193
0, 18, P40339, 1, 0.193
0, 18, P47822, 1, 0.1931
0, 18, P32905, 1, 0.1932
0, 18, P25270, 1, 0.1933
0, 18, P25364, 1, 0.1933
0, 18, P20436, 1, 0.1934
0, 18, P14242, 3, 0.1935
0, 18, Q04772, 1, 0.1935
0, 18, P20448, 2, 0.1937
0, 18, P36002, 2, 0.1937
0, 18, P47037, 6, 0.1937
0, 18, P38826, 2, 0.1938
0, 18, Q06224, 3, 0.1939
0, 18, Q12438, 1, 0.1939
0, 18, Q06337, 3, 0.194
0, 18, P38261, 2, 0.1941
0, 18, P22138, 8, 0.1942
0, 18, P40480, 3, 0.1943
0, 18, P38863, 3, 0.1944
0, 18, P38042, 2, 0.1948
0, 18, P53901, 1, 0.1948
0, 18, P50089, 2, 0.195
0, 18, Q04003, 2, 0.195
0, 18, P38167, 2, 0.1954
0, 18, P14063, 1, 0.1955
0, 18, P39073, 1, 0.1955
0, 18, P53686, 1, 0.1955
0, 18, Q99257, 2, 0.1955
0, 18, P40507, 1, 0.1957
0, 18, Q05958, 2, 0.1957
0, 18, Q12514, 3, 0.1957
0, 18, P40493, 1, 0.1958
0, 18, Q05471, 5, 0.1959
0, 18, P39995, 2, 0.196
0, 18, P32317, 2, 0.1961
0, 18, P40960, 1, 0.1962
0, 18, Q12223, 1, 0.1964
0, 18, Q06287, 1, 0.1965
0, 18, Q12049, 1, 0.1965
0, 18, P24276, 3, 0.1966
0, 18, Q06407, 2, 0.1967
0, 18, Q12244, 2, 0.1967
0, 18, P48525, 2, 0.1968
0, 18, Q12453, 2, 0.1968
0, 18, P06777, 4, 0.1969
0, 18, P36117, 2, 0.1971
0, 18, P53743, 2, 0.1971
0, 18, P50111, 2, 0.1972
0, 18, Q03330, 2, 0.1972
0, 18, P08638, 2, 0.1973
0, 18, P32259, 3, 0.1973
0, 18, P38934, 2, 0.1973
0, 18, P53202, 4, 0.1974
0, 18, P20795, 4, 0.1975
0, 18, Q06631, 1, 0.1975
0, 18, P53742, 2, 0.1977
0, 18, P39731, 1, 0.1978
0, 18, P48566, 3, 0.1978
0, 18, P19658, 3, 0.198
0, 18, P25038, 4, 0.198
0, 18, P53252, 1, 0.198
0, 18, Q06705, 2, 0.1982
0, 18, P38222, 2, 0.1983
0, 18, Q08818, 2, 0.1983
0, 18, Q07872, 1, 0.1985
0, 30, P38236, 1, 0.199
0, 30, P18634, 2, 0.1991
0, 30, Q12517, 1, 0.1991
0, 30, P39517, 2, 0.1994
0, 30, P23394, 2, 0.1996
0, 30, P39969, 2, 0.1996
0, 30, P40048, 3, 0.1997
0, 30, P47050, 3, 0.1999
0, 30, Q06680, 3, 0.1999
0, 30, P39529, 2, 0.2001
0, 30, P40052, 1, 0.2002
0, 30, P40513, 1, 0.2003
0, 30, Q12487, 1, 0.2004
0, 30, P53178, 1, 0.2005
0, 30, P38781, 1, 0.2007
0, 30, P39935, 1, 0.2007
0, 30, Q03071, 1, 0.2007
0, 30, Q07979, 1, 0.2007
0, 30, P36167, 1, 0.2008
0, 30, P37304, 1, 0.2008
0, 30, Q07508, 2, 0.2008
0, 30, P36048, 4, 0.2012
0, 30, Q04600, 3, 0.2012
0, 30, Q07825, 3, 0.2014
0, 30, Q04048, 3, 0.2017
0, 30, P38199, 2, 0.2019
0, 30, P25298, 2, 0.202
0, 30, P32832, 2, 0.2021
0, 30, P38803, 1, 0.2021
0, 30, P50875, 2, 0.2021
0, 30, Q03246, 1, 0.2021
0, 30, P40494, 1, 0.2022
0, 30, P42841, 1, 0.2022
0, 30, Q07963, 5, 0.2022
0, 30, Q12343, 1, 0.2023
0, 30, P39944, 4, 0.2025
0, 30, Q05040, 2, 0.2025
0, 30, Q12417, 2, 0.2026
0, 30, P39940, 4, 0.2028
0, 30, P53136, 1, 0.2028
0, 30, P54791, 3, 0.2028
0, 30, P25357, 1, 0.203
0, 30, P25617, 1, 0.203
