### DATA:
#
# 1249
#      Q             I(Q)           Error     
3.19160739E-02  4.62625933E-05  5.58744131E-07
3.22036001E-02  4.49215324E-05  5.62891792E-07
3.24911261E-02  4.52360151E-05  5.62911117E-07
3.27786520E-02  4.52248924E-05  5.52640065E-07
3.30661777E-02  4.39826622E-05  5.64494692E-07
3.33537032E-02  4.43545020E-05  5.50846001E-07
3.36412285E-02  4.40828207E-05  5.50051265E-07
3.39287537E-02  4.39873755E-05  5.43982633E-07
3.42162787E-02  4.46266567E-05  5.56173714E-07
3.45038036E-02  4.39546700E-05  5.56110621E-07
3.47913282E-02  4.24433374E-05  5.41124803E-07
3.50788527E-02  4.23679144E-05  5.37813889E-07
3.53663771E-02  4.20282331E-05  5.38679699E-07
3.56539012E-02  4.12243378E-05  5.42316894E-07
3.59414251E-02  4.36659840E-05  5.30534503E-07
3.62289489E-02  4.19130591E-05  5.28801149E-07
3.65164725E-02  4.17558915E-05  5.45836385E-07
3.68039959E-02  4.11929130E-05  5.26209695E-07
3.70915192E-02  4.10098797E-05  5.31028119E-07
3.73790422E-02  4.01514798E-05  5.06646732E-07
3.76665651E-02  3.98163176E-05  5.08340313E-07
3.79540877E-02  3.90182761E-05  5.16057689E-07
3.82416102E-02  3.92331822E-05  5.07770853E-07
3.85291325E-02  3.88717319E-05  5.15837606E-07
3.88166546E-02  3.86589379E-05  5.09899248E-07
3.91041764E-02  3.93920406E-05  5.15993503E-07
3.93916981E-02  3.84376990E-05  5.11698306E-07
3.96792196E-02  3.93615839E-05  5.02952636E-07
3.99667409E-02  3.86438464E-05  5.04131223E-07
4.02542620E-02  3.71985091E-05  5.01302842E-07
4.05417829E-02  3.71787869E-05  5.08946439E-07
4.08293036E-02  3.80763337E-05  4.93807060E-07
4.11168241E-02  3.75716524E-05  4.96856762E-07
4.14043444E-02  3.65842240E-05  5.01480390E-07
4.16918644E-02  3.63272335E-05  4.97376386E-07
4.19793843E-02  3.61654842E-05  4.92426480E-07
4.22669039E-02  3.58729025E-05  4.83084314E-07
4.25544234E-02  3.64824817E-05  4.90706743E-07
4.28419426E-02  3.42467754E-05  4.91608334E-07
4.31294616E-02  3.57151938E-05  4.88263875E-07
4.34169804E-02  3.50597960E-05  4.79145711E-07
4.37044990E-02  3.41967774E-05  4.76856362E-07
4.39920173E-02  3.46308599E-05  4.73939946E-07
4.42795354E-02  3.38128537E-05  4.68053053E-07
4.45670534E-02  3.42811486E-05  4.72326301E-07
4.48545710E-02  3.45523677E-05  4.90383059E-07
4.51420885E-02  3.43523123E-05  4.90391633E-07
4.54296057E-02  3.36693093E-05  4.98309640E-07
4.57171227E-02  3.39043128E-05  4.88413326E-07
4.60046395E-02  3.33988365E-05  5.06920435E-07
4.62921560E-02  3.42980723E-05  5.06458418E-07
4.65796723E-02  3.36594243E-05  5.10891573E-07
4.68671884E-02  3.36017780E-05  5.11033189E-07
4.71547042E-02  3.35153445E-05  5.00773055E-07
4.74422198E-02  3.28193935E-05  5.24469299E-07
4.77297352E-02  3.16846641E-05  5.07676652E-07
4.80172503E-02  3.26822269E-05  5.10651094E-07
4.83047652E-02  3.15475512E-05  5.01440422E-07
4.85922798E-02  3.25964745E-05  5.03078886E-07
4.88797942E-02  3.25146790E-05  5.19148433E-07
4.91673084E-02  3.17745420E-05  5.02820308E-07
4.94548223E-02  3.05587078E-05  4.96447857E-07
4.97423359E-02  3.09721382E-05  5.14178334E-07
5.00298493E-02  3.13042322E-05  4.98762059E-07
5.03173625E-02  3.02243542E-05  5.12110827E-07
5.06048754E-02  3.13167835E-05  4.95643071E-07
5.08923880E-02  3.09878217E-05  5.00051219E-07
5.11799004E-02  3.07795235E-05  5.08703012E-07
5.14674125E-02  2.96174427E-05  5.00531223E-07
5.17549244E-02  2.93782101E-05  5.10015963E-07
5.20424360E-02  3.00513697E-05  4.95976578E-07
5.23299474E-02  2.91498133E-05  4.98816123E-07
5.26174584E-02  2.79100210E-05  4.90683004E-07
5.29049693E-02  2.92736497E-05  4.86314636E-07
5.31924798E-02  2.80310266E-05  5.01723382E-07
5.34799901E-02  2.85909163E-05  4.88238729E-07
5.37675001E-02  2.85928246E-05  4.99512977E-07
5.40550099E-02  2.84846755E-05  4.92956799E-07
5.43425193E-02  2.96931072E-05  4.94516953E-07
5.46300285E-02  2.68572204E-05  4.96985906E-07
5.49175375E-02  2.80097783E-05  4.70626057E-07
5.52050461E-02  2.66888208E-05  4.84112246E-07
5.54925545E-02  2.69252824E-05  4.79899378E-07
5.57800626E-02  2.76993743E-05  4.85615426E-07
5.60675704E-02  2.67013865E-05  4.82785648E-07
5.63550779E-02  2.63944211E-05  4.86732202E-07
5.66425852E-02  2.57839538E-05  4.93294497E-07
5.69300921E-02  2.60043413E-05  4.81795278E-07
5.72175988E-02  2.59619019E-05  4.88155995E-07
5.75051052E-02  2.58116738E-05  4.92215001E-07
5.77926113E-02  2.53173701E-05  4.70575301E-07
5.80801171E-02  2.57729521E-05  4.83950384E-07
5.83676226E-02  2.47585320E-05  4.78078257E-07
5.86551278E-02  2.53701523E-05  4.91676152E-07
5.89426328E-02  2.45457105E-05  4.82942480E-07
5.92301374E-02  2.53283844E-05  4.74309991E-07
5.95176417E-02  2.45929174E-05  4.76762716E-07
5.98051458E-02  2.43958940E-05  4.69508261E-07
6.00926495E-02  2.39535218E-05  4.83623894E-07
6.03801529E-02  2.40760915E-05  4.68850052E-07
6.06676561E-02  2.34904961E-05  4.72335324E-07
6.09551589E-02  2.32148012E-05  4.72601282E-07
6.12426614E-02  2.34943124E-05  4.81173085E-07
6.15301636E-02  2.40841776E-05  4.79463295E-07
6.18176655E-02  2.19975901E-05  4.67402205E-07
6.21051671E-02  2.19939313E-05  4.68124928E-07
6.23926684E-02  2.28865722E-05  4.72412340E-07
6.26801693E-02  2.31891130E-05  4.77755645E-07
6.29676700E-02  2.25324013E-05  4.68729618E-07
6.32551703E-02  2.21531984E-05  4.74237958E-07
6.35426703E-02  2.20833694E-05  4.71288796E-07
6.38301700E-02  2.18355900E-05  4.60010725E-07
6.41176694E-02  2.20911503E-05  4.64937880E-07
6.44051684E-02  2.12616474E-05  4.58208806E-07
6.46926671E-02  2.10735076E-05  4.76136545E-07
6.49801655E-02  2.07869892E-05  4.61739438E-07
6.52676636E-02  2.04832681E-05  4.50753034E-07
6.55551614E-02  2.08916294E-05  4.67842694E-07
6.58426588E-02  2.03506181E-05  4.53373567E-07
6.61301559E-02  2.10753347E-05  4.63683729E-07
6.64176526E-02  1.99605263E-05  4.56713108E-07
6.67051490E-02  2.07699527E-05  4.51099991E-07
6.69926451E-02  1.99947140E-05  4.61990941E-07
6.72801409E-02  2.05073637E-05  4.55152341E-07
6.75676363E-02  2.00821576E-05  4.57720725E-07
6.78551313E-02  2.00996171E-05  4.55056176E-07
6.81426261E-02  1.97799126E-05  4.53722525E-07
6.84301204E-02  1.97171504E-05  4.61266853E-07
6.87176145E-02  1.96586807E-05  4.47542083E-07
6.90051082E-02  1.83144804E-05  4.53995401E-07
6.92926015E-02  1.94189920E-05  4.47167283E-07
6.95800945E-02  1.96437476E-05  4.48712996E-07
6.98675872E-02  1.94573008E-05  4.57823450E-07
7.01550794E-02  1.92220493E-05  4.42367050E-07
7.04425714E-02  1.89663876E-05  4.49513069E-07
7.07300630E-02  1.75426000E-05  4.51133128E-07
7.10175542E-02  1.84872637E-05  4.47059883E-07
7.13050451E-02  1.87935871E-05  4.45701801E-07
7.15925356E-02  1.85502835E-05  4.43210957E-07
7.18800258E-02  1.85918636E-05  4.49485907E-07
7.21675156E-02  1.81774225E-05  4.50980069E-07
7.24550050E-02  1.69562787E-05  4.56654352E-07
7.27424941E-02  1.80644317E-05  4.61926007E-07
7.30299828E-02  1.75711238E-05  4.70270591E-07
7.33174711E-02  1.69429199E-05  4.81300251E-07
7.36049591E-02  1.72749263E-05  4.80605436E-07
7.38924467E-02  1.75590454E-05  4.81550840E-07
7.41799339E-02  1.64435196E-05  4.87067750E-07
7.44674207E-02  1.70798439E-05  4.85465392E-07
7.47549072E-02  1.74184218E-05  4.85980438E-07
7.50423933E-02  1.71322060E-05  4.80862984E-07
7.53298790E-02  1.71905486E-05  4.86001823E-07
7.56173644E-02  1.63575851E-05  4.88421582E-07
7.59048494E-02  1.56947648E-05  4.88533158E-07
7.61923339E-02  1.55600397E-05  4.90104222E-07
7.64798181E-02  1.62377309E-05  4.90468286E-07
7.67673020E-02  1.65258693E-05  4.99022562E-07
7.70547854E-02  1.58658081E-05  4.92115206E-07
7.73422684E-02  1.53655970E-05  4.71812578E-07
7.76297511E-02  1.57110444E-05  4.53242747E-07
7.79172333E-02  1.52913984E-05  4.64061888E-07
7.82047152E-02  1.63842173E-05  4.58307436E-07
7.84921967E-02  1.54583761E-05  4.45734897E-07
7.87796778E-02  1.52382937E-05  4.44032115E-07
7.90671585E-02  1.54531636E-05  4.45414554E-07
7.93546387E-02  1.44911943E-05  4.42040357E-07
7.96421186E-02  1.53375381E-05  4.44715764E-07
7.99295981E-02  1.48883532E-05  4.38816999E-07
8.02170772E-02  1.48046606E-05  4.44163308E-07
8.05045559E-02  1.45870129E-05  4.33121973E-07
8.07920342E-02  1.38374544E-05  4.45050183E-07
8.10795121E-02  1.41547677E-05  4.33417826E-07
8.13669895E-02  1.40709360E-05  4.37916428E-07
8.16544666E-02  1.45708143E-05  4.34371025E-07
8.19419432E-02  1.38783488E-05  4.29623381E-07
8.22294195E-02  1.39800455E-05  4.36752186E-07
8.25168953E-02  1.36479196E-05  4.34192432E-07
8.28043707E-02  1.30574252E-05  4.37350938E-07
8.30918457E-02  1.32647125E-05  4.37710121E-07
8.33793202E-02  1.30372242E-05  4.28472395E-07
8.36667944E-02  1.29820579E-05  4.31675628E-07
8.39542681E-02  1.29534143E-05  4.26693999E-07
8.42417414E-02  1.25560966E-05  4.28608825E-07
8.45292143E-02  1.26987909E-05  4.31765940E-07
8.48166868E-02  1.32171556E-05  4.22706276E-07
8.51041588E-02  1.28456835E-05  4.27999151E-07
8.53916304E-02  1.23337963E-05  4.28839948E-07
8.56791016E-02  1.26793027E-05  4.21782113E-07
8.59665723E-02  1.20976485E-05  4.23165774E-07
8.62540427E-02  1.24865655E-05  4.22192923E-07
8.65415125E-02  1.26093531E-05  4.24108496E-07
8.68289820E-02  1.22308571E-05  4.20390624E-07
8.71164510E-02  1.20281200E-05  4.26229954E-07
8.74039196E-02  1.27438116E-05  4.17994296E-07
8.76913877E-02  1.17675183E-05  4.21804196E-07
8.79788554E-02  1.21531556E-05  4.19002970E-07
8.82663226E-02  1.19582040E-05  4.15546246E-07
8.85537894E-02  1.13483670E-05  4.12335182E-07
8.88412558E-02  1.21994237E-05  4.13328259E-07
8.91287217E-02  1.15105273E-05  4.19113103E-07
8.94161872E-02  1.14408939E-05  4.18230977E-07
8.97036522E-02  1.24387714E-05  4.06356089E-07
8.99911167E-02  1.16753222E-05  4.10113743E-07
9.02785809E-02  1.11235970E-05  4.03091547E-07
9.05660445E-02  1.14491860E-05  4.09444287E-07
9.08535077E-02  1.11290787E-05  4.04608137E-07
9.11409705E-02  1.07280974E-05  4.10124882E-07
9.14284327E-02  1.12721911E-05  4.15089567E-07
9.17158946E-02  1.17481059E-05  4.05151589E-07
9.20033559E-02  1.09045456E-05  4.08998556E-07
9.22908168E-02  1.07927695E-05  4.06026377E-07
9.25782773E-02  1.07596075E-05  4.03844118E-07
9.28657372E-02  1.12335012E-05  4.02624344E-07
9.31531967E-02  1.04324476E-05  4.06111211E-07
9.34406558E-02  1.07672823E-05  4.08667695E-07
9.37281144E-02  1.13243458E-05  4.03951832E-07
9.40155725E-02  9.96835474E-06  4.09363574E-07
9.43030301E-02  1.05005842E-05  4.02754201E-07
9.45904872E-02  9.61801417E-06  4.00829684E-07
9.48779439E-02  9.97365097E-06  3.98884948E-07
9.51654001E-02  9.73244929E-06  4.03143078E-07
9.54528558E-02  1.05263407E-05  4.04691685E-07
9.57403111E-02  9.40444467E-06  3.93701838E-07
9.60277658E-02  9.80189924E-06  4.06652931E-07
9.63152201E-02  9.80181552E-06  3.92166681E-07
9.66026739E-02  1.01451006E-05  4.00072708E-07
9.68901272E-02  1.06173176E-05  3.97367116E-07
9.71775800E-02  1.00767751E-05  4.02023824E-07
9.74650323E-02  9.28491410E-06  3.95486762E-07
9.77524842E-02  1.01949402E-05  3.95161067E-07
9.80399355E-02  9.86927182E-06  3.94591149E-07
9.83273864E-02  9.02358030E-06  3.97318517E-07
9.86148367E-02  9.82800814E-06  3.90252249E-07
9.89022866E-02  1.01696599E-05  3.99395645E-07
9.91897360E-02  9.63465593E-06  3.88397614E-07
9.94771848E-02  9.17827683E-06  3.90843803E-07
9.97646332E-02  9.33537745E-06  3.97316230E-07
1.00052081E-01  9.19033877E-06  3.87674471E-07
1.00339528E-01  9.26663796E-06  3.93340485E-07
1.00626975E-01  8.97707067E-06  3.88570749E-07
1.00914422E-01  8.57586254E-06  3.91464208E-07
1.01201867E-01  8.75561116E-06  3.91145514E-07
1.01489313E-01  8.70087703E-06  3.86793656E-07
1.01776758E-01  8.63645768E-06  3.89555650E-07
1.02064202E-01  9.11546005E-06  3.88083863E-07
1.02351646E-01  8.67225950E-06  3.89396452E-07
1.02639089E-01  8.44253642E-06  3.90914136E-07
1.02926532E-01  9.41861370E-06  3.85047261E-07
1.03213974E-01  8.08632407E-06  3.87416249E-07
1.03501416E-01  8.60416718E-06  3.86747575E-07
1.03788857E-01  7.82505246E-06  3.91772801E-07
1.04076298E-01  8.87082861E-06  3.91933275E-07
1.04363738E-01  8.15477212E-06  3.85166102E-07
1.04651178E-01  8.37078778E-06  3.86894481E-07
1.04938617E-01  8.00419778E-06  3.79812498E-07
1.05226055E-01  8.23818302E-06  3.73170527E-07
1.05513493E-01  7.70838944E-06  3.74822823E-07
1.05800931E-01  8.14357996E-06  3.75450669E-07
1.06088368E-01  8.53522571E-06  3.76526311E-07
1.06375804E-01  7.70014829E-06  3.79562258E-07
1.06663240E-01  8.09905584E-06  3.74863716E-07
1.06950676E-01  7.62019407E-06  3.80906272E-07
1.07238110E-01  8.16860564E-06  3.75032221E-07
1.07525545E-01  8.27560987E-06  3.69063657E-07
1.07812979E-01  7.96823358E-06  3.67733832E-07
1.08100412E-01  7.49307922E-06  3.66766708E-07
1.08387845E-01  7.85619361E-06  3.76040572E-07
1.08675277E-01  7.65985799E-06  3.76494116E-07
1.08962708E-01  8.10442960E-06  3.71691677E-07
1.09250139E-01  7.26851457E-06  3.75233514E-07
1.09537570E-01  7.09161370E-06  3.67500681E-07
1.09825000E-01  6.98692644E-06  3.72531011E-07
1.10112429E-01  8.23974551E-06  3.75924338E-07
1.10399858E-01  7.43374048E-06  3.70673295E-07
1.10687286E-01  7.11642413E-06  3.71993982E-07
1.10974714E-01  7.49398651E-06  3.73534351E-07
1.11262141E-01  7.06362311E-06  3.69631490E-07
1.11549568E-01  7.20968177E-06  3.72516730E-07
1.11836994E-01  6.92161624E-06  3.70664921E-07
1.12124419E-01  7.72937055E-06  3.69948750E-07
1.12411844E-01  7.36857167E-06  3.69528337E-07
1.12699269E-01  6.83278903E-06  3.69984248E-07
1.12986693E-01  6.99364211E-06  3.71923701E-07
1.13274116E-01  6.98746393E-06  3.66795522E-07
1.13561538E-01  7.00450957E-06  3.67657127E-07
1.13848960E-01  6.60031498E-06  3.65958000E-07
1.14136382E-01  6.69747049E-06  3.68095110E-07
1.14423803E-01  6.47616196E-06  3.68526882E-07
1.14711223E-01  6.90916924E-06  3.68458463E-07
1.14998643E-01  7.60580367E-06  3.67562406E-07
1.15286062E-01  6.66354931E-06  3.64016926E-07
1.15573481E-01  7.00911840E-06  3.69404342E-07
1.15860899E-01  6.66092989E-06  3.67587782E-07
1.16148317E-01  6.70439858E-06  3.64118942E-07
1.16435733E-01  5.86169605E-06  3.70851736E-07
1.16723150E-01  6.29304213E-06  3.60577360E-07
1.17010565E-01  7.38480762E-06  3.68351737E-07
1.17297981E-01  6.10113341E-06  3.64391189E-07
1.17585395E-01  6.83951930E-06  3.57203893E-07
1.17872809E-01  6.55268127E-06  3.60498161E-07
1.18160222E-01  6.63825365E-06  3.65235904E-07
1.18447635E-01  6.45954204E-06  3.66972424E-07
1.18735047E-01  6.85673095E-06  3.60773251E-07
1.19022459E-01  6.77755025E-06  3.59668604E-07
1.19309870E-01  6.35216645E-06  3.60779021E-07
1.19597280E-01  6.26842884E-06  3.64669358E-07
1.19884690E-01  6.49510603E-06  3.66126854E-07
1.20172099E-01  6.75619445E-06  3.61320344E-07
1.20459508E-01  6.26220580E-06  3.60533525E-07
1.20746916E-01  6.09538812E-06  3.56238050E-07
1.21034323E-01  6.39341889E-06  3.59531125E-07
1.21321730E-01  6.06130187E-06  3.55748901E-07
1.21609136E-01  5.49857762E-06  3.62490241E-07
1.21896541E-01  6.36540538E-06  3.60776253E-07
1.22183946E-01  6.12680079E-06  3.61110999E-07
1.22471351E-01  5.42067415E-06  3.53661819E-07
1.22758754E-01  6.10202538E-06  3.56343110E-07
1.23046157E-01  5.18139326E-06  3.58002433E-07
1.23333560E-01  5.48733601E-06  3.54679721E-07
1.23620962E-01  4.96727223E-06  3.50932488E-07
1.23908363E-01  5.76002938E-06  3.54986947E-07
1.24195763E-01  5.58452227E-06  3.54125157E-07
1.24483163E-01  6.14055917E-06  3.57534639E-07
1.24770563E-01  5.32786306E-06  3.58608429E-07
1.25057961E-01  5.78791266E-06  3.66871708E-07
1.25345360E-01  5.62386245E-06  3.76003607E-07
1.25632757E-01  5.82574896E-06  3.76247102E-07
1.25920154E-01  5.75751769E-06  3.79412385E-07
1.26207550E-01  5.40164425E-06  3.76330943E-07
1.26494946E-01  5.06883937E-06  3.79541919E-07
1.26782340E-01  5.01681686E-06  3.88123009E-07
1.27069735E-01  5.51656042E-06  3.72205100E-07
1.27357128E-01  4.70498453E-06  3.73887101E-07
1.27644521E-01  4.88526723E-06  3.66097106E-07
1.27931914E-01  5.66907358E-06  3.70794790E-07
1.28219305E-01  4.79925615E-06  3.67498556E-07
1.28506696E-01  5.45048323E-06  3.63034678E-07
1.28794087E-01  4.72978123E-06  3.63245746E-07
1.29081477E-01  5.92513176E-06  3.64529557E-07
1.29368866E-01  4.36715397E-06  3.62437444E-07
1.29656254E-01  5.17046430E-06  3.63844683E-07
1.29943642E-01  5.96630505E-06  3.60965145E-07
1.30231029E-01  5.14072976E-06  3.63147746E-07
1.30518416E-01  4.91713712E-06  3.58147143E-07
1.30805802E-01  4.50356006E-06  3.59178482E-07
1.31093187E-01  4.66796918E-06  3.55745608E-07
1.31380571E-01  5.39310926E-06  3.55988064E-07
1.31667955E-01  4.74402438E-06  3.59564127E-07
1.31955338E-01  4.59825829E-06  3.56021917E-07
1.32242721E-01  4.31356157E-06  3.57271156E-07
1.32530103E-01  4.96367640E-06  3.54164356E-07
1.32817484E-01  5.01353635E-06  3.54459426E-07
1.33104865E-01  4.70231911E-06  3.58774299E-07
1.33392245E-01  5.18824008E-06  3.69859954E-07
1.33679624E-01  4.45456163E-06  3.73488714E-07
1.33967002E-01  5.07041273E-06  3.73067991E-07
1.34254380E-01  4.27316251E-06  3.74237147E-07
1.34541757E-01  4.06694555E-06  3.75321969E-07
1.34829134E-01  4.54601264E-06  3.77194429E-07
1.35116510E-01  4.33135937E-06  3.77029125E-07
1.35403885E-01  4.26794082E-06  3.71669544E-07
1.35691259E-01  4.77270603E-06  3.81629241E-07
1.35978633E-01  4.25552521E-06  3.79339310E-07
1.36266006E-01  4.53903210E-06  3.77577389E-07
1.36553379E-01  4.75483939E-06  3.83837930E-07
1.36840751E-01  4.35787832E-06  3.78703700E-07
1.37128122E-01  4.93155058E-06  3.80749528E-07
1.37415492E-01  4.53956477E-06  3.81851521E-07
1.37702862E-01  4.53705545E-06  3.74971987E-07
1.37990231E-01  4.67473762E-06  3.84901635E-07
1.38277599E-01  4.60276402E-06  3.68334202E-07
1.38564967E-01  3.79002685E-06  3.63855921E-07
1.38852333E-01  4.33021248E-06  3.58880918E-07
1.39139700E-01  4.38415839E-06  3.61316226E-07
1.39427065E-01  4.26306309E-06  3.53068413E-07
1.39714430E-01  4.60847009E-06  3.56926380E-07
1.40001794E-01  3.97986867E-06  3.54315273E-07
1.40289157E-01  4.20189772E-06  3.55477202E-07
1.40576520E-01  3.69128753E-06  3.55227317E-07
1.40863882E-01  4.38284511E-06  3.51792247E-07
1.41151243E-01  4.56985393E-06  3.50129279E-07
1.41438604E-01  4.42494896E-06  3.53098775E-07
1.41725964E-01  4.17657309E-06  3.53863797E-07
1.42013323E-01  4.03137639E-06  3.49011011E-07
1.42300681E-01  4.96107117E-06  3.47340591E-07
1.42588039E-01  4.16706612E-06  3.49343241E-07
1.42875396E-01  3.79167153E-06  3.49253412E-07
1.43162752E-01  3.59826459E-06  3.46227318E-07
1.43450108E-01  3.69754648E-06  3.47665993E-07
1.43737463E-01  4.50856671E-06  3.43499127E-07
1.44024817E-01  3.59486009E-06  3.46441540E-07
1.44312170E-01  4.27298010E-06  3.40444947E-07
1.44599523E-01  3.37554908E-06  3.33101793E-07
1.44886875E-01  4.28150837E-06  3.39995976E-07
1.45174226E-01  3.67872291E-06  3.41305895E-07
1.45461577E-01  4.40724405E-06  3.34908716E-07
1.45748927E-01  4.42367149E-06  3.33784397E-07
1.46036276E-01  3.92390676E-06  3.39221406E-07
1.46323624E-01  3.87690451E-06  3.38741555E-07
1.46610971E-01  3.79471597E-06  3.37686222E-07
1.46898318E-01  3.30078320E-06  3.34310142E-07
1.47185664E-01  3.87846333E-06  3.33756644E-07
1.47473010E-01  3.56493770E-06  3.39479995E-07
1.47760354E-01  3.84992894E-06  3.38655799E-07
1.48047698E-01  3.77194554E-06  3.36907559E-07
1.48335041E-01  3.52000179E-06  3.35069289E-07
1.48622384E-01  4.37888014E-06  3.35076348E-07
1.48909725E-01  3.36020687E-06  3.37241408E-07
1.49197066E-01  3.54824120E-06  3.32553973E-07
1.49484406E-01  4.03429300E-06  3.34659732E-07
1.49771746E-01  3.85999762E-06  3.37812575E-07
1.50059084E-01  3.58131779E-06  3.31472340E-07
1.50346422E-01  3.88986507E-06  3.31131157E-07
1.50633759E-01  3.14722431E-06  3.33615347E-07
1.50921096E-01  3.34990943E-06  3.39069183E-07
1.51208431E-01  4.13814142E-06  3.26743850E-07
1.51495766E-01  3.64229994E-06  3.35775863E-07
1.51783100E-01  3.73401134E-06  3.34251314E-07
1.52070433E-01  3.92256423E-06  3.33088958E-07
1.52357766E-01  3.42190480E-06  3.36883554E-07
1.52645098E-01  3.27366423E-06  3.31758150E-07
