chr	track	poi	end	ext_start	ext_end	value	origin
chrII	149	124932	124933	124859	125009	124934	badis
chrII	150	127008	127009	126933	127083	127008	badis
chrII	151	128974	128975	128899	129049	128974	Macisaac
chrII	151	128974	128975	128899	129049	128974	pachkov
chrII	151	128974	128975	128899	129049	128974	jaspar
chrII	151	128974	128975	128899	129049	128974	badis
chrII	151	128974	128975	128901	129051	128976	jaspar
chrII	152	131117	131118	131042	131192	131117	badis
chrII	153	132103	132104	132028	132178	132103	badis
chrII	154	135550	135551	135475	135625	135550	jaspar
chrII	155	136208	136209	136133	136283	136208	pachkov
chrII	155	136208	136209	136133	136283	136208	jaspar
chrII	155	136208	136209	136133	136283	136208	badis
chrII	155	136208	136209	136135	136285	136210	jaspar
chrII	156	141106	141107	141031	141181	141106	Macisaac
chrII	156	141106	141107	141031	141181	141106	pachkov
chrII	156	141106	141107	141031	141181	141106	jaspar
chrII	156	141106	141107	141033	141183	141108	jaspar
chrII	156	141106	141107	141033	141183	141108	badis
chrII	157	145546	145547	145471	145621	145546	pachkov
chrII	157	145546	145547	145471	145621	145546	jaspar
chrII	158	145942	145943	145867	146017	145942	Macisaac
chrII	159	146016	146017	145867	146017	145942	Macisaac
chrII	158	145942	145943	145867	146017	145942	pachkov
chrII	159	146016	146017	145867	146017	145942	pachkov
chrII	158	145942	145943	145867	146017	145942	jaspar
chrII	159	146016	146017	145867	146017	145942	jaspar
chrII	158	145942	145943	145867	146017	145942	badis
chrII	159	146016	146017	145867	146017	145942	badis
chrII	158	145942	145943	145869	146019	145944	jaspar
chrII	159	146016	146017	145869	146019	145944	jaspar
chrII	158	145942	145943	145941	146091	146016	Macisaac
chrII	159	146016	146017	145941	146091	146016	Macisaac
chrII	158	145942	145943	145941	146091	146016	pachkov
chrII	159	146016	146017	145941	146091	146016	pachkov
chrII	158	145942	145943	145941	146091	146016	jaspar
chrII	159	146016	146017	145941	146091	146016	jaspar
chrII	158	145942	145943	145941	146091	146016	badis
chrII	159	146016	146017	145941	146091	146016	badis
chrII	158	145942	145943	145943	146093	146018	jaspar
chrII	159	146016	146017	145943	146093	146018	jaspar
chrII	158	145942	145943	145943	146093	146018	kubik
chrII	159	146016	146017	145943	146093	146018	kubik
chrII	160	151336	151337	151261	151411	151336	kubik
chrII	161	153858	153859	153783	153933	153858	Macisaac
chrII	161	153858	153859	153783	153933	153858	pachkov
chrII	161	153858	153859	153783	153933	153858	jaspar
chrII	161	153858	153859	153785	153935	153860	jaspar
chrII	161	153858	153859	153785	153935	153860	badis
chrII	161	153858	153859	153785	153935	153860	kubik
chrII	162	155398	155399	155323	155473	155398	badis
chrII	163	158566	158567	158491	158641	158566	kubik
chrII	164	159968	159969	159893	160043	159968	jaspar
chrII	164	159968	159969	159893	160043	159968	badis
chrII	165	161676	161677	161601	161751	161676	badis
chrII	166	161873	161874	161798	161948	161873	badis
chrII	167	163088	163089	163013	163163	163088	jaspar
chrII	167	163088	163089	163013	163163	163088	badis
chrII	168	164362	164363	164287	164437	164362	Macisaac
chrII	168	164362	164363	164287	164437	164362	pachkov
chrII	168	164362	164363	164287	164437	164362	jaspar
chrII	168	164362	164363	164289	164439	164364	jaspar
chrII	168	164362	164363	164289	164439	164364	badis
chrII	169	168917	168918	168842	168992	168917	badis
chrII	170	172161	172162	172086	172236	172161	badis
chrII	171	172360	172361	172285	172435	172360	Macisaac
chrII	171	172360	172361	172285	172435	172360	pachkov
chrII	171	172360	172361	172285	172435	172360	jaspar
chrII	171	172360	172361	172287	172437	172362	jaspar
chrII	171	172360	172361	172287	172437	172362	badis
chrII	171	172360	172361	172287	172437	172362	kubik
chrII	172	173819	173820	173744	173894	173819	badis
chrII	172	173819	173820	173745	173895	173820	badis
chrII	173	176320	176321	176245	176395	176320	jaspar
chrII	173	176320	176321	176245	176395	176320	badis
chrII	174	181460	181461	181385	181535	181460	kubik
chrII	175	186630	186631	186555	186705	186630	jaspar
chrII	175	186630	186631	186557	186707	186632	jaspar
chrII	175	186630	186631	186557	186707	186632	badis
chrII	175	186630	186631	186557	186707	186632	kubik
chrII	176	191000	191001	190925	191075	191000	badis
chrII	177	193464	193465	193389	193539	193464	pachkov
chrII	178	193492	193493	193389	193539	193464	pachkov
chrII	177	193464	193465	193417	193567	193492	jaspar
chrII	178	193492	193493	193417	193567	193492	jaspar
chrII	179	193628	193629	193553	193703	193628	jaspar
chrII	180	193684	193685	193553	193703	193628	jaspar
chrII	179	193628	193629	193553	193703	193628	badis
chrII	180	193684	193685	193553	193703	193628	badis
chrII	179	193628	193629	193609	193759	193684	pachkov
chrII	180	193684	193685	193609	193759	193684	pachkov
chrII	179	193628	193629	193609	193759	193684	jaspar
chrII	180	193684	193685	193609	193759	193684	jaspar
chrII	179	193628	193629	193609	193759	193684	badis
chrII	180	193684	193685	193609	193759	193684	badis
chrII	179	193628	193629	193609	193759	193684	kubik
chrII	180	193684	193685	193609	193759	193684	kubik
chrII	181	197758	197759	197683	197833	197758	Macisaac
chrII	181	197758	197759	197683	197833	197758	pachkov
chrII	181	197758	197759	197685	197835	197760	jaspar
chrII	182	201368	201369	201293	201443	201368	Macisaac
chrII	182	201368	201369	201293	201443	201368	pachkov
chrII	182	201368	201369	201293	201443	201368	jaspar
chrII	183	202446	202447	202371	202521	202446	Macisaac
chrII	183	202446	202447	202371	202521	202446	pachkov
chrII	183	202446	202447	202371	202521	202446	jaspar
chrII	183	202446	202447	202373	202523	202448	jaspar
chrII	183	202446	202447	202373	202523	202448	badis
chrII	184	202816	202817	202741	202891	202816	jaspar
chrII	184	202816	202817	202741	202891	202816	badis
chrII	185	203188	203189	203113	203263	203188	pachkov
chrII	186	204118	204119	204043	204193	204118	jaspar
chrII	187	205538	205539	205463	205613	205538	jaspar
chrII	188	211047	211048	210972	211122	211047	badis
chrII	189	212446	212447	212371	212521	212446	jaspar
chrII	190	215708	215709	215633	215783	215708	jaspar
chrII	190	215708	215709	215633	215783	215708	badis
chrII	191	216548	216549	216473	216623	216548	Macisaac
chrII	191	216548	216549	216473	216623	216548	pachkov
chrII	191	216548	216549	216473	216623	216548	jaspar
chrII	191	216548	216549	216473	216623	216548	badis
chrII	191	216548	216549	216473	216623	216548	kubik
chrII	192	216773	216774	216698	216848	216773	badis
chrII	192	216773	216774	216699	216849	216774	badis
chrII	193	227066	227067	226991	227141	227066	Macisaac
chrII	193	227066	227067	226991	227141	227066	pachkov
chrII	193	227066	227067	226991	227141	227066	jaspar
chrII	193	227066	227067	226991	227141	227066	badis
chrII	193	227066	227067	226993	227143	227068	jaspar
chrII	194	232778	232779	232703	232853	232778	jaspar
chrII	195	238400	238401	238325	238475	238400	pachkov
chrII	196	250510	250511	250435	250585	250510	jaspar
chrII	196	250510	250511	250435	250585	250510	badis
chrII	197	253980	253981	253905	254055	253980	jaspar
chrII	198	258154	258155	258079	258229	258154	Macisaac
chrII	198	258154	258155	258079	258229	258154	pachkov
chrII	198	258154	258155	258079	258229	258154	jaspar
chrII	198	258154	258155	258081	258231	258156	jaspar
chrII	198	258154	258155	258081	258231	258156	badis
chrII	198	258154	258155	258081	258231	258156	kubik
chrII	199	267580	267581	267505	267655	267580	jaspar
chrII	200	270066	270067	269991	270141	270066	pachkov
chrII	200	270066	270067	269991	270141	270066	jaspar
chrII	200	270066	270067	269991	270141	270066	badis
chrII	201	273868	273869	273793	273943	273868	kubik
chrII	202	274029	274030	273954	274104	274029	badis
chrII	203	280678	280679	280603	280753	280678	jaspar
chrII	204	281937	281938	281862	282012	281937	badis
chrII	205	281980	281981	281862	282012	281937	badis
chrII	204	281937	281938	281863	282013	281938	badis
chrII	205	281980	281981	281863	282013	281938	badis
chrII	204	281937	281938	281905	282055	281980	badis
chrII	205	281980	281981	281905	282055	281980	badis
chrII	206	282450	282451	282375	282525	282450	badis
chrII	207	283404	283405	283329	283479	283404	jaspar
chrII	208	285796	285797	285721	285871	285796	Macisaac
chrII	209	287186	287187	287111	287261	287186	jaspar
chrII	209	287186	287187	287113	287263	287188	jaspar
chrII	209	287186	287187	287113	287263	287188	badis
chrII	210	290728	290729	290653	290803	290728	pachkov
chrII	210	290728	290729	290653	290803	290728	jaspar
chrII	210	290728	290729	290653	290803	290728	badis
chrII	211	291060	291061	290985	291135	291060	badis
chrII	212	291458	291459	291383	291533	291458	Macisaac
chrII	212	291458	291459	291383	291533	291458	pachkov
chrII	212	291458	291459	291383	291533	291458	jaspar
chrII	212	291458	291459	291383	291533	291458	badis
chrII	213	292152	292153	292077	292227	292152	Macisaac
chrII	213	292152	292153	292077	292227	292152	pachkov
chrII	213	292152	292153	292077	292227	292152	jaspar
chrII	213	292152	292153	292077	292227	292152	badis
chrII	213	292152	292153	292079	292229	292154	jaspar
chrII	214	297118	297119	297043	297193	297118	pachkov
chrII	214	297118	297119	297043	297193	297118	jaspar
chrII	215	297530	297531	297455	297605	297530	pachkov
chrII	215	297530	297531	297457	297607	297532	jaspar
chrII	216	297944	297945	297869	298019	297944	Macisaac
chrII	216	297944	297945	297869	298019	297944	pachkov
chrII	216	297944	297945	297869	298019	297944	jaspar
chrII	216	297944	297945	297871	298021	297946	jaspar
chrII	216	297944	297945	297871	298021	297946	badis
chrII	216	297944	297945	297871	298021	297946	kubik
chrII	217	299638	299639	299563	299713	299638	pachkov
chrII	218	299990	299991	299915	300065	299990	Macisaac
chrII	218	299990	299991	299915	300065	299990	pachkov
chrII	218	299990	299991	299915	300065	299990	jaspar
chrII	218	299990	299991	299915	300065	299990	badis
chrII	218	299990	299991	299915	300065	299990	kubik
chrII	219	303772	303773	303697	303847	303772	jaspar
chrII	219	303772	303773	303697	303847	303772	badis
chrII	220	306674	306675	306599	306749	306674	badis
chrII	221	309706	309707	309631	309781	309706	Macisaac
chrII	222	309972	309973	309897	310047	309972	pachkov
chrII	222	309972	309973	309897	310047	309972	jaspar
chrII	223	311588	311589	311513	311663	311588	kubik
chrII	224	321968	321969	321893	322043	321968	pachkov
chrII	225	332986	332987	332911	333061	332986	pachkov
chrII	226	334036	334037	333961	334111	334036	pachkov
chrII	227	336384	336385	336309	336459	336384	Macisaac
chrII	227	336384	336385	336309	336459	336384	pachkov
chrII	227	336384	336385	336309	336459	336384	jaspar
chrII	227	336384	336385	336309	336459	336384	badis
chrII	228	337510	337511	337435	337585	337510	pachkov
